Orthogroup	HUMAN	BRAFL
OG0000000	HUMAN22097, HUMAN03752	bflo_10712, bflo_10733
OG0000000	HUMAN27271, HUMAN18431	bflo_04183
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	bflo_24421, bflo_24425, bflo_09165
OG0000000	HUMAN03687, HUMAN17114, HUMAN03688	bflo_24954
OG0000000	HUMAN03743, HUMAN22196	bflo_09701
OG0000000	HUMAN03805, HUMAN22626	bflo_10072
OG0000000	HUMAN29337, HUMAN01254	bflo_16599
OG0000000	HUMAN28889, HUMAN05731	bflo_24252
OG0000000	HUMAN05644	bflo_08732
OG0000000	HUMAN03433	bflo_10637
OG0000000	HUMAN02527	bflo_19045
OG0000000	HUMAN17907, HUMAN26096	bflo_00191
OG0000000	HUMAN07512, HUMAN22413	bflo_15523
OG0000000	HUMAN12896, HUMAN26097	bflo_00196
OG0000000	HUMAN12902, HUMAN26102	bflo_00195
OG0000000	HUMAN26099, HUMAN06518, HUMAN12899	bflo_00192
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	bflo_00197
OG0000000	HUMAN27325, HUMAN27326	bflo_00617, bflo_23916
OG0000000	HUMAN12743, HUMAN26016	bflo_00176
OG0000000	HUMAN22154, HUMAN24253	bflo_10639
OG0000000	HUMAN26104	bflo_00920
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	bflo_14857
OG0000000	HUMAN26107, HUMAN17898	bflo_00526
OG0000000	HUMAN22230	bflo_10437
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	bflo_10148
OG0000000	HUMAN08319	bflo_18457
OG0000001	HUMAN10622	bflo_27403
OG0000001	HUMAN03140, HUMAN03346	bflo_23582, bflo_21621
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	bflo_13782, bflo_21347, bflo_23767, bflo_16185
OG0000001	HUMAN14511	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469
OG0000001	HUMAN10621, HUMAN10623	bflo_24437, bflo_24440
OG0000002	HUMAN22770	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588
OG0000002	HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588	bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130
OG0000004	HUMAN27575	bflo_21581, bflo_07267
OG0000004	HUMAN22815	bflo_07914
OG0000004	HUMAN05919, HUMAN05921, HUMAN01911	bflo_04032
OG0000005	HUMAN23763, HUMAN23764	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770
OG0000005	HUMAN25469	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372
OG0000006	HUMAN17033	bflo_03612
OG0000006	HUMAN20053	bflo_10484
OG0000006	HUMAN30182, HUMAN30280, HUMAN21060	bflo_06221
OG0000006	HUMAN00944	bflo_07660
OG0000006	HUMAN22351, HUMAN05133	bflo_14856, bflo_15258
OG0000006	HUMAN21718, HUMAN29537	bflo_22120
OG0000006	HUMAN02118, HUMAN29294	bflo_16305
OG0000006	HUMAN29691	bflo_22526
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	bflo_10066, bflo_10065
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	bflo_12576
OG0000006	HUMAN25905	bflo_23572
OG0000006	HUMAN23524	bflo_06220
OG0000006	HUMAN03111	bflo_08237
OG0000006	HUMAN14017	bflo_06222
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	bflo_08431
OG0000006	HUMAN08856, HUMAN19716	bflo_22598
