Orthogroup	SACKO_ok	HELIO_ok
OG0000000	SACKO_12749	HELIO_01999
OG0000000	SACKO_25619	HELIO_08880
OG0000000	SACKO_05553	HELIO_06752
OG0000000	SACKO_16683	HELIO_10666
OG0000000	SACKO_25799	HELIO_00795
OG0000000	SACKO_19489	HELIO_03148
OG0000000	SACKO_26485	HELIO_09005
OG0000000	SACKO_31887	HELIO_02157
OG0000000	SACKO_11588	HELIO_04988
OG0000000	SACKO_24031	HELIO_00700
OG0000000	SACKO_26673	HELIO_00534
OG0000000	SACKO_31872	HELIO_08573
OG0000000	SACKO_23994, SACKO_24038	HELIO_11400
OG0000000	SACKO_22872	HELIO_06829
OG0000000	SACKO_11978	HELIO_00816
OG0000000	SACKO_12011	HELIO_04090
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455
OG0000002	SACKO_14603	HELIO_06940
OG0000002	SACKO_11085	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154
OG0000002	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706	HELIO_03388, HELIO_11987
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	HELIO_05342, HELIO_01248
OG0000002	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276	HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641
OG0000002	SACKO_21130	HELIO_06844
OG0000002	SACKO_00245, SACKO_00252	HELIO_12021, HELIO_07207
OG0000003	SACKO_29380	HELIO_03324
OG0000003	SACKO_30791	HELIO_07172
OG0000003	SACKO_25210, SACKO_25215	HELIO_07314
OG0000003	SACKO_27116	HELIO_06076
OG0000004	SACKO_18852	HELIO_11549
OG0000004	SACKO_02249	HELIO_07102
OG0000004	SACKO_16987	HELIO_08003
OG0000004	SACKO_32657	HELIO_11715
OG0000004	SACKO_20132	HELIO_04180, HELIO_04162, HELIO_05704, HELIO_06644, HELIO_05598, HELIO_04311, HELIO_05602
OG0000005	SACKO_00899, SACKO_02650, SACKO_00900	HELIO_00211
OG0000006	SACKO_21129	HELIO_00413
OG0000006	SACKO_11503	HELIO_09248
OG0000006	SACKO_23250	HELIO_06349
OG0000006	SACKO_15817	HELIO_00150
OG0000006	SACKO_32444	HELIO_12770
OG0000006	SACKO_32440	HELIO_10345
OG0000006	SACKO_32500	HELIO_08890
OG0000006	SACKO_06429	HELIO_11381, HELIO_00450
OG0000006	SACKO_32477	HELIO_08227
OG0000006	SACKO_20803	HELIO_06418
OG0000006	SACKO_22000	HELIO_00028
OG0000007	SACKO_33112	HELIO_01296
OG0000007	SACKO_16486	HELIO_10106
OG0000007	SACKO_25751	HELIO_00643
OG0000007	SACKO_30170	HELIO_06396
OG0000007	SACKO_17363	HELIO_00352
OG0000007	SACKO_03410	HELIO_11362
OG0000007	SACKO_33128	HELIO_11129
OG0000007	SACKO_22717	HELIO_04873
OG0000007	SACKO_04591	HELIO_06738
OG0000007	SACKO_27771	HELIO_03703
OG0000007	SACKO_27817	HELIO_07978
OG0000007	SACKO_00927	HELIO_03118
OG0000007	SACKO_02233	HELIO_07991
OG0000007	SACKO_03579	HELIO_01456
OG0000007	SACKO_31073	HELIO_04275
OG0000007	SACKO_11981	HELIO_11721
OG0000008	SACKO_08466	HELIO_10953, HELIO_01917
OG0000008	SACKO_31986, SACKO_33937, SACKO_05540	HELIO_09201
OG0000010	SACKO_31740	HELIO_07073
OG0000011	SACKO_22764	HELIO_01241, HELIO_00959, HELIO_05340, HELIO_03542, HELIO_04969, HELIO_03053, HELIO_03054, HELIO_06328, HELIO_05201, HELIO_07608, HELIO_07482, HELIO_06122, HELIO_07422
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	HELIO_04072, HELIO_05750
OG0000012	SACKO_01736	HELIO_06831
OG0000013	SACKO_02509, SACKO_16247	HELIO_12769, HELIO_05315, HELIO_05049, HELIO_10683, HELIO_05716, HELIO_11357, HELIO_00073, HELIO_05056, HELIO_05998
OG0000014	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037	HELIO_03075
OG0000014	SACKO_08621	HELIO_06653
OG0000014	SACKO_25933, SACKO_00449, SACKO_12265, SACKO_12257	HELIO_08197, HELIO_07557, HELIO_08798
OG0000014	SACKO_13283	HELIO_12068
OG0000014	SACKO_33008, SACKO_33001, SACKO_33229, SACKO_27033, SACKO_03881, SACKO_03885, SACKO_33003	HELIO_07123
OG0000015	SACKO_01122, SACKO_01126	HELIO_10603
OG0000015	SACKO_09494	HELIO_09049
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509	HELIO_10798
OG0000016	SACKO_08552, SACKO_02763, SACKO_27519	HELIO_05159, HELIO_08806
OG0000016	SACKO_31968	HELIO_03950, HELIO_10054
OG0000016	SACKO_23373, SACKO_07103, SACKO_18319	HELIO_03738
OG0000016	SACKO_14898	HELIO_04647
OG0000016	SACKO_06390	HELIO_11041
OG0000016	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000017	SACKO_32297	HELIO_04056, HELIO_08729, HELIO_04627, HELIO_04574, HELIO_08140, HELIO_07705
OG0000017	SACKO_00987, SACKO_29799	HELIO_06230, HELIO_06928
OG0000017	SACKO_32786, SACKO_07720	HELIO_05297
OG0000018	SACKO_25250	HELIO_01806
OG0000018	SACKO_10156	HELIO_11953, HELIO_04805, HELIO_09132, HELIO_05854, HELIO_05254, HELIO_06191, HELIO_05532
OG0000019	SACKO_29254	HELIO_05273
OG0000019	SACKO_34115	HELIO_07628
OG0000019	SACKO_10721	HELIO_00711, HELIO_04793, HELIO_04680
OG0000020	SACKO_32378	HELIO_01087
OG0000020	SACKO_15147	HELIO_03282
OG0000020	SACKO_20642	HELIO_03892
OG0000020	SACKO_08732	HELIO_08119
OG0000020	SACKO_26857	HELIO_03039
OG0000020	SACKO_10515	HELIO_08325
OG0000020	SACKO_21519	HELIO_10764
OG0000020	SACKO_08704	HELIO_10811
OG0000020	SACKO_16107, SACKO_20105	HELIO_12285
OG0000020	SACKO_15854	HELIO_05828
OG0000020	SACKO_20295	HELIO_10575
OG0000020	SACKO_29670	HELIO_05888
OG0000020	SACKO_04148	HELIO_07729
OG0000020	SACKO_24638	HELIO_08365
OG0000020	SACKO_04828	HELIO_01918
OG0000020	SACKO_14423	HELIO_11794
OG0000021	SACKO_17226, SACKO_17242, SACKO_17184	HELIO_00817, HELIO_05146
OG0000021	SACKO_04567	HELIO_05564
OG0000021	SACKO_33152	HELIO_07436
OG0000021	SACKO_29742	HELIO_09128
OG0000021	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631	HELIO_01018
OG0000021	SACKO_25838	HELIO_08809, HELIO_00647, HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	SACKO_24637, SACKO_24630, SACKO_24646	HELIO_02648
OG0000021	SACKO_24640	HELIO_08020, HELIO_10557
OG0000022	SACKO_01356	HELIO_07323
OG0000023	SACKO_10529	HELIO_07781
