Orthogroup	LYTVA_ok	CAEEL
OG0000000	LYTVA_01679	CAEEL18735
OG0000000	LYTVA_25096	CAEEL08140
OG0000000	LYTVA_01827	CAEEL18754
OG0000000	LYTVA_18988	CAEEL06523
OG0000000	LYTVA_18985	CAEEL00081
OG0000000	LYTVA_21959	CAEEL10851
OG0000000	LYTVA_22602	CAEEL18086
OG0000000	LYTVA_27704	CAEEL05734
OG0000000	LYTVA_08678	CAEEL08092
OG0000000	LYTVA_08668, LYTVA_23667, LYTVA_22477, LYTVA_22478, LYTVA_22480, LYTVA_22479	CAEEL08135, CAEEL08091
OG0000000	LYTVA_23047	CAEEL00979
OG0000000	LYTVA_06897	CAEEL19601
OG0000000	LYTVA_22476, LYTVA_22475, LYTVA_29838, LYTVA_27097, LYTVA_29834	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	LYTVA_22714	CAEEL07441
OG0000000	LYTVA_09826	CAEEL08137, CAEEL17599
OG0000000	LYTVA_19015	CAEEL08875
OG0000000	LYTVA_17046, LYTVA_23349, LYTVA_23351	CAEEL16213
OG0000002	LYTVA_05820	CAEEL13228, CAEEL12925, CAEEL13245, CAEEL13244, CAEEL13243, CAEEL13242, CAEEL13246, CAEEL13682, CAEEL13221, CAEEL13223, CAEEL17594, CAEEL16944, CAEEL13479, CAEEL14996, CAEEL14636, CAEEL11003, CAEEL11002, CAEEL11012, CAEEL20200, CAEEL14075, CAEEL20203, CAEEL20199, CAEEL20201, CAEEL01553, CAEEL04143
OG0000003	LYTVA_06976	CAEEL18127
OG0000005	LYTVA_24142	CAEEL13168
OG0000005	LYTVA_01017	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	LYTVA_21111, LYTVA_05821	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	LYTVA_21289	CAEEL00696
OG0000006	LYTVA_07373	CAEEL07700
OG0000006	LYTVA_23957, LYTVA_14827	CAEEL05532
OG0000006	LYTVA_29412, LYTVA_25462	CAEEL12101
OG0000006	LYTVA_16832	CAEEL00153
OG0000006	LYTVA_16844	CAEEL17819
OG0000006	LYTVA_08878	CAEEL15182
OG0000007	LYTVA_22273	CAEEL04050
OG0000007	LYTVA_23216	CAEEL17965
OG0000007	LYTVA_27359	CAEEL05829
OG0000007	LYTVA_04121	CAEEL01108
OG0000007	LYTVA_03206, LYTVA_12379, LYTVA_12378	CAEEL10238, CAEEL04602
OG0000007	LYTVA_05177	CAEEL18586
OG0000012	LYTVA_11199, LYTVA_24773, LYTVA_27764	CAEEL20690
OG0000012	LYTVA_05189	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698, CAEEL13039, CAEEL14777, CAEEL19132, CAEEL18995
