Orthogroup	DROME	XENTR
OG0000000	DROME16218, DROME16219	XENTR08878
OG0000000	DROME04813	XENTR18832, XENTR01079, XENTR01080
OG0000000	DROME14805, DROME14806	XENTR18066, XENTR08976, XENTR07932
OG0000000	DROME15599	XENTR07929
OG0000000	DROME15463, DROME15462	XENTR10509, XENTR10508, XENTR13402
OG0000000	DROME11250	XENTR02223, XENTR10492, XENTR10560
OG0000000	DROME21328, DROME21327	XENTR07734, XENTR13891
OG0000000	DROME03422	XENTR16086
OG0000000	DROME16097	XENTR12445
OG0000000	DROME01107	XENTR07618
OG0000000	DROME13389, DROME13388	XENTR07167, XENTR10848, XENTR03338
OG0000000	DROME11314	XENTR04390, XENTR05494
OG0000000	DROME13415	XENTR04389
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	XENTR03332
OG0000000	DROME13413	XENTR08542, XENTR10851, XENTR07169, XENTR03335
OG0000000	DROME13414	XENTR10852, XENTR03334, XENTR08541
OG0000000	DROME10025	XENTR06295, XENTR04184
OG0000000	DROME16399	XENTR03185
OG0000000	DROME17718	XENTR12464, XENTR08726
OG0000000	DROME15341, DROME15342, DROME15343	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330
OG0000000	DROME03546, DROME03545	XENTR04388, XENTR00687, XENTR13779
OG0000000	DROME04989	XENTR03327, XENTR07175
OG0000000	DROME16202	XENTR01971, XENTR14936, XENTR09546
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	XENTR01972, XENTR09547, XENTR08722, XENTR12981, XENTR06679
OG0000002	DROME14626, DROME12189, DROME02894	XENTR17667
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106
OG0000005	DROME15227	XENTR09142
OG0000006	DROME08113	XENTR03474, XENTR03473, XENTR14730
OG0000006	DROME01994, DROME01995, DROME01996	XENTR03090, XENTR09060
OG0000006	DROME07928	XENTR03954, XENTR14945
OG0000006	DROME00104	XENTR03689
OG0000006	DROME19258, DROME19257, DROME19259	XENTR09947, XENTR11692
OG0000006	DROME21396	XENTR11329
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	XENTR15046
OG0000006	DROME19786, DROME00664	XENTR13548
OG0000006	DROME18045, DROME18046, DROME18044	XENTR04854, XENTR07280, XENTR07527
OG0000006	DROME00147, DROME00148	XENTR07719
OG0000006	DROME19780, DROME19779, DROME19781	XENTR12339, XENTR03854, XENTR12781
OG0000007	DROME12545	XENTR04989, XENTR07641
OG0000007	DROME16994, DROME16993	XENTR10435
OG0000007	DROME17568, DROME17567	XENTR12787, XENTR08906, XENTR06676
OG0000007	DROME09292	XENTR10333, XENTR09768, XENTR09769, XENTR02009, XENTR03222, XENTR07642
OG0000007	DROME14142	XENTR09461, XENTR01137
OG0000007	DROME19603, DROME19602	XENTR03031, XENTR06562
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	XENTR16583
OG0000008	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	XENTR00105
OG0000008	DROME15136	XENTR02826, XENTR02855
OG0000010	DROME12016	XENTR13805
OG0000010	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238, XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248, XENTR18249
OG0000012	DROME14687, DROME14686	XENTR00246, XENTR14489, XENTR13810, XENTR10002
OG0000014	DROME05409, DROME03987	XENTR12243, XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716, XENTR09521
OG0000014	DROME14595, DROME14594	XENTR09147, XENTR00681
OG0000015	DROME20983	XENTR17900, XENTR14250, XENTR15058, XENTR02840
OG0000015	DROME11913, DROME20981, DROME20982	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	XENTR13566, XENTR03288, XENTR15069
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	XENTR01362, XENTR01363, XENTR07382, XENTR09539, XENTR00630
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	XENTR12717
OG0000016	DROME01609	XENTR17802
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	XENTR14707
OG0000020	DROME22108	XENTR18565
OG0000020	DROME02490	XENTR14576, XENTR00311
OG0000020	DROME11466, DROME11467	XENTR04697
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	XENTR07864, XENTR11783
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	XENTR08063
OG0000020	DROME03151, DROME03150	XENTR05660
OG0000020	DROME14454, DROME14455	XENTR15636
OG0000021	DROME18320, DROME18321	XENTR17791, XENTR16377
OG0000021	DROME08269	XENTR18096, XENTR01150
OG0000021	DROME08091	XENTR13705, XENTR13394, XENTR13393
OG0000021	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246	XENTR13780, XENTR17333
