Orthogroup	ASTMX	NEMVE
OG0000000	ASTMX22979	NEMVE08613, NEMVE01316, NEMVE08607, NEMVE02787, NEMVE02791, NEMVE03947
OG0000000	ASTMX02793	NEMVE15388
OG0000000	ASTMX17483, ASTMX11444	NEMVE01834
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	NEMVE09627, NEMVE02365
OG0000000	ASTMX22570	NEMVE09082, NEMVE00451
OG0000000	ASTMX13971, ASTMX13970	NEMVE05015
OG0000000	ASTMX12494, ASTMX05790, ASTMX17479	NEMVE11246
OG0000000	ASTMX14561, ASTMX07042	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	ASTMX20299	NEMVE02364
OG0000000	ASTMX10234	NEMVE04732, NEMVE07124
OG0000000	ASTMX16946, ASTMX11106	NEMVE06009
OG0000000	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164	NEMVE05929
OG0000000	ASTMX06178	NEMVE05986
OG0000000	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322, ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162, ASTMX01437, ASTMX20161, ASTMX20110	NEMVE15281
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	NEMVE07211
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	NEMVE10161
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	NEMVE05017
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	NEMVE15350
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	NEMVE07203
OG0000000	ASTMX11612, ASTMX02802	NEMVE17362
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	NEMVE17363
OG0000000	ASTMX09511	NEMVE10113
OG0000000	ASTMX08520	NEMVE14999, NEMVE10106
