Orthogroup	LYTVA_ok	YEAST
OG0000000	LYTVA_09514, LYTVA_01679, LYTVA_23170, LYTVA_01380, LYTVA_25096, LYTVA_01827, LYTVA_18988, LYTVA_18985, LYTVA_13103, LYTVA_27688, LYTVA_21959, LYTVA_22602, LYTVA_19974, LYTVA_27704, LYTVA_08678, LYTVA_08668, LYTVA_23667, LYTVA_22477, LYTVA_22478, LYTVA_22480, LYTVA_22479, LYTVA_23047, LYTVA_14838	YEAST00701
OG0000000	LYTVA_09826	YEAST04484
OG0000006	LYTVA_27651, LYTVA_18935	YEAST01430
OG0000007	LYTVA_25288	YEAST00671
OG0000007	LYTVA_12480	YEAST01568, YEAST05134
OG0000011	LYTVA_15574, LYTVA_12978, LYTVA_26033, LYTVA_13841, LYTVA_28284, LYTVA_29140, LYTVA_27141, LYTVA_25384, LYTVA_21583, LYTVA_11150, LYTVA_18878, LYTVA_18199, LYTVA_28379, LYTVA_03236, LYTVA_09817	YEAST02600, YEAST01619
OG0000013	LYTVA_14036, LYTVA_14035, LYTVA_24263, LYTVA_16177, LYTVA_17617, LYTVA_13019, LYTVA_13020, LYTVA_03982, LYTVA_05971, LYTVA_26708, LYTVA_02518, LYTVA_13739, LYTVA_21776, LYTVA_12310, LYTVA_12309, LYTVA_22713, LYTVA_22716, LYTVA_11879, LYTVA_09546, LYTVA_28541, LYTVA_13975, LYTVA_00129, LYTVA_18668, LYTVA_18187, LYTVA_18188, LYTVA_11839, LYTVA_02943, LYTVA_27265, LYTVA_27263, LYTVA_13649, LYTVA_17421, LYTVA_15176, LYTVA_12759, LYTVA_00164, LYTVA_00165, LYTVA_15941, LYTVA_29938, LYTVA_08916, LYTVA_23579, LYTVA_15177, LYTVA_22519	YEAST04082
OG0000014	LYTVA_29722, LYTVA_08715, LYTVA_19649, LYTVA_07770, LYTVA_25588, LYTVA_00400, LYTVA_09996, LYTVA_13955, LYTVA_08890, LYTVA_23372	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	LYTVA_02179, LYTVA_09460, LYTVA_20745, LYTVA_14743, LYTVA_02016, LYTVA_05193	YEAST03839, YEAST02807, YEAST03817
OG0000016	LYTVA_21831, LYTVA_18288	YEAST03870, YEAST01103
OG0000031	LYTVA_04157, LYTVA_03000, LYTVA_07242, LYTVA_07394, LYTVA_19491, LYTVA_13645, LYTVA_05124, LYTVA_29658, LYTVA_09735, LYTVA_24172	YEAST02238
