Orthogroup	HELIO_ok	HUMAN
OG0000000	HELIO_01999	HUMAN22097, HUMAN03752
OG0000000	HELIO_08880	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	HELIO_06752	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	HELIO_10666	HUMAN27740, HUMAN03805, HUMAN22626
OG0000000	HELIO_03148	HUMAN05644
OG0000000	HELIO_02157	HUMAN03433
OG0000000	HELIO_11687	HUMAN02527
OG0000000	HELIO_04988	HUMAN07513
OG0000000	HELIO_00534	HUMAN27325, HUMAN27326
OG0000000	HELIO_08573	HUMAN22154, HUMAN24253
OG0000000	HELIO_06829	HUMAN26107, HUMAN17898
OG0000000	HELIO_00816	HUMAN18756
OG0000000	HELIO_04090	HUMAN08319
OG0000001	HELIO_00196, HELIO_00018, HELIO_00128	HUMAN14511
OG0000001	HELIO_06891, HELIO_10957	HUMAN10621, HUMAN10623
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237	HUMAN22770
OG0000002	HELIO_05342, HELIO_01248	HUMAN04207, HUMAN20269
OG0000002	HELIO_06844	HUMAN20270
OG0000004	HELIO_05213	HUMAN26466
OG0000005	HELIO_04655	HUMAN01465
OG0000006	HELIO_00413	HUMAN20053
OG0000006	HELIO_09248	HUMAN00944
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	HELIO_06349	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	HELIO_00150	HUMAN25905
OG0000006	HELIO_12770	HUMAN23524
OG0000006	HELIO_08890	HUMAN14338, HUMAN14017
OG0000006	HELIO_11381, HELIO_00450	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	HELIO_08227	HUMAN08856, HUMAN19716
OG0000006	HELIO_06418	HUMAN08442, HUMAN17032, HUMAN15898
OG0000007	HELIO_01296	HUMAN24418, HUMAN11538
OG0000007	HELIO_10106	HUMAN09570, HUMAN28803
OG0000007	HELIO_00643	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	HELIO_00352	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	HELIO_11362	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	HELIO_11129	HUMAN11539
OG0000007	HELIO_04873	HUMAN24417, HUMAN11533
OG0000007	HELIO_03703	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	HELIO_07978	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	HELIO_03118	HUMAN25936, HUMAN13634
OG0000007	HELIO_07991	HUMAN13395
OG0000007	HELIO_04275	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	HELIO_11721	HUMAN08248
OG0000010	HELIO_07073	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000010	HELIO_09797	HUMAN06405, HUMAN06406
OG0000012	HELIO_04072, HELIO_05750	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	HELIO_06831	HUMAN11190
OG0000014	HELIO_12068	HUMAN25476, HUMAN30053
OG0000014	HELIO_10724	HUMAN13227
OG0000015	HELIO_10798	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000016	HELIO_04641	HUMAN26870
OG0000016	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	HELIO_05456	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	HELIO_09779	HUMAN07767
OG0000016	HELIO_04647	HUMAN25103
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	HUMAN06120, HUMAN04223
OG0000019	HELIO_11234	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000020	HELIO_01087	HUMAN08344
OG0000020	HELIO_03892	HUMAN00926
OG0000020	HELIO_08119	HUMAN02350, HUMAN02349
OG0000020	HELIO_10764	HUMAN17840
OG0000020	HELIO_10811	HUMAN05209, HUMAN21854, HUMAN21853
OG0000020	HELIO_12285	HUMAN02145
OG0000020	HELIO_05828	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	HELIO_10575	HUMAN00010
OG0000020	HELIO_05888	HUMAN23847
OG0000020	HELIO_08365	HUMAN22639
OG0000020	HELIO_01918	HUMAN20816
OG0000021	HELIO_02163	HUMAN30680, HUMAN30504
OG0000021	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	HUMAN04273, HUMAN30251
OG0000021	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	HELIO_07781	HUMAN03767
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	HELIO_07600, HELIO_09870	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403
OG0000026	HELIO_04505	HUMAN16545
OG0000026	HELIO_00695, HELIO_00694, HELIO_09541	HUMAN26724, HUMAN26725
OG0000028	HELIO_10800	HUMAN09209
OG0000028	HELIO_06306	HUMAN09193, HUMAN09206
OG0000029	HELIO_10546, HELIO_00115	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000029	HELIO_11942	HUMAN24898, HUMAN21852
OG0000030	HELIO_04525, HELIO_09505	HUMAN01740, HUMAN28679
OG0000031	HELIO_00475	HUMAN17850
OG0000031	HELIO_11237	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	HELIO_10166	HUMAN26043
OG0000031	HELIO_11573, HELIO_11428	HUMAN26979, HUMAN14235
OG0000031	HELIO_00638	HUMAN07725
OG0000031	HELIO_00007	HUMAN14922, HUMAN14786
OG0000031	HELIO_08452	HUMAN07726, HUMAN22322
OG0000031	HELIO_02162	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	HUMAN19258
OG0000034	HELIO_11044	HUMAN07187
OG0000034	HELIO_03040	HUMAN11672, HUMAN11673
OG0000034	HELIO_11045	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	HELIO_10910	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	HELIO_05981	HUMAN01831, HUMAN13891
OG0000034	HELIO_12487	HUMAN04678
OG0000034	HELIO_11629	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000035	HELIO_04621	HUMAN06576
OG0000035	HELIO_12501	HUMAN09866
OG0000035	HELIO_03534	HUMAN06191, HUMAN03898
OG0000035	HELIO_07811, HELIO_06366	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	HELIO_00732, HELIO_11539	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	HELIO_04984	HUMAN04383
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	HELIO_07711	HUMAN22872
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	HUMAN27983, HUMAN15223
OG0000037	HELIO_01421	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	HELIO_01377	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	HELIO_04770	HUMAN03689
OG0000039	HELIO_01180	HUMAN29023
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000044	HELIO_05461	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	HELIO_08837	HUMAN07517
OG0000046	HELIO_08475	HUMAN23116
OG0000048	HELIO_10223	HUMAN29550
OG0000048	HELIO_11655	HUMAN16328
OG0000048	HELIO_08708	HUMAN16644
OG0000048	HELIO_05605	HUMAN11449
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	HUMAN23119
OG0000056	HELIO_05303	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	HELIO_03513	HUMAN07396, HUMAN07395
OG0000056	HELIO_07637	HUMAN14865
OG0000057	HELIO_05858	HUMAN23569, HUMAN10014
OG0000059	HELIO_08348	HUMAN21611
OG0000059	HELIO_07693, HELIO_05488	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	HELIO_02035	HUMAN25284
OG0000060	HELIO_12113	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	HELIO_11204	HUMAN17964, HUMAN26554
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	HELIO_06316	HUMAN25285
OG0000063	HELIO_10147	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	HELIO_12629	HUMAN21099
OG0000063	HELIO_04155	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	HELIO_11387	HUMAN29798
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782	HUMAN24070, HUMAN22809
OG0000068	HELIO_09524, HELIO_08964	HUMAN20381
OG0000069	HELIO_05270	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000070	HELIO_00590, HELIO_05047, HELIO_00591	HUMAN14161
OG0000072	HELIO_09782	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	HELIO_10131	HUMAN22852
OG0000072	HELIO_05118, HELIO_10379	HUMAN03255, HUMAN03252
OG0000073	HELIO_07437	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836
OG0000074	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	HELIO_06403	HUMAN09283
OG0000074	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885	HUMAN15238, HUMAN13822
OG0000075	HELIO_02705	HUMAN12839, HUMAN02593
OG0000075	HELIO_12175	HUMAN18233
OG0000075	HELIO_01007	HUMAN06329
OG0000075	HELIO_07086	HUMAN00444
OG0000075	HELIO_01193	HUMAN18234, HUMAN06328
OG0000075	HELIO_09567	HUMAN05783, HUMAN21047
