Orthogroup	AENJA_ok	ASTMX
OG0000000	AENJA_00110	ASTMX02793
OG0000000	AENJA_23461	ASTMX17483, ASTMX11444
OG0000000	AENJA_26081	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	AENJA_24355	ASTMX19308, ASTMX03273
OG0000000	AENJA_23544	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970
OG0000000	AENJA_09172	ASTMX05790, ASTMX17479
OG0000000	AENJA_01537	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	AENJA_00111, AENJA_09519	ASTMX14561, ASTMX07042
OG0000000	AENJA_07481	ASTMX20299
OG0000000	AENJA_25905	ASTMX10234
OG0000000	AENJA_15854	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	AENJA_12748	ASTMX16946, ASTMX11106
OG0000000	AENJA_15855	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164
OG0000000	AENJA_12751	ASTMX06178
OG0000000	AENJA_05807	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	AENJA_15859	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162
OG0000000	AENJA_15861	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	AENJA_22692	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	AENJA_20015	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	AENJA_21459	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	AENJA_01755	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	AENJA_10279	ASTMX11612, ASTMX02802
OG0000000	AENJA_05264	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	AENJA_18954	ASTMX09511
OG0000000	AENJA_18955	ASTMX08520
OG0000001	AENJA_17575	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750
OG0000001	AENJA_01446	ASTMX07323
OG0000002	AENJA_19547, AENJA_15292	ASTMX13878
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	ASTMX19248
OG0000002	AENJA_00531	ASTMX20125
OG0000003	AENJA_21345	ASTMX16763
OG0000003	AENJA_05435	ASTMX08463
OG0000004	AENJA_08681, AENJA_23847	ASTMX13906
OG0000004	AENJA_03929	ASTMX13606
OG0000004	AENJA_04481	ASTMX17274
OG0000004	AENJA_18812, AENJA_09022	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	ASTMX03244
OG0000006	AENJA_18510	ASTMX00775
OG0000006	AENJA_22158	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	AENJA_13126	ASTMX16363, ASTMX04345
OG0000006	AENJA_02691	ASTMX11700, ASTMX00138
OG0000006	AENJA_20911	ASTMX03791, ASTMX03123
OG0000006	AENJA_07226	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	AENJA_22522	ASTMX03256, ASTMX09680
OG0000006	AENJA_09814	ASTMX14682, ASTMX19702
OG0000006	AENJA_00662	ASTMX21126, ASTMX03352
