Orthogroup	DROME	SACKO_ok
OG0000000	DROME16218, DROME16219	SACKO_12749
OG0000000	DROME04813	SACKO_19677
OG0000000	DROME14805, DROME14806	SACKO_25619
OG0000000	DROME15463, DROME15462	SACKO_05553
OG0000000	DROME11250	SACKO_16683
OG0000000	DROME14878	SACKO_25799
OG0000000	DROME21328, DROME21327	SACKO_08208, SACKO_08197
OG0000000	DROME20419	SACKO_03962
OG0000000	DROME03422	SACKO_19489
OG0000000	DROME12799	SACKO_26485
OG0000000	DROME16097	SACKO_31887
OG0000000	DROME17319	SACKO_26668
OG0000000	DROME13389, DROME13388	SACKO_24012
OG0000000	DROME11314	SACKO_11590
OG0000000	DROME13405	SACKO_24001
OG0000000	DROME13415	SACKO_11588
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	SACKO_24002
OG0000000	DROME15339, DROME15340	SACKO_24009
OG0000000	DROME13413	SACKO_24024
OG0000000	DROME13414	SACKO_24025
OG0000000	DROME10025	SACKO_26673
OG0000000	DROME16399	SACKO_06485
OG0000000	DROME17718	SACKO_31872
OG0000000	DROME15341, DROME15342, DROME15343	SACKO_24017
OG0000000	DROME03546, DROME03545	SACKO_11599
OG0000000	DROME04989	SACKO_22872
OG0000000	DROME16202	SACKO_31901
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	SACKO_31899, SACKO_11978, SACKO_12011
OG0000001	DROME04936, DROME08706, DROME19770, DROME02157, DROME03345	SACKO_04733
OG0000001	DROME08318	SACKO_25200
OG0000002	DROME21552, DROME21551	SACKO_06138
OG0000002	DROME14626, DROME12189, DROME02894	SACKO_00245, SACKO_00252
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	SACKO_22081, SACKO_22108, SACKO_22102
OG0000006	DROME08113	SACKO_02616
OG0000006	DROME07928	SACKO_13650
OG0000006	DROME19258, DROME19257, DROME19259	SACKO_23250
OG0000006	DROME21396	SACKO_15817
OG0000006	DROME15583	SACKO_33806
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	SACKO_32444
OG0000006	DROME07420	SACKO_32440
OG0000006	DROME19786	SACKO_12590
OG0000006	DROME00664	SACKO_14761, SACKO_02017
OG0000006	DROME18045, DROME18046, DROME18044	SACKO_06429
OG0000006	DROME00147, DROME00148	SACKO_32477
OG0000006	DROME19780, DROME19779, DROME19781	SACKO_20803
OG0000006	DROME21674, DROME21675, DROME21673	SACKO_32388
OG0000007	DROME12545	SACKO_33112
OG0000007	DROME16994, DROME16993	SACKO_16486
OG0000007	DROME17568, DROME17567	SACKO_25751
OG0000007	DROME07864	SACKO_17363
OG0000007	DROME09292	SACKO_03410, SACKO_33128
OG0000007	DROME18346	SACKO_15952
OG0000007	DROME14142	SACKO_27771
OG0000007	DROME19603, DROME19602	SACKO_27817
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	SACKO_00927
OG0000007	DROME21792, DROME00712, DROME00713	SACKO_11981
OG0000008	DROME05669	SACKO_08466
OG0000008	DROME12246	SACKO_00440, SACKO_12800
OG0000010	DROME12016	SACKO_30054
OG0000010	DROME10941	SACKO_15785
OG0000012	DROME14687, DROME14686	SACKO_29085, SACKO_29089, SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000014	DROME05409, DROME03987	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037, SACKO_09441, SACKO_09449, SACKO_09439, SACKO_09461, SACKO_06966, SACKO_06947, SACKO_08105, SACKO_08147, SACKO_09870, SACKO_16092, SACKO_31551, SACKO_29003, SACKO_10634, SACKO_14937, SACKO_17414, SACKO_06936, SACKO_32656, SACKO_09455, SACKO_09442, SACKO_09453, SACKO_09445, SACKO_09444, SACKO_09452, SACKO_06943, SACKO_06984, SACKO_08621, SACKO_25933, SACKO_00449, SACKO_12265, SACKO_12257, SACKO_10784, SACKO_10786, SACKO_33738, SACKO_26423, SACKO_26460
OG0000014	DROME14595, DROME14594	SACKO_13283
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329	SACKO_09494
OG0000015	DROME11913, DROME20981, DROME20982	SACKO_31697
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	SACKO_06844
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	DROME01609	SACKO_14898
OG0000019	DROME02971	SACKO_31972
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	SACKO_05035
