Orthogroup	XENTR	STRPU_ok
OG0000000	XENTR10493, XENTR08878	STRPU_10146, STRPU_10084
OG0000000	XENTR18832, XENTR01079, XENTR01080	STRPU_22262
OG0000000	XENTR18066, XENTR08976, XENTR07932	STRPU_10304
OG0000000	XENTR07929	STRPU_10010
OG0000000	XENTR13401, XENTR10509, XENTR10508, XENTR13402	STRPU_10083, STRPU_10145
OG0000000	XENTR02223, XENTR10492, XENTR10560	STRPU_10015
OG0000000	XENTR07734, XENTR13891	STRPU_19865, STRPU_19892
OG0000000	XENTR17298, XENTR05705	STRPU_02929
OG0000000	XENTR16086	STRPU_03800
OG0000000	XENTR12445	STRPU_09982, STRPU_09961
OG0000000	XENTR07618	STRPU_20780
OG0000000	XENTR07167, XENTR10848, XENTR03338	STRPU_23206
OG0000000	XENTR04390, XENTR05494	STRPU_05654
OG0000000	XENTR04389	STRPU_05390
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540	STRPU_23197, STRPU_23198
OG0000000	XENTR10852, XENTR03334, XENTR08541	STRPU_23194
OG0000000	XENTR06295, XENTR04184	STRPU_23756
OG0000000	XENTR03185	STRPU_22253
OG0000000	XENTR12464, XENTR08726	STRPU_09852
OG0000000	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330	STRPU_23199
OG0000000	XENTR04388, XENTR00687, XENTR13779	STRPU_05830
OG0000000	XENTR03327, XENTR07175	STRPU_23207
OG0000000	XENTR01971, XENTR14936, XENTR09546	STRPU_10189
OG0000000	XENTR01972, XENTR09547, XENTR08722	STRPU_09890
OG0000000	XENTR12981	STRPU_21017
OG0000000	XENTR06679	STRPU_21014
OG0000001	XENTR04259, XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000002	XENTR12747	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991
OG0000002	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083
OG0000002	XENTR17667	STRPU_00361, STRPU_18021, STRPU_18027
OG0000004	XENTR18073	STRPU_02122, STRPU_15691
OG0000004	XENTR07291	STRPU_01396, STRPU_08764, STRPU_27011, STRPU_08312, STRPU_01394, STRPU_01395, STRPU_08765, STRPU_01399, STRPU_26705, STRPU_26709, STRPU_26707, STRPU_26711, STRPU_25881, STRPU_23220, STRPU_23228, STRPU_25882, STRPU_25307, STRPU_26216, STRPU_12970, STRPU_00307, STRPU_08591, STRPU_07773, STRPU_12976, STRPU_12543, STRPU_12540, STRPU_12539, STRPU_12541, STRPU_03318, STRPU_03319, STRPU_14825, STRPU_00765, STRPU_14824, STRPU_14822, STRPU_14823, STRPU_14826
OG0000004	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024	STRPU_19329
OG0000005	XENTR16849, XENTR09568	STRPU_02665, STRPU_01699
OG0000006	XENTR00026	STRPU_04777
OG0000006	XENTR03474, XENTR03473, XENTR14730	STRPU_05111, STRPU_05037
