Orthogroup	MOUSE	NEMVE
OG0000000	MOUSE35835, MOUSE46731	NEMVE15388
OG0000000	MOUSE35499, MOUSE22971	NEMVE01834
OG0000000	MOUSE40493, MOUSE21445	NEMVE09627, NEMVE02365
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	NEMVE05015
OG0000000	MOUSE47799, MOUSE46854, MOUSE36974	NEMVE11246
OG0000000	MOUSE09344, MOUSE50563	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	MOUSE20961	NEMVE02364
OG0000000	MOUSE24692	NEMVE04732, NEMVE07124
OG0000000	MOUSE36510	NEMVE04840
OG0000000	MOUSE38794, MOUSE36509	NEMVE06009
OG0000000	MOUSE26494, MOUSE05221, MOUSE39801	NEMVE05929
OG0000000	MOUSE38795	NEMVE05986
OG0000000	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889, MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218, MOUSE05217, MOUSE39807, MOUSE14885	NEMVE15281
OG0000000	MOUSE35589, MOUSE35590	NEMVE07211
OG0000000	MOUSE05644, MOUSE06967	NEMVE10161
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	NEMVE05017
OG0000000	MOUSE39823, MOUSE54681, MOUSE19588, MOUSE38796, MOUSE42582	NEMVE15350
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	NEMVE07203
OG0000000	MOUSE36110	NEMVE17362
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	NEMVE17363
OG0000000	MOUSE28110, MOUSE28109	NEMVE10113
OG0000000	MOUSE07114	NEMVE14999, NEMVE10106
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362	NEMVE11138
OG0000001	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094
OG0000002	MOUSE31557, MOUSE31558, MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159, MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284, MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136, MOUSE43163, MOUSE43162, MOUSE33129, MOUSE15413, MOUSE15412	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	MOUSE08264	NEMVE14981
OG0000003	MOUSE36184	NEMVE00057, NEMVE03335
OG0000004	MOUSE12693, MOUSE12692	NEMVE02712, NEMVE03345
OG0000004	MOUSE21111	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643
OG0000004	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144	NEMVE02378
