Orthogroup	BRAFL	AENJA_ok
OG0000000	bflo_10712, bflo_10733	AENJA_00110
OG0000000	bflo_04183	AENJA_23461
OG0000000	bflo_24421, bflo_24425, bflo_09165	AENJA_26081
OG0000000	bflo_24954	AENJA_24355
OG0000000	bflo_08798	AENJA_09148
OG0000000	bflo_09701	AENJA_23544
OG0000000	bflo_10072	AENJA_09172
OG0000000	bflo_10147	AENJA_06471
OG0000000	bflo_16599	AENJA_01537
OG0000000	bflo_24252	AENJA_09519
OG0000000	bflo_16111	AENJA_01531
OG0000000	bflo_26435	AENJA_05531
OG0000000	bflo_10637	AENJA_07481
OG0000000	bflo_19045	AENJA_25905
OG0000000	bflo_00191	AENJA_15854
OG0000000	bflo_15523	AENJA_12748
OG0000000	bflo_00189, bflo_00196	AENJA_15855
OG0000000	bflo_00195	AENJA_05807
OG0000000	bflo_00192	AENJA_15859
OG0000000	bflo_00197	AENJA_15861
OG0000000	bflo_00617, bflo_23916	AENJA_22692
OG0000000	bflo_00176	AENJA_20015
OG0000000	bflo_14857	AENJA_21459, AENJA_05805
OG0000000	bflo_26417, bflo_00526	AENJA_01755
OG0000000	bflo_10437	AENJA_10279
OG0000000	bflo_10148	AENJA_05264
OG0000000	bflo_18457	AENJA_18955
OG0000001	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507	AENJA_05757, AENJA_05760, AENJA_26229
OG0000001	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927	AENJA_06007
OG0000001	bflo_13782, bflo_21347, bflo_23767, bflo_16185	AENJA_26118, AENJA_17575
OG0000001	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469	AENJA_09293
OG0000001	bflo_24437, bflo_24440	AENJA_01446, AENJA_05207, AENJA_05206
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	AENJA_03072
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657	AENJA_19547, AENJA_15292
OG0000003	bflo_02237	AENJA_21348
OG0000003	bflo_01321	AENJA_13323
OG0000003	bflo_24207, bflo_19873, bflo_26986, bflo_08714	AENJA_21338
OG0000003	bflo_22230, bflo_24151, bflo_26929, bflo_27439	AENJA_02043
OG0000004	bflo_00546, bflo_11160	AENJA_02270
OG0000004	bflo_01803	AENJA_23066
OG0000004	bflo_07498, bflo_20660	AENJA_15703
OG0000004	bflo_05437	AENJA_25009
OG0000004	bflo_17240, bflo_00410, bflo_24214, bflo_24400, bflo_08125, bflo_09695, bflo_01777	AENJA_21339
OG0000004	bflo_07950	AENJA_07458
OG0000004	bflo_04032	AENJA_18812, AENJA_09022, AENJA_05320
OG0000004	bflo_07952, bflo_07948, bflo_07951	AENJA_08909
OG0000005	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	bflo_13407	AENJA_12565
OG0000006	bflo_06221	AENJA_18510
OG0000006	bflo_07660	AENJA_22158
OG0000006	bflo_14856, bflo_15258	AENJA_13126
OG0000006	bflo_22120	AENJA_02691
OG0000006	bflo_16305	AENJA_20911
OG0000006	bflo_10066, bflo_10065	AENJA_07226
OG0000006	bflo_12576	AENJA_22522
OG0000006	bflo_23572	AENJA_09814
OG0000006	bflo_23665, bflo_23603	AENJA_09813
OG0000006	bflo_06220	AENJA_00662
OG0000006	bflo_08237	AENJA_07549, AENJA_15373
OG0000006	bflo_08431	AENJA_18450
OG0000006	bflo_22598	AENJA_01590
OG0000006	bflo_15412	AENJA_09210
OG0000006	bflo_10980	AENJA_15474
OG0000007	bflo_13266	AENJA_18325
OG0000007	bflo_05651	AENJA_18163
OG0000007	bflo_16444, bflo_15598	AENJA_00810
OG0000007	bflo_25603	AENJA_25020
OG0000007	bflo_10207	AENJA_23908
OG0000007	bflo_23632	AENJA_19234
OG0000007	bflo_13761	AENJA_18326
OG0000007	bflo_13742	AENJA_06479, AENJA_16018
OG0000007	bflo_13084	AENJA_18328
OG0000007	bflo_00716	AENJA_07512
OG0000007	bflo_16800	AENJA_11851
OG0000007	bflo_12369, bflo_21087	AENJA_09687
OG0000007	bflo_23309	AENJA_07358
OG0000007	bflo_23091	AENJA_11277
OG0000007	bflo_23283	AENJA_22886
OG0000007	bflo_09771	AENJA_20902
OG0000007	bflo_24497	AENJA_16981
OG0000007	bflo_11392	AENJA_26507
OG0000008	bflo_25964, bflo_01367, bflo_00741, bflo_24920	AENJA_15934, AENJA_26738
OG0000008	bflo_09106, bflo_19282	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105
OG0000008	bflo_14409	AENJA_01158
OG0000008	bflo_17089	AENJA_21421, AENJA_04271
OG0000008	bflo_12140	AENJA_00959
OG0000009	bflo_13658	AENJA_09256
