Orthogroup	OWEFU	APOSC_ok
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	APOSC_11837, APOSC_12606
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	APOSC_11472, APOSC_29094
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	APOSC_25410
OG0000000	OFUSG06970.1.p1	APOSC_11604
OG0000000	OFUSG05968.1.p1	APOSC_28354
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	APOSC_19137
OG0000000	OFUSG07307.1.p1	APOSC_01732
OG0000000	OFUSG08786.1.p1	APOSC_11544
OG0000000	OFUSG09074.1.p1	APOSC_06717
OG0000000	OFUSG19303.1.p1	APOSC_04208
OG0000000	OFUSG12013.1.p1	APOSC_07565
OG0000000	OFUSG17426.1.p1	APOSC_11499
OG0000000	OFUSG13332.1.p1	APOSC_22022
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	APOSC_04964
OG0000000	OFUSG03302.1.p1	APOSC_16565
OG0000000	OFUSG13338.1.p1	APOSC_27318
OG0000000	OFUSG13336.1.p1	APOSC_14732
OG0000000	OFUSG17003.1.p1	APOSC_24894
OG0000000	OFUSG21200.1.p1	APOSC_24788
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	APOSC_28968
OG0000000	OFUSG03177.1.p1	APOSC_10621
OG0000000	OFUSG12947.1.p1	APOSC_22429
OG0000000	OFUSG05775.1.p1	APOSC_04636
OG0000000	OFUSG06109.1.p1	APOSC_18693
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	APOSC_00117
OG0000000	OFUSG21806.1.p1	APOSC_08607
OG0000001	OFUSG08662.1.p1	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617
OG0000001	OFUSG21348.1.p1, OFUSG06637.1.p1	APOSC_14768, APOSC_07507, APOSC_17360
OG0000001	OFUSG04205.1.p1	APOSC_22349, APOSC_16849
OG0000001	OFUSG03269.1.p1	APOSC_06282
OG0000002	OFUSG00560.1.p1	APOSC_17563
OG0000002	OFUSG12055.1.p1	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1	APOSC_04905
OG0000002	OFUSG18506.1.p1	APOSC_19154
OG0000002	OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1	APOSC_21951
OG0000003	OFUSG19225.1.p1	APOSC_22070, APOSC_13273, APOSC_13272
OG0000003	OFUSG16264.1.p1	APOSC_00102
OG0000003	OFUSG08772.1.p1, OFUSG14536.1.p1	APOSC_01247, APOSC_01039
OG0000003	OFUSG05190.1.p1, OFUSG05194.1.p1	APOSC_28448, APOSC_01690, APOSC_12113, APOSC_02631, APOSC_04148, APOSC_07747
OG0000003	OFUSG12884.1.p1	APOSC_20058
OG0000003	OFUSG04319.1.p1	APOSC_22836
OG0000003	OFUSG26303.1.p1, OFUSG26296.1.p1	APOSC_06957
