Orthogroup	HELIO_ok	STRPU_ok
OG0000000	HELIO_01999	STRPU_10146, STRPU_10084
OG0000000	HELIO_08880	STRPU_10304
OG0000000	HELIO_10837	STRPU_10010
OG0000000	HELIO_06752	STRPU_10083, STRPU_10145
OG0000000	HELIO_10666	STRPU_10015
OG0000000	HELIO_00795	STRPU_10016
OG0000000	HELIO_03148	STRPU_03800
OG0000000	HELIO_09005	STRPU_23673, STRPU_23648
OG0000000	HELIO_02157	STRPU_09982, STRPU_09961
OG0000000	HELIO_11687	STRPU_20780
OG0000000	HELIO_04988	STRPU_05390
OG0000000	HELIO_00700	STRPU_23196
OG0000000	HELIO_00534	STRPU_23756
OG0000000	HELIO_08573	STRPU_09852
OG0000000	HELIO_11400	STRPU_25072
OG0000000	HELIO_04994	STRPU_23201
OG0000000	HELIO_06829	STRPU_23207
OG0000000	HELIO_00816	STRPU_21017
OG0000000	HELIO_04090	STRPU_21014
OG0000001	HELIO_11550	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221
OG0000001	HELIO_06891	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470
OG0000001	HELIO_10957	STRPU_14233, STRPU_14227
OG0000001	HELIO_04926	STRPU_19145
OG0000001	HELIO_03604	STRPU_04228, STRPU_09860
OG0000001	HELIO_03121	STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405
OG0000001	HELIO_03866	STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352
OG0000001	HELIO_06455	STRPU_11067
OG0000002	HELIO_06940	STRPU_21867
OG0000002	HELIO_06215	STRPU_01111, STRPU_24188
OG0000002	HELIO_12339	STRPU_24739, STRPU_12686
OG0000002	HELIO_07200	STRPU_23131
OG0000002	HELIO_07091	STRPU_24784, STRPU_24781
OG0000002	HELIO_05970	STRPU_24779, STRPU_24782
OG0000002	HELIO_10154	STRPU_24496
OG0000002	HELIO_04237	STRPU_04929
OG0000002	HELIO_03388	STRPU_25851
OG0000002	HELIO_11987	STRPU_22729
OG0000002	HELIO_05342	STRPU_07177, STRPU_18026
OG0000002	HELIO_01248	STRPU_03083
OG0000002	HELIO_10853	STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453
OG0000002	HELIO_05803	STRPU_04204, STRPU_04244
OG0000002	HELIO_05585	STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796
OG0000002	HELIO_02102	STRPU_04913
OG0000002	HELIO_10641	STRPU_04447
OG0000002	HELIO_06844	STRPU_25048
OG0000002	HELIO_12021, HELIO_07207	STRPU_00361
OG0000003	HELIO_07277	STRPU_08514
OG0000003	HELIO_02559	STRPU_06609
OG0000003	HELIO_06998, HELIO_07220	STRPU_07634
OG0000003	HELIO_07172	STRPU_17011
OG0000003	HELIO_07314	STRPU_17996
OG0000003	HELIO_06573	STRPU_22956, STRPU_00065
OG0000003	HELIO_09381	STRPU_09153, STRPU_02119, STRPU_09154
OG0000003	HELIO_06076	STRPU_08511
OG0000003	HELIO_10386	STRPU_17010
OG0000003	HELIO_00920	STRPU_15479, STRPU_02103
OG0000003	HELIO_04847	STRPU_09130
OG0000003	HELIO_01179	STRPU_06867, STRPU_06866
OG0000004	HELIO_07338	STRPU_25308
OG0000004	HELIO_03376	STRPU_09499, STRPU_09497, STRPU_09498
OG0000004	HELIO_11549, HELIO_05294	STRPU_22142
OG0000004	HELIO_07102	STRPU_04563
OG0000004	HELIO_06422	STRPU_26215, STRPU_26214
OG0000004	HELIO_04283	STRPU_03900
OG0000004	HELIO_08003	STRPU_26969
OG0000004	HELIO_01465, HELIO_01464	STRPU_26895
OG0000004	HELIO_11715	STRPU_18793, STRPU_18804, STRPU_18942, STRPU_18792, STRPU_18791, STRPU_25306
OG0000004	HELIO_04180	STRPU_19328
OG0000004	HELIO_05704	STRPU_12971
OG0000004	HELIO_06644	STRPU_09105
OG0000004	HELIO_05598	STRPU_02076
OG0000004	HELIO_04311	STRPU_03320
OG0000004	HELIO_05602	STRPU_03321
OG0000004	HELIO_12155	STRPU_03895
OG0000004	HELIO_00370	STRPU_01396, STRPU_08764, STRPU_27011, STRPU_08312, STRPU_01394, STRPU_01395, STRPU_08765, STRPU_01399, STRPU_26705, STRPU_26709, STRPU_26707, STRPU_26711
OG0000004	HELIO_07295	STRPU_25881
OG0000004	HELIO_04128	STRPU_23220, STRPU_23228
OG0000004	HELIO_00658	STRPU_25882
OG0000004	HELIO_12195	STRPU_25307
OG0000004	HELIO_09679	STRPU_26216
OG0000004	HELIO_02720	STRPU_14825, STRPU_00765, STRPU_14824, STRPU_14822, STRPU_14823, STRPU_14826
OG0000004	HELIO_10453	STRPU_05439, STRPU_05438
OG0000005	HELIO_02981	STRPU_18029
OG0000005	HELIO_07411	STRPU_18030
OG0000005	HELIO_06771	STRPU_17651, STRPU_02270, STRPU_17649, STRPU_17652, STRPU_02271, STRPU_02273
OG0000005	HELIO_04530	STRPU_17967, STRPU_17969, STRPU_02293, STRPU_02291, STRPU_02294, STRPU_17627, STRPU_17624, STRPU_02296, STRPU_17968
OG0000005	HELIO_05062	STRPU_15486, STRPU_15487
OG0000005	HELIO_02098	STRPU_22203, STRPU_22202, STRPU_17272
OG0000005	HELIO_00211	STRPU_26723
OG0000005	HELIO_09686	STRPU_06288, STRPU_06333
OG0000005	HELIO_04655	STRPU_02665, STRPU_01699
OG0000006	HELIO_00413	STRPU_12837
OG0000006	HELIO_09248	STRPU_04777
OG0000006	HELIO_04245	STRPU_06500
