TCONS_00041617.p1	STRPU_05295
TCONS_00048495.p1	STRPU_23630
TCONS_00056980.p1	STRPU_11208
TCONS_00034261.p1	STRPU_03497
TCONS_00021839.p1	STRPU_06369
TCONS_00016801.p1	STRPU_24743
TCONS_00003497.p1	STRPU_20973
TCONS_00026164.p1	STRPU_09308
TCONS_00055662.p1	STRPU_13949
TCONS_00045352.p1	STRPU_08010
TCONS_00051364.p1	STRPU_10993
TCONS_00052944.p1	STRPU_19042
TCONS_00033133.p1	STRPU_22056
TCONS_00009650.p1	STRPU_20986
TCONS_00022443.p1	STRPU_06373
TCONS_00041974.p1	STRPU_05663
TCONS_00019286.p1	STRPU_23437
TCONS_00028562.p1	STRPU_19565
TCONS_00050586.p1	STRPU_10656
TCONS_00055571.p1	STRPU_13886
TCONS_00016980.p1	STRPU_24334
TCONS_00008825.p1	STRPU_25505
TCONS_00042552.p1	STRPU_05269
TCONS_00002761.p1	STRPU_25102
TCONS_00019650.p1	STRPU_22863
TCONS_00027737.p1	STRPU_10283
TCONS_00008817.p1	STRPU_26031
TCONS_00006809.p1	STRPU_15544
TCONS_00018313.p1	STRPU_24371
TCONS_00053562.p1	STRPU_18171
TCONS_00055155.p1	STRPU_16886
TCONS_00038744.p1	STRPU_20260
TCONS_00029424.p1	STRPU_27299
TCONS_00009561.p1	STRPU_20581
TCONS_00026713.p1	STRPU_10341
TCONS_00033553.p1	STRPU_23184
TCONS_00041267.p1	STRPU_23568
TCONS_00049295.p1	STRPU_23008
TCONS_00052055.p1	STRPU_10458
TCONS_00002154.p1	STRPU_17529
TCONS_00001085.p1	STRPU_17445
TCONS_00036726.p1	STRPU_11574
TCONS_00056271.p1	STRPU_15901
TCONS_00026564.p1	STRPU_07195
TCONS_00002869.p1	STRPU_24017
TCONS_00028987.p1	STRPU_26797
TCONS_00022105.p1	STRPU_09508
TCONS_00009969.p1	STRPU_21791
TCONS_00027881.p1	STRPU_26679
TCONS_00015352.p1	STRPU_20026
TCONS_00049625.p1	STRPU_22379
TCONS_00002286.p1	STRPU_17044
TCONS_00052014.p1	STRPU_00373
TCONS_00045043.p1	STRPU_07622
TCONS_00055239.p1	STRPU_10722
TCONS_00008916.p1	STRPU_25562
TCONS_00015412.p1	STRPU_19819
TCONS_00056118.p1	STRPU_14021
TCONS_00045972.p1	STRPU_09002
TCONS_00001179.p1	STRPU_17569
TCONS_00046271.p1	STRPU_00578
TCONS_00007054.p1	STRPU_04467
TCONS_00001713.p1	STRPU_17750
TCONS_00001802.p1	STRPU_02252
TCONS_00027112.p1	STRPU_10075
TCONS_00044151.p1	STRPU_05395
TCONS_00054101.p1	STRPU_18373
TCONS_00012038.p1	STRPU_20786
TCONS_00022654.p1	STRPU_21343
TCONS_00045155.p1	STRPU_07633
TCONS_00014245.p1	STRPU_08836
TCONS_00000584.p1	STRPU_17089
TCONS_00051309.p1	STRPU_25214
TCONS_00015665.p1	STRPU_20039
TCONS_00026598.p1	STRPU_09889
TCONS_00052628.p1	STRPU_19157
TCONS_00044759.p1	STRPU_07223
TCONS_00026026.p1	STRPU_10398
TCONS_00026610.p1	STRPU_10148
TCONS_00049203.p1	STRPU_22848
TCONS_00018691.p1	STRPU_25165
TCONS_00020995.p1	STRPU_06642
TCONS_00009060.p1	STRPU_09020
TCONS_00024187.p1	STRPU_12775
TCONS_00042564.p1	STRPU_25679
TCONS_00044664.p1	STRPU_14983
TCONS_00040310.p1	STRPU_24946
TCONS_00012253.p1	STRPU_08445
TCONS_00054169.p1	STRPU_19043
TCONS_00029746.p1	STRPU_26341
TCONS_00026252.p1	STRPU_09879
TCONS_00037683.p1	STRPU_12218
TCONS_00029716.p1	STRPU_27160
TCONS_00014939.p1	STRPU_21467
TCONS_00053377.p1	STRPU_18370
TCONS_00017246.p1	STRPU_24318
TCONS_00000636.p1	STRPU_17761
TCONS_00011637.p1	STRPU_00197
TCONS_00018852.p1	STRPU_02929
TCONS_00027290.p1	STRPU_10433
TCONS_00007368.p1	STRPU_25330
TCONS_00037415.p1	STRPU_11622
TCONS_00010412.p1	STRPU_20696
TCONS_00044179.p1	STRPU_05696
TCONS_00050634.p1	STRPU_10473
TCONS_00017260.p1	STRPU_24009
TCONS_00015241.p1	STRPU_19903
TCONS_00056307.p1	STRPU_16025
TCONS_00011327.p1	STRPU_20589
TCONS_00040160.p1	STRPU_04109
TCONS_00026510.p1	STRPU_09794
TCONS_00006281.p1	STRPU_14404
TCONS_00041436.p1	STRPU_14109
TCONS_00027408.p1	STRPU_09725
TCONS_00001535.p1	STRPU_11651
TCONS_00043348.p1	STRPU_04502
TCONS_00021340.p1	STRPU_06130
TCONS_00000870.p1	STRPU_18069
TCONS_00053820.p1	STRPU_18463
TCONS_00052992.p1	STRPU_19287
TCONS_00007977.p1	STRPU_25958
TCONS_00048205.p1	STRPU_00641
TCONS_00048502.p1	STRPU_23966
TCONS_00013383.p1	STRPU_09298
TCONS_00016891.p1	STRPU_24181
TCONS_00056448.p1	STRPU_13242
TCONS_00044057.p1	STRPU_04965
TCONS_00011216.p1	STRPU_20501
TCONS_00047757.p1	STRPU_22823
TCONS_00004881.p1	STRPU_15407
TCONS_00055848.p1	STRPU_13364
TCONS_00027690.p1	STRPU_10081
TCONS_00007635.p1	STRPU_25607
TCONS_00011250.p1	STRPU_21131
TCONS_00002304.p1	STRPU_18039
TCONS_00010670.p1	STRPU_20827
TCONS_00017046.p1	STRPU_24071
TCONS_00015362.p1	STRPU_19956
TCONS_00035929.p1	STRPU_11838
TCONS_00010065.p1	STRPU_21311
TCONS_00045700.p1	STRPU_22866
TCONS_00030524.p1	STRPU_04283
TCONS_00046506.p1	STRPU_07349
TCONS_00056947.p1	STRPU_13184
TCONS_00040400.p1	STRPU_03693
TCONS_00007126.p1	STRPU_25430
TCONS_00037581.p1	STRPU_11549
TCONS_00022870.p1	STRPU_06509
TCONS_00043058.p1	STRPU_07160
TCONS_00038376.p1	STRPU_02795
TCONS_00053965.p1	STRPU_19063
TCONS_00015355.p1	STRPU_20061
TCONS_00054292.p1	STRPU_18842
TCONS_00010035.p1	STRPU_20542
TCONS_00042544.p1	STRPU_05015
TCONS_00031020.p1	STRPU_04794
TCONS_00031073.p1	STRPU_04911
TCONS_00014773.p1	STRPU_19842
TCONS_00009854.p1	STRPU_20796
TCONS_00020775.p1	STRPU_00659
TCONS_00010948.p1	STRPU_20976
TCONS_00030888.p1	STRPU_08761
TCONS_00005531.p1	STRPU_14809
TCONS_00021106.p1	STRPU_27092
TCONS_00027853.p1	STRPU_26830
TCONS_00054134.p1	STRPU_18999
TCONS_00049329.p1	STRPU_00640
TCONS_00051172.p1	STRPU_11423
TCONS_00045948.p1	STRPU_07312
TCONS_00003491.p1	STRPU_20538
TCONS_00016063.p1	STRPU_20408
TCONS_00007646.p1	STRPU_25512
TCONS_00001337.p1	STRPU_17639
TCONS_00028803.p1	STRPU_26383
TCONS_00007711.p1	STRPU_26166
TCONS_00056768.p1	STRPU_13462
TCONS_00001175.p1	STRPU_17640
TCONS_00053210.p1	STRPU_19114
TCONS_00027913.p1	STRPU_26778
TCONS_00003659.p1	STRPU_25121
TCONS_00027928.p1	STRPU_26805
TCONS_00000635.p1	STRPU_17355
TCONS_00042943.p1	STRPU_04930
TCONS_00049664.p1	STRPU_22413
TCONS_00053614.p1	STRPU_18898
TCONS_00057179.p1	STRPU_06691
TCONS_00020530.p1	STRPU_22912
TCONS_00019737.p1	STRPU_22262
TCONS_00006468.p1	STRPU_15100
TCONS_00038212.p1	STRPU_16965
TCONS_00043768.p1	STRPU_05005
TCONS_00056936.p1	STRPU_01482
TCONS_00003234.p1	STRPU_24164
TCONS_00047729.p1	STRPU_23611
TCONS_00006362.p1	STRPU_15389
TCONS_00051901.p1	STRPU_21358
TCONS_00025516.p1	STRPU_05955
TCONS_00018018.p1	STRPU_24309
TCONS_00029219.p1	STRPU_13357
TCONS_00010700.p1	STRPU_21395
TCONS_00025887.p1	STRPU_09908
TCONS_00008247.p1	STRPU_26250
TCONS_00042535.p1	STRPU_05312
TCONS_00042083.p1	STRPU_05231
TCONS_00044096.p1	STRPU_05331
TCONS_00011099.p1	STRPU_21057
TCONS_00011587.p1	STRPU_20444
TCONS_00043595.p1	STRPU_05558
TCONS_00031440.p1	STRPU_04711
TCONS_00046268.p1	STRPU_07222
TCONS_00042523.p1	STRPU_05689
TCONS_00056987.p1	STRPU_15643
TCONS_00045017.p1	STRPU_08039
TCONS_00048115.p1	STRPU_23755
TCONS_00027092.p1	STRPU_10271
TCONS_00054417.p1	STRPU_18697
TCONS_00026141.p1	STRPU_10163
TCONS_00003470.p1	STRPU_21281
TCONS_00047532.p1	STRPU_26001
TCONS_00051866.p1	STRPU_11335
TCONS_00003609.p1	STRPU_21771
TCONS_00031354.p1	STRPU_04352
TCONS_00002727.p1	STRPU_25122
TCONS_00005209.p1	STRPU_15127
TCONS_00028626.p1	STRPU_26541
TCONS_00012877.p1	STRPU_08950
TCONS_00011108.p1	STRPU_00198
TCONS_00025463.p1	STRPU_12632
TCONS_00005259.p1	STRPU_14552
TCONS_00006487.p1	STRPU_14753
TCONS_00020853.p1	STRPU_06679
TCONS_00052898.p1	STRPU_19306
TCONS_00032269.p1	STRPU_23198
TCONS_00015238.p1	STRPU_19704
TCONS_00051581.p1	STRPU_06404
TCONS_00027609.p1	STRPU_09721
TCONS_00011482.p1	STRPU_20638
TCONS_00051204.p1	STRPU_11188
TCONS_00011470.p1	STRPU_20765
TCONS_00056699.p1	STRPU_16769
TCONS_00008437.p1	STRPU_25388
TCONS_00030681.p1	STRPU_04313
TCONS_00006684.p1	STRPU_15399
TCONS_00052309.p1	STRPU_01843
TCONS_00051325.p1	STRPU_11255
TCONS_00017944.p1	STRPU_24494
TCONS_00033994.p1	STRPU_03077
TCONS_00051999.p1	STRPU_10749
TCONS_00000361.p1	STRPU_17218
TCONS_00008408.p1	STRPU_15066
TCONS_00047784.p1	STRPU_22370
TCONS_00022343.p1	STRPU_06487
TCONS_00011769.p1	STRPU_20818
TCONS_00000729.p1	STRPU_17945
TCONS_00047365.p1	STRPU_01238
TCONS_00006270.p1	STRPU_14770
TCONS_00001133.p1	STRPU_17420
TCONS_00016266.p1	STRPU_19370
TCONS_00016848.p1	STRPU_27322
TCONS_00026402.p1	STRPU_10287
TCONS_00008835.p1	STRPU_25456
TCONS_00019934.p1	STRPU_25634
TCONS_00011084.p1	STRPU_20775
TCONS_00014803.p1	STRPU_19511
TCONS_00031000.p1	STRPU_04426
TCONS_00054239.p1	STRPU_18930
TCONS_00013726.p1	STRPU_08256
TCONS_00015187.p1	STRPU_19454
TCONS_00011649.p1	STRPU_21006
TCONS_00031216.p1	STRPU_04814
TCONS_00029079.p1	STRPU_27301
TCONS_00057157.p1	STRPU_13554
TCONS_00042042.p1	STRPU_05510
TCONS_00047900.p1	STRPU_23175
TCONS_00014266.p1	STRPU_27113
TCONS_00034837.p1	STRPU_03142
TCONS_00055264.p1	STRPU_21218
TCONS_00055498.p1	STRPU_13783
TCONS_00053768.p1	STRPU_18560
TCONS_00012209.p1	STRPU_21269
TCONS_00030552.p1	STRPU_04815
TCONS_00027867.p1	STRPU_27135
TCONS_00029934.p1	STRPU_04340
TCONS_00057145.p1	STRPU_13925
TCONS_00018385.p1	STRPU_01096
TCONS_00041340.p1	STRPU_22949
TCONS_00047832.p1	STRPU_00705
TCONS_00007987.p1	STRPU_26185
TCONS_00020167.p1	STRPU_22245
TCONS_00021629.p1	STRPU_06870
TCONS_00046388.p1	STRPU_07722
TCONS_00025514.p1	STRPU_12700
TCONS_00005099.p1	STRPU_15485
TCONS_00045077.p1	STRPU_07960
TCONS_00020243.p1	STRPU_22930
TCONS_00001103.p1	STRPU_17673
