Orthogroup	DANRE	PFLAV
OG0000000	DANRE06436, DANRE05762	TCONS_00026365.p1
OG0000000	DANRE24636, DANRE35926	TCONS_00019737.p1
OG0000000	DANRE04899, DANRE05022, DANRE06714	TCONS_00027826.p1
OG0000000	DANRE37544, DANRE11226	TCONS_00026910.p1
OG0000000	DANRE04898	TCONS_00026836.p1
OG0000000	DANRE11232, DANRE16357, DANRE04386	TCONS_00026612.p1
OG0000000	DANRE05964, DANRE19591, DANRE19592	TCONS_00026711.p1
OG0000000	DANRE34117, DANRE19532, DANRE36202	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	DANRE02487, DANRE13405	TCONS_00018852.p1
OG0000000	DANRE00977	TCONS_00017786.p1
OG0000000	DANRE04328, DANRE04330, DANRE04329	TCONS_00026487.p1
OG0000000	DANRE18867, DANRE18868	TCONS_00010493.p1
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	TCONS_00032259.p1
OG0000000	DANRE35277, DANRE35276, DANRE17824	TCONS_00043772.p1
OG0000000	DANRE29250, DANRE09540	TCONS_00032260.p1
OG0000000	DANRE24278	TCONS_00043771.p1
OG0000000	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703	TCONS_00032269.p1
OG0000000	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335	TCONS_00032262.p1
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	TCONS_00032264.p1
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	TCONS_00019139.p1
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	TCONS_00027510.p1
OG0000000	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237	TCONS_00032270.p1
OG0000000	DANRE06945, DANRE06944, DANRE20512	TCONS_00042478.p1
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	TCONS_00031629.p1
OG0000000	DANRE05977, DANRE05743	TCONS_00026601.p1
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	TCONS_00026600.p1
