ENSDARP00000128236	ENSDARG00000097685	si:ch211-235i11	zf-C2H2
ENSDARP00000012411	ENSDARG00000015793	creb3l1	TF_bZIP
ENSDARP00000036177	ENSDARG00000023058	foxo3a	Fork_head
ENSDARP00000072928	ENSDARG00000029263	hoxb3a	Homeobox
ENSDARP00000065138	ENSDARG00000044457	gfi1ab	zf-C2H2
ENSDARP00000136614	ENSDARG00000101106	si:ch73-109d9	zf-C2H2
ENSDARP00000072266	ENSDARG00000019293	tfdp1a	E2F
ENSDARP00000005897	ENSDARG00000006560	irf4a	IRF
ENSDARP00000133167	ENSDARG00000093799	setbp1	TF_others
ENSDARP00000115279	ENSDARG00000090814	si:dkey-18a10	HSF
ENSDARP00000056654	ENSDARG00000038792	klf17	zf-C2H2
ENSDARP00000054688	ENSDARG00000037555	atoh8	bHLH
ENSDARP00000132169	ENSDARG00000101319	si:ch73-299h12	zf-C2H2
ENSDARP00000120657	ENSDARG00000051729	nfatc3b	RHD
ENSDARP00000101210	ENSDARG00000077581	zzz3	MYB
ENSDARP00000059263	ENSDARG00000054031	mxd4	bHLH
ENSDARP00000054091	ENSDARG00000037196	arid5b	ARID
ENSDARP00000157084	ENSDARG00000032264	mybl2b	MYB
ENSDARP00000136077	ENSDARG00000075952	mbd2	MBD
ENSDARP00000123203	ENSDARG00000088861	znf1021	zf-C2H2
ENSDARP00000024846	ENSDARG00000020926	creb3l3l	TF_bZIP
ENSDARP00000089712	ENSDARG00000052164	znf507	zf-C2H2
ENSDARP00000090088	ENSDARG00000045857	cebpz	TF_others
ENSDARP00000067426	ENSDARG00000045874	yeats4	TF_others
ENSDARP00000054114	ENSDARG00000075666	tsc22d3	TSC22
ENSDARP00000139957	ENSDARG00000100468	znf1182	zf-C2H2
ENSDARP00000122949	ENSDARG00000075560	kmt2cb	HMG
ENSDARP00000131308	ENSDARG00000102363	si:ch73-138e16	zf-C2H2
ENSDARP00000075256	ENSDARG00000058011	arxa	Homeobox
ENSDARP00000139917	ENSDARG00000114894	znf1026	zf-C2H2
ENSDARP00000047723	ENSDARG00000013207	zeb1b	zf-C2H2
ENSDARP00000113096	ENSDARG00000015998	wdhd1	HMG
ENSDARP00000139938	ENSDARG00000068822	purba	TF_others
ENSDARP00000100237	ENSDARG00000077467	sox10	HMG
ENSDARP00000121268	ENSDARG00000008818	hsf1	HSF
ENSDARP00000132593	ENSDARG00000098800	znf1156	zf-C2H2
ENSDARP00000125125	ENSDARG00000086296	BX649307.1	zf-C2H2
ENSDARP00000124450	ENSDARG00000063258	rfx5	RFX
ENSDARP00000127570	ENSDARG00000117156	si:dkey-7j22	zf-C2H2
ENSDARP00000112329	ENSDARG00000090914	si:ch211-117k10	zf-C2H2
ENSDARP00000045350	ENSDARG00000018321	lbx1a	Homeobox
ENSDARP00000066371	ENSDARG00000045131	id4	bHLH
ENSDARP00000072890	ENSDARG00000056015	hoxb13a	Homeobox
ENSDARP00000141232	ENSDARG00000104678	CU467646.6	zf-C2H2
ENSDARP00000142037	ENSDARG00000101292	si:dkey-201g16	zf-C2H2
ENSDARP00000156093	ENSDARG00000069763	etv5a	ETS
ENSDARP00000105923	ENSDARG00000057323	e2f8	E2F
ENSDARP00000128850	ENSDARG00000078781	si:ch211-161c3	HMGA
ENSDARP00000129812	ENSDARG00000097928	si:ch73-40a17	zf-C2H2
ENSDARP00000136409	ENSDARG00000100995	si:dkey-16b10	zf-C2H2
ENSDARP00000075891	ENSDARG00000058566	si:dkey-253d23	zf-C2H2
ENSDARP00000002005	ENSDARG00000001210	arl14ep	THAP
ENSDARP00000135626	ENSDARG00000103689	znf1148	zf-C2H2
ENSDARP00000150516	ENSDARG00000100179	gb:ai877918	zf-C2H2
ENSDARP00000073394	ENSDARG00000056438	her9	bHLH
ENSDARP00000120269	ENSDARG00000041098	barx2	Homeobox
ENSDARP00000153626	ENSDARG00000069432	plscr3b	TF_others
ENSDARP00000011265	ENSDARG00000014479	ptf1a	bHLH
ENSDARP00000139658	ENSDARG00000102899	cremb	TF_bZIP
ENSDARP00000128762	ENSDARG00000092471	si:dkey-7j22	zf-C2H2
ENSDARP00000106790	ENSDARG00000015567	zic1	zf-C2H2
ENSDARP00000023732	ENSDARG00000086393	dbx1a	Homeobox
ENSDARP00000067888	ENSDARG00000076297	nfatc3a	RHD
ENSDARP00000128538	ENSDARG00000097215	si:dkey-172k15	zf-C2H2
ENSDARP00000087631	ENSDARG00000063649	tead3b	TEA
ENSDARP00000102422	ENSDARG00000074548	zbtb17	ZBTB
ENSDARP00000076791	ENSDARG00000059276	hoxd4a	Homeobox
ENSDARP00000137989	ENSDARG00000099612	zgc:66483	zf-C2H2
ENSDARP00000144391	ENSDARG00000098898	si:ch211-255f4	zf-C2H2
ENSDARP00000133229	ENSDARG00000098270	znf1053	zf-C2H2
ENSDARP00000126556	ENSDARG00000089814	znf1042	zf-C2H2
ENSDARP00000009156	ENSDARG00000017615	tlx3b	Homeobox
ENSDARP00000059975	ENSDARG00000040926	nr2f2	RXR-like
ENSDARP00000140978	ENSDARG00000104485	si:ch1073-224n8	zf-C2H2
ENSDARP00000108362	ENSDARG00000044356	tp63	P53
ENSDARP00000015851	ENSDARG00000001621	nfyal	NF-YA
ENSDARP00000118164	ENSDARG00000094038	si:ch211-226f6	zf-BED
ENSDARP00000109684	ENSDARG00000017953	tp73	P53
ENSDARP00000061587	ENSDARG00000042027	prrx1b	Homeobox
ENSDARP00000027699	ENSDARG00000012435	spic	ETS
ENSDARP00000026131	ENSDARG00000015554	zic2a	zf-C2H2
ENSDARP00000125463	ENSDARG00000109821	si:dkey-156j15	zf-C2H2
ENSDARP00000094223	ENSDARG00000070465	si:dkey-13n23	zf-BED
ENSDARP00000115671	ENSDARG00000075928	hivep3a	zf-C2H2
ENSDARP00000116705	ENSDARG00000090769	si:dkey-51d8	zf-C2H2
ENSDARP00000084051	ENSDARG00000054984	zbtb41	ZBTB
ENSDARP00000149239	ENSDARG00000003877	pbrm1	HMG
ENSDARP00000112686	ENSDARG00000094059	si:ch211-191j22	HMG
ENSDARP00000131954	ENSDARG00000100361	znf1174	zf-C2H2
ENSDARP00000138967	ENSDARG00000004697	rxrgb	RXR-like
ENSDARP00000110501	ENSDARG00000055588	stat5b	STAT
ENSDARP00000099080	ENSDARG00000076857	her3	bHLH
ENSDARP00000098158	ENSDARG00000078279	foxp3b	Fork_head
ENSDARP00000144490	ENSDARG00000012699	bbx	HMG
ENSDARP00000116013	ENSDARG00000004074	bach2b	TF_bZIP
ENSDARP00000154860	ENSDARG00000027199	smad1	MH1
ENSDARP00000133190	ENSDARG00000101093	zgc:162971	zf-C2H2
ENSDARP00000140071	ENSDARG00000095745	si:ch73-138e16	zf-C2H2
ENSDARP00000122719	ENSDARG00000068366	si:dkey-154p10	zf-C2H2
ENSDARP00000140685	ENSDARG00000102389	ved	Homeobox
ENSDARP00000140749	ENSDARG00000104208	zgc:172128	zf-C2H2
ENSDARP00000128811	ENSDARG00000074148	rbpjl	CSL
ENSDARP00000084269	ENSDARG00000062268	jarid2b	ARID
ENSDARP00000113006	ENSDARG00000078256	ovol1b	zf-C2H2
ENSDARP00000110624	ENSDARG00000031756	mef2aa	SRF
ENSDARP00000100455	ENSDARG00000045695	myca	bHLH
ENSDARP00000115520	ENSDARG00000007387	irf2a	IRF
ENSDARP00000130757	ENSDARG00000099187	purg	TF_others
ENSDARP00000113109	ENSDARG00000093129	si:rp71-45k5	Fork_head
ENSDARP00000108258	ENSDARG00000069252	mixl1	Homeobox
ENSDARP00000134315	ENSDARG00000092269	si:dkeyp-41f9	zf-C2H2
ENSDARP00000155063	ENSDARG00000038780	ubtfl	HMG
ENSDARP00000132520	ENSDARG00000103348	si:dkey-176f19	zf-C2H2
ENSDARP00000101517	ENSDARG00000004757	ybx1	CSD
ENSDARP00000128160	ENSDARG00000061110	zbtb44	ZBTB
ENSDARP00000147155	ENSDARG00000030125	sox7	HMG
ENSDARP00000106581	ENSDARG00000089697	nfe2l2b	TF_bZIP
ENSDARP00000139406	ENSDARG00000099849	ebf3a	COE
ENSDARP00000103900	ENSDARG00000003251	zbtb22b	ZBTB
ENSDARP00000144550	ENSDARG00000102635	znf1037	zf-C2H2
ENSDARP00000155879	ENSDARG00000094558	si:dkeyp-53e4	zf-C2H2
ENSDARP00000128312	ENSDARG00000086626	im:7147486	zf-C2H2
ENSDARP00000104286	ENSDARG00000075107	nkx2.4a	Homeobox
ENSDARP00000107064	ENSDARG00000088290	foxj1b	Fork_head
ENSDARP00000129199	ENSDARG00000097244	zgc:174263	zf-C2H2
ENSDARP00000111735	ENSDARG00000016363	her8a	bHLH
ENSDARP00000031421	ENSDARG00000074070	irx5b	Homeobox
ENSDARP00000004889	ENSDARG00000002445	prdm1a	zf-C2H2
ENSDARP00000022655	ENSDARG00000101628	ascl1b	bHLH
ENSDARP00000112582	ENSDARG00000094469	si:ch211-148l7	zf-C2H2
ENSDARP00000121117	ENSDARG00000059109	si:dkeyp-113d7	zf-C2H2
ENSDARP00000134077	ENSDARG00000028335	hmga1a	HMGA
ENSDARP00000144554	ENSDARG00000069196	ebf1b	COE
ENSDARP00000026510	ENSDARG00000008131	sox1b	HMG
ENSDARP00000131483	ENSDARG00000102606	znf1158	zf-C2H2
ENSDARP00000094757	ENSDARG00000030616	nfe2l1a	TF_bZIP
ENSDARP00000095296	ENSDARG00000035732	arntl1b	bHLH
ENSDARP00000128061	ENSDARG00000109466	si:dkeyp-77c4	zf-C2H2
ENSDARP00000140629	ENSDARG00000036235	zbtb3	ZBTB
ENSDARP00000117357	ENSDARG00000094684	si:dkey-149i17	zf-C2H2
ENSDARP00000097539	ENSDARG00000074502	zmiz1a	zf-MIZ
ENSDARP00000138792	ENSDARG00000100882	znf1154	zf-C2H2
ENSDARP00000123391	ENSDARG00000062824	alx1	Homeobox
ENSDARP00000120678	ENSDARG00000068168	hes2	bHLH
ENSDARP00000150009	ENSDARG00000005186	sp4	zf-C2H2
ENSDARP00000008476	ENSDARG00000011870	sp8a	zf-C2H2
ENSDARP00000127501	ENSDARG00000097086	si:dkey-172k15	zf-C2H2
ENSDARP00000125051	ENSDARG00000058342	grhl2a	CP2
ENSDARP00000124484	ENSDARG00000077982	elf3	ETS
ENSDARP00000077498	ENSDARG00000019930	tal1	bHLH
ENSDARP00000154337	ENSDARG00000008209	myt1la	zf-C2HC
ENSDARP00000094817	ENSDARG00000055481	atf7b	TF_bZIP
ENSDARP00000146905	ENSDARG00000076657	plagl2	zf-C2H2
ENSDARP00000107718	ENSDARG00000092060	tbx5b	T-box
ENSDARP00000139069	ENSDARG00000103441	znf1060	zf-C2H2
ENSDARP00000133528	ENSDARG00000077205	zgc:153116	zf-C2H2
ENSDARP00000097547	ENSDARG00000077101	zbtb10	ZBTB
ENSDARP00000121645	ENSDARG00000093999	si:ch73-376l24	MYB
ENSDARP00000125467	ENSDARG00000096012	BX649479.1	zf-C2H2
ENSDARP00000141926	ENSDARG00000104034	arid3b	ARID
ENSDARP00000101599	ENSDARG00000017886	zbtb11	ZBTB
ENSDARP00000138945	ENSDARG00000100494	pbx1a	Homeobox
ENSDARP00000075139	ENSDARG00000057936	lhx5	Homeobox
ENSDARP00000072485	ENSDARG00000055630	foxh1	Fork_head
ENSDARP00000127780	ENSDARG00000059370	nr1d4b	THR-like
ENSDARP00000098212	ENSDARG00000011299	blzf1	TF_others
ENSDARP00000014151	ENSDARG00000014692	znf622	zf-C2H2
ENSDARP00000022555	ENSDARG00000021201	noto	Homeobox
ENSDARP00000132250	ENSDARG00000101694	znf1184	zf-C2H2
ENSDARP00000101854	ENSDARG00000008174	hoxb1a	Homeobox
ENSDARP00000008458	ENSDARG00000013533	hoxb4a	Homeobox
ENSDARP00000046637	ENSDARG00000056027	hoxb8a	Homeobox
ENSDARP00000120165	ENSDARG00000009094	gata2b	zf-GATA
ENSDARP00000141934	ENSDARG00000101576	tbxta	T-box
ENSDARP00000034835	ENSDARG00000025899	pnx	Homeobox
ENSDARP00000096539	ENSDARG00000071497	zic3	zf-C2H2
ENSDARP00000124333	ENSDARG00000078210	tulp1b	Tub
ENSDARP00000058706	ENSDARG00000040137	jdp2a	TF_bZIP
ENSDARP00000061616	ENSDARG00000042045	hmg20b	HMG
ENSDARP00000147922	ENSDARG00000020746	gfi1aa	zf-C2H2
ENSDARP00000128290	ENSDARG00000089940	znf1008	zf-C2H2
ENSDARP00000113405	ENSDARG00000061174	znf740b	zf-C2H2
ENSDARP00000095305	ENSDARG00000070929	sox14	HMG
ENSDARP00000118325	ENSDARG00000029497	tfcp2l1	CP2
ENSDARP00000116051	ENSDARG00000041702	rfx6	RFX
ENSDARP00000124306	ENSDARG00000042041	tal2	bHLH
ENSDARP00000111552	ENSDARG00000024844	max	bHLH
ENSDARP00000009717	ENSDARG00000014463	usf1l	bHLH
ENSDARP00000137570	ENSDARG00000089142	zgc:113119	zf-C2H2
ENSDARP00000139577	ENSDARG00000100486	foxo6a	Fork_head
ENSDARP00000122100	ENSDARG00000079373	fosl1b	TF_bZIP
ENSDARP00000057643	ENSDARG00000039458	lhx4	Homeobox
ENSDARP00000119920	ENSDARG00000042977	nfil3	TF_bZIP
ENSDARP00000119758	ENSDARG00000091967	ttf1	MYB
ENSDARP00000135344	ENSDARG00000102473	zgc:171673	zf-C2H2
ENSDARP00000155813	ENSDARG00000098240	meis2a	Homeobox
ENSDARP00000123798	ENSDARG00000040606	tfap2c	AP-2
ENSDARP00000113982	ENSDARG00000006939	tbx6l	T-box
ENSDARP00000019758	ENSDARG00000014480	nr6a1b	GCNF-like
ENSDARP00000135772	ENSDARG00000099284	si:dkey-228b2	THAP
ENSDARP00000023072	ENSDARG00000023031	hoxa2b	Homeobox
ENSDARP00000126827	ENSDARG00000075834	si:dkey-182i3	zf-C2H2
ENSDARP00000006410	ENSDARG00000012788	foxa3	Fork_head
ENSDARP00000123264	ENSDARG00000031222	lhx2b	Homeobox
ENSDARP00000116776	ENSDARG00000093461	si:dkey-56m15	zf-C2H2
ENSDARP00000128239	ENSDARG00000088640	znf1115	zf-C2H2
ENSDARP00000128664	ENSDARG00000097091	si:dkey-7j22	zf-C2H2
ENSDARP00000153725	ENSDARG00000101891	arid1ab	ARID
ENSDARP00000132889	ENSDARG00000104823	znf648	zf-C2H2
ENSDARP00000141422	ENSDARG00000098683	zmiz2	zf-MIZ
ENSDARP00000105581	ENSDARG00000055294	atoh1a	bHLH
ENSDARP00000043454	ENSDARG00000010207	smad3b	MH1
ENSDARP00000119209	ENSDARG00000092160	ferd3l	bHLH
ENSDARP00000125385	ENSDARG00000095440	si:dkeyp-53e4	zf-C2H2
ENSDARP00000143101	ENSDARG00000102480	BX005417.2	zf-C2H2
ENSDARP00000128816	ENSDARG00000070951	hmga1b	HMGA
ENSDARP00000062853	ENSDARG00000042824	nfe2l2a	TF_bZIP
ENSDARP00000025628	ENSDARG00000021055	isl1l	Homeobox
ENSDARP00000068999	ENSDARG00000052618	ahrrb	bHLH
