Orthogroup	AMPFI_ok	MOUSE
OG0000000	AMPFI_12098	MOUSE35835, MOUSE46731
OG0000000	AMPFI_16114	MOUSE35499, MOUSE22971
OG0000000	AMPFI_11894	MOUSE40493, MOUSE21445
OG0000000	AMPFI_12336	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	AMPFI_08228	MOUSE25533, MOUSE37056
OG0000000	AMPFI_02168	MOUSE20961
OG0000000	AMPFI_10716	MOUSE24692
OG0000000	AMPFI_19781	MOUSE38795
OG0000000	AMPFI_12478	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	AMPFI_20876	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	AMPFI_21326	MOUSE12761, MOUSE36110
OG0000000	AMPFI_01589	MOUSE28110, MOUSE28109
OG0000000	AMPFI_10655	MOUSE07114
OG0000001	AMPFI_19631	MOUSE47424, MOUSE47422
OG0000001	AMPFI_03160	MOUSE11565, MOUSE20858, MOUSE11567
OG0000001	AMPFI_18148, AMPFI_13477	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000001	AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
OG0000002	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336	MOUSE33129
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663	MOUSE15413, MOUSE15412
OG0000003	AMPFI_14862	MOUSE23701, MOUSE23700
OG0000003	AMPFI_18391, AMPFI_13137	MOUSE36184
OG0000004	AMPFI_23148, AMPFI_09184, AMPFI_25238	MOUSE21111
OG0000004	AMPFI_04189	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144
OG0000004	AMPFI_03068	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	AMPFI_22470	MOUSE11220
OG0000006	AMPFI_22262	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	AMPFI_22463	MOUSE54497
OG0000006	AMPFI_10542, AMPFI_00206	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	AMPFI_02520	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	AMPFI_09123	MOUSE19675
OG0000006	AMPFI_18507	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	AMPFI_06099	MOUSE08011, MOUSE15296
OG0000006	AMPFI_17130	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	AMPFI_12555	MOUSE03398
OG0000007	AMPFI_02812	MOUSE51845, MOUSE20686
OG0000007	AMPFI_07094	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	AMPFI_15871	MOUSE13954
OG0000007	AMPFI_26059	MOUSE04689, MOUSE37388
OG0000007	AMPFI_15806	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	AMPFI_22204	MOUSE38586, MOUSE06525
OG0000007	AMPFI_08786	MOUSE06204
OG0000007	AMPFI_21281	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	AMPFI_23280	MOUSE07031, MOUSE07030
OG0000008	AMPFI_03619	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182
OG0000008	AMPFI_18464	MOUSE25728
OG0000010	AMPFI_14307, AMPFI_14306, AMPFI_02722	MOUSE46557
OG0000010	AMPFI_14170	MOUSE14749, MOUSE34626, MOUSE34625, MOUSE34624, MOUSE34426, MOUSE34427, MOUSE49605, MOUSE49413
OG0000010	AMPFI_04353	MOUSE22876
OG0000010	AMPFI_20654	MOUSE09529
OG0000010	AMPFI_04364	MOUSE12661
OG0000011	AMPFI_20107	MOUSE08113
OG0000012	AMPFI_05035, AMPFI_18913	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	AMPFI_16130	MOUSE38313
OG0000013	AMPFI_13640	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	AMPFI_05504, AMPFI_16319	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187, MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100, MOUSE20912, MOUSE31149, MOUSE31150
OG0000014	AMPFI_18330	MOUSE22789, MOUSE22790, MOUSE00987
OG0000014	AMPFI_16339	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	AMPFI_03612, AMPFI_14991, AMPFI_21256, AMPFI_03968	MOUSE04191
OG0000015	AMPFI_23995	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	AMPFI_14639	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939	MOUSE13078, MOUSE13077
OG0000016	AMPFI_06248	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	AMPFI_15536, AMPFI_18220, AMPFI_13190	MOUSE44334
OG0000019	AMPFI_01264, AMPFI_06523	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000019	AMPFI_03780	MOUSE30063, MOUSE30064
OG0000020	AMPFI_07852	MOUSE45177, MOUSE05499, MOUSE05500
OG0000020	AMPFI_03773	MOUSE53015
OG0000020	AMPFI_19334	MOUSE07164
OG0000020	AMPFI_23773	MOUSE33588
OG0000020	AMPFI_11019	MOUSE23587, MOUSE23586
OG0000020	AMPFI_06907	MOUSE26371
OG0000020	AMPFI_24792	MOUSE45175, MOUSE15405, MOUSE15402
OG0000020	AMPFI_07932	MOUSE24012
OG0000020	AMPFI_12343	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	AMPFI_25813	MOUSE35162
OG0000020	AMPFI_21494	MOUSE09601, MOUSE09602
OG0000020	AMPFI_07388	MOUSE37001, MOUSE37002
OG0000020	AMPFI_13969	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	AMPFI_08825	MOUSE40749, MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022
OG0000021	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941	MOUSE44445, MOUSE53773
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	AMPFI_05477	MOUSE46773, MOUSE46772
OG0000023	AMPFI_11289, AMPFI_18034	MOUSE49036
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000026	AMPFI_12171	MOUSE34507
OG0000026	AMPFI_01077, AMPFI_16904	MOUSE12605
OG0000026	AMPFI_17661, AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957	MOUSE38308, MOUSE38309
OG0000028	AMPFI_19162	MOUSE36324, MOUSE36325, MOUSE45380
OG0000029	AMPFI_24572, AMPFI_17682, AMPFI_23832	MOUSE43115, MOUSE43116
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000030	AMPFI_02183	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	AMPFI_03176	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	AMPFI_14371, AMPFI_13166	MOUSE55186
OG0000031	AMPFI_13279	MOUSE08529
OG0000031	AMPFI_06256	MOUSE26385
OG0000031	AMPFI_14304	MOUSE08528, MOUSE08527
OG0000031	AMPFI_01333	MOUSE39309, MOUSE01505
OG0000031	AMPFI_05075	MOUSE48656, MOUSE48889
