Orthogroup	OWEFU	AMPFI_ok
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	AMPFI_12098
OG0000000	OFUSG13305.1.p1	AMPFI_16114
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	AMPFI_11894
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	AMPFI_12336
OG0000000	OFUSG05968.1.p1	AMPFI_16025
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	AMPFI_08228
OG0000000	OFUSG19303.1.p1	AMPFI_02168
OG0000000	OFUSG12013.1.p1	AMPFI_10716
OG0000000	OFUSG03302.1.p1	AMPFI_19781
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	AMPFI_12478
OG0000000	OFUSG03177.1.p1	AMPFI_20876
OG0000000	OFUSG05775.1.p1	AMPFI_21326
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	AMPFI_01589
OG0000000	OFUSG21806.1.p1	AMPFI_10655
OG0000001	OFUSG08662.1.p1	AMPFI_23521
OG0000001	OFUSG04205.1.p1, OFUSG01600.1.p1, OFUSG03605.1.p1	AMPFI_19631
OG0000001	OFUSG07127.1.p1, OFUSG03269.1.p1	AMPFI_25090
OG0000001	OFUSG17423.1.p1	AMPFI_23234
OG0000001	OFUSG06369.1.p1, OFUSG09030.1.p1	AMPFI_08190, AMPFI_16435
OG0000002	OFUSG00560.1.p1	AMPFI_23102
OG0000002	OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1	AMPFI_18855, AMPFI_10028, AMPFI_14105
OG0000002	OFUSG22946.2.p1	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709
OG0000002	OFUSG18506.1.p1	AMPFI_00565, AMPFI_17812, AMPFI_23663
OG0000002	OFUSG12538.1.p1	AMPFI_24271
OG0000002	OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1	AMPFI_17825
OG0000003	OFUSG18790.1.p1	AMPFI_12750
OG0000003	OFUSG26305.1.p1, OFUSG17555.1.p1	AMPFI_07815
OG0000003	OFUSG19225.1.p1	AMPFI_17434
OG0000003	OFUSG16264.1.p1	AMPFI_18906
OG0000003	OFUSG14536.1.p1	AMPFI_22992
OG0000003	OFUSG05190.1.p1, OFUSG05194.1.p1	AMPFI_23034, AMPFI_24242, AMPFI_13081, AMPFI_01108, AMPFI_17831
OG0000003	OFUSG10601.1.p1, OFUSG12883.1.p1	AMPFI_20373
OG0000003	OFUSG01752.1.p1	AMPFI_15011
OG0000003	OFUSG04319.1.p1	AMPFI_13340, AMPFI_02133, AMPFI_10984
OG0000003	OFUSG05925.1.p1	AMPFI_02028
OG0000003	OFUSG18436.1.p1, OFUSG18438.1.p1	AMPFI_17117
OG0000003	OFUSG05924.1.p1	AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596
OG0000003	OFUSG23734.1.p1	AMPFI_16630, AMPFI_04001
OG0000003	OFUSG18791.1.p1	AMPFI_14216
OG0000003	OFUSG21073.1.p1	AMPFI_14748
OG0000003	OFUSG02265.1.p1	AMPFI_18391, AMPFI_13137
OG0000003	OFUSG04605.1.p1, OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1	AMPFI_11583
OG0000003	OFUSG23317.1.p1	AMPFI_09604
OG0000004	OFUSG14165.1.p1	AMPFI_00502, AMPFI_04409, AMPFI_21966
OG0000004	OFUSG26229.2.p1, OFUSG18850.1.p1	AMPFI_00336
OG0000004	OFUSG20734.1.p1	AMPFI_14906
OG0000004	OFUSG09262.1.p1, OFUSG02194.1.p1, OFUSG21058.1.p1	AMPFI_24981, AMPFI_23786
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	OFUSG11531.1.p1	AMPFI_01603
OG0000006	OFUSG25514.1.p1	AMPFI_22262
OG0000006	OFUSG14428.1.p1	AMPFI_22463
OG0000006	OFUSG07929.1.p1	AMPFI_10542, AMPFI_00206
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	AMPFI_02520
OG0000006	OFUSG08660.1.p1	AMPFI_23503
OG0000006	OFUSG08659.1.p1	AMPFI_09123
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	AMPFI_18507
OG0000006	OFUSG11740.1.p1	AMPFI_06099
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	AMPFI_17130
OG0000006	OFUSG11470.1.p1	AMPFI_12555
OG0000006	OFUSG05485.1.p1	AMPFI_05072, AMPFI_22396
OG0000007	OFUSG09476.1.p1	AMPFI_02812
OG0000007	OFUSG21527.1.p1	AMPFI_07094
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	AMPFI_16775
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	AMPFI_15871
OG0000007	OFUSG25429.1.p1	AMPFI_26059
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	AMPFI_15806
OG0000007	OFUSG10613.1.p1	AMPFI_08786
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	AMPFI_21281
OG0000007	OFUSG25241.1.p1	AMPFI_23280
OG0000008	OFUSG01560.1.p1	AMPFI_03619
OG0000008	OFUSG20435.1.p1	AMPFI_24346
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	AMPFI_18464
OG0000008	OFUSG22412.1.p1, OFUSG08236.1.p1	AMPFI_19927
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	AMPFI_13893
OG0000010	OFUSG20029.1.p1, OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	AMPFI_14170
OG0000010	OFUSG09248.1.p1	AMPFI_04353
OG0000010	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1	AMPFI_04364
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	AMPFI_05035, AMPFI_18913
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	AMPFI_16130
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	AMPFI_13640
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	AMPFI_10576, AMPFI_00293, AMPFI_03918, AMPFI_12155, AMPFI_04680, AMPFI_21375, AMPFI_08000, AMPFI_07725, AMPFI_05504, AMPFI_16319
OG0000014	OFUSG01558.1.p1	AMPFI_25378
OG0000014	OFUSG00805.1.p1	AMPFI_16339
OG0000014	OFUSG25832.1.p1	AMPFI_21256, AMPFI_03968
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1	AMPFI_23995
OG0000016	OFUSG16773.1.p1	AMPFI_14639
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	AMPFI_25432
OG0000016	OFUSG13895.1.p1	AMPFI_20923
OG0000016	OFUSG11848.1.p1	AMPFI_06248
OG0000016	OFUSG06227.1.p1	AMPFI_18220
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	AMPFI_11532, AMPFI_08754, AMPFI_20588, AMPFI_10703, AMPFI_18517, AMPFI_05465, AMPFI_00471, AMPFI_25144, AMPFI_11545
OG0000018	OFUSG14111.1.p3	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	AMPFI_10151
OG0000019	OFUSG08823.1.p1	AMPFI_16723
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	AMPFI_01636
