Orthogroup	LYTVA_ok	SACKO_ok
OG0000000	LYTVA_09514	SACKO_11053
OG0000000	LYTVA_01679	SACKO_12749
OG0000000	LYTVA_23170	SACKO_19677
OG0000000	LYTVA_01380	SACKO_25619
OG0000000	LYTVA_01827	SACKO_05553
OG0000000	LYTVA_18988	SACKO_16683
OG0000000	LYTVA_18985	SACKO_25799
OG0000000	LYTVA_13103	SACKO_32730, SACKO_17792
OG0000000	LYTVA_27688	SACKO_03962
OG0000000	LYTVA_21959	SACKO_26485
OG0000000	LYTVA_22602	SACKO_31887
OG0000000	LYTVA_27704	SACKO_26668
OG0000000	LYTVA_08678	SACKO_24012
OG0000000	LYTVA_23667	SACKO_11588
OG0000000	LYTVA_22477	SACKO_24002
OG0000000	LYTVA_22478	SACKO_24031
OG0000000	LYTVA_22480	SACKO_24025
OG0000000	LYTVA_23047	SACKO_26673
OG0000000	LYTVA_14838	SACKO_06485
OG0000000	LYTVA_06897	SACKO_31872
OG0000000	LYTVA_22476	SACKO_24017
OG0000000	LYTVA_22475	SACKO_23999
OG0000000	LYTVA_22714	SACKO_11599
OG0000000	LYTVA_19015	SACKO_22872
OG0000000	LYTVA_26599	SACKO_31901
OG0000000	LYTVA_17046	SACKO_31899
OG0000000	LYTVA_23349	SACKO_11978
OG0000000	LYTVA_23351	SACKO_12011
OG0000001	LYTVA_19190, LYTVA_26158	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719
OG0000001	LYTVA_04837, LYTVA_04757, LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761, LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	LYTVA_28398	SACKO_14603
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674	SACKO_11085
OG0000002	LYTVA_01784	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706
OG0000002	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	LYTVA_09815, LYTVA_04765, LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551, LYTVA_25582, LYTVA_22408	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276
OG0000002	LYTVA_21553	SACKO_00245, SACKO_00252
OG0000003	LYTVA_28727	SACKO_19492
OG0000003	LYTVA_06469	SACKO_25210, SACKO_25215
