Orthogroup	STRPU_ok	ASTMX
OG0000000	STRPU_10146, STRPU_10084	ASTMX02793
OG0000000	STRPU_22262	ASTMX17483, ASTMX11444
OG0000000	STRPU_10304	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	STRPU_10083, STRPU_10145	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970
OG0000000	STRPU_10015	ASTMX12494, ASTMX05790, ASTMX17479
OG0000000	STRPU_19865, STRPU_19892	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	STRPU_02929	ASTMX14561, ASTMX07042
OG0000000	STRPU_03800	ASTMX10847
OG0000000	STRPU_09982, STRPU_09961	ASTMX20299
OG0000000	STRPU_20780	ASTMX10234
OG0000000	STRPU_23206	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	STRPU_05654	ASTMX16946, ASTMX11106
OG0000000	STRPU_05390	ASTMX06178
OG0000000	STRPU_23197, STRPU_23198	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	STRPU_23194	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	STRPU_23756	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	STRPU_22253	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	STRPU_09852	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	STRPU_23199	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159
OG0000000	STRPU_05830	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	STRPU_23207	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	STRPU_10189	ASTMX17267, ASTMX11612, ASTMX02802
OG0000000	STRPU_09890	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	STRPU_21017	ASTMX09511
OG0000000	STRPU_21014	ASTMX08520
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750
