Orthogroup	AMPFI_ok	LYTVA_ok
OG0000000	AMPFI_12098	LYTVA_01679
OG0000000	AMPFI_16114	LYTVA_23170
OG0000000	AMPFI_11894	LYTVA_01380
OG0000000	AMPFI_12336	LYTVA_01827
OG0000000	AMPFI_16025	LYTVA_18985
OG0000000	AMPFI_02168	LYTVA_22602
OG0000000	AMPFI_10716	LYTVA_19974
OG0000000	AMPFI_19781	LYTVA_23667
OG0000000	AMPFI_22359	LYTVA_22478
OG0000000	AMPFI_12478	LYTVA_06897
OG0000000	AMPFI_25019	LYTVA_22475
OG0000000	AMPFI_05560	LYTVA_29838
OG0000000	AMPFI_20876	LYTVA_22714
OG0000000	AMPFI_21326	LYTVA_26599
OG0000000	AMPFI_01589	LYTVA_23349
OG0000000	AMPFI_10655	LYTVA_23351
OG0000001	AMPFI_23521	LYTVA_16225
OG0000001	AMPFI_23234	LYTVA_16521
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487	LYTVA_04837, LYTVA_04757
OG0000001	AMPFI_00879	LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761
OG0000002	AMPFI_23102	LYTVA_28398
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176
OG0000002	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979	LYTVA_09815, LYTVA_04765, LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551, LYTVA_25582, LYTVA_22408
OG0000002	AMPFI_16931, AMPFI_22489	LYTVA_21553
OG0000003	AMPFI_16631	LYTVA_28727
OG0000003	AMPFI_12750	LYTVA_23292
OG0000003	AMPFI_16210	LYTVA_21164
OG0000003	AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419	LYTVA_26275
OG0000003	AMPFI_07815	LYTVA_25607, LYTVA_21606
OG0000003	AMPFI_17434	LYTVA_03030
OG0000003	AMPFI_18906	LYTVA_15536
OG0000003	AMPFI_14862	LYTVA_23212
OG0000003	AMPFI_23718	LYTVA_20987
OG0000003	AMPFI_14507, AMPFI_04480, AMPFI_14217, AMPFI_16278, AMPFI_25043, AMPFI_02366, AMPFI_04818	LYTVA_11643
OG0000003	AMPFI_21369	LYTVA_26946, LYTVA_14926
OG0000003	AMPFI_09604	LYTVA_27358
OG0000004	AMPFI_08378	LYTVA_03323
OG0000004	AMPFI_12413	LYTVA_03048, LYTVA_08289, LYTVA_29289, LYTVA_22297
OG0000004	AMPFI_00336, AMPFI_14906	LYTVA_07389, LYTVA_03537
OG0000004	AMPFI_21283	LYTVA_13223
OG0000004	AMPFI_11893	LYTVA_02998, LYTVA_25806, LYTVA_27784, LYTVA_21700, LYTVA_21699, LYTVA_11605, LYTVA_23685, LYTVA_10559, LYTVA_12757, LYTVA_13382, LYTVA_25777, LYTVA_27196, LYTVA_03271, LYTVA_06100, LYTVA_05937, LYTVA_25040, LYTVA_15014, LYTVA_08631
OG0000004	AMPFI_01544	LYTVA_08482
OG0000004	AMPFI_02173, AMPFI_17454, AMPFI_17455	LYTVA_13991
OG0000004	AMPFI_11374, AMPFI_01179	LYTVA_22300, LYTVA_22328
OG0000004	AMPFI_04189, AMPFI_03317	LYTVA_11730
OG0000004	AMPFI_20230	LYTVA_12705
OG0000005	AMPFI_18504	LYTVA_01017
OG0000005	AMPFI_00525	LYTVA_15338, LYTVA_23825
OG0000005	AMPFI_18823	LYTVA_15344, LYTVA_25103, LYTVA_15340, LYTVA_25468, LYTVA_12344, LYTVA_13497, LYTVA_12436, LYTVA_12448, LYTVA_12437, LYTVA_01084, LYTVA_10225, LYTVA_01083, LYTVA_05447
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	LYTVA_12392
OG0000006	AMPFI_24001	LYTVA_27651
OG0000006	AMPFI_05750	LYTVA_18935
OG0000006	AMPFI_02520	LYTVA_07373
OG0000006	AMPFI_18507	LYTVA_29412, LYTVA_25462
OG0000006	AMPFI_06099	LYTVA_16832
OG0000006	AMPFI_17130	LYTVA_16844
OG0000006	AMPFI_12555	LYTVA_08878
OG0000006	AMPFI_05072, AMPFI_22396	LYTVA_23230
OG0000007	AMPFI_02812	LYTVA_22273
OG0000007	AMPFI_07094	LYTVA_23216
OG0000007	AMPFI_16775	LYTVA_18159
