Orthogroup	DANRE	YEAST
OG0000000	DANRE01559, DANRE05955, DANRE06436, DANRE05762, DANRE00109, DANRE24636, DANRE35926, DANRE04899, DANRE05022, DANRE06714, DANRE37544, DANRE11226, DANRE04898, DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386, DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592, DANRE34117, DANRE19532, DANRE36202, DANRE02487, DANRE13405, DANRE00977, DANRE04328, DANRE04330, DANRE04329, DANRE18867, DANRE18868, DANRE43385, DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340, DANRE35277, DANRE35276, DANRE17824, DANRE29250, DANRE09540, DANRE24278, DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703, DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335, DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431, DANRE38770, DANRE41587, DANRE15352, DANRE15353, DANRE03853, DANRE03854, DANRE14679, DANRE08590	YEAST00701
OG0000000	DANRE24055	YEAST04484
OG0000006	DANRE07563	YEAST01430
OG0000007	DANRE21702	YEAST00671
OG0000007	DANRE30028, DANRE03038, DANRE28801	YEAST01568, YEAST05134
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442, DANRE34035, DANRE34036	YEAST02600, YEAST01619
OG0000013	DANRE15807, DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	YEAST04082
OG0000014	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527, DANRE40509, DANRE36844, DANRE43146, DANRE22544, DANRE03629, DANRE29858, DANRE04027, DANRE04029, DANRE04028, DANRE30100, DANRE03816, DANRE11299, DANRE03520, DANRE40391, DANRE11197, DANRE03296, DANRE17251, DANRE43403, DANRE03675, DANRE03674, DANRE43177, DANRE29871	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	YEAST03839, YEAST02807, YEAST03817
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064, DANRE04448	YEAST03870, YEAST01103
OG0000031	DANRE20274, DANRE20275, DANRE20273, DANRE20694, DANRE41496, DANRE35535, DANRE23155, DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505, DANRE17238, DANRE13622, DANRE13623, DANRE26516, DANRE26019, DANRE33954, DANRE35637, DANRE11621, DANRE02768, DANRE23382, DANRE20276, DANRE16190, DANRE42316, DANRE27399, DANRE21472, DANRE14252, DANRE16189, DANRE42315, DANRE15746, DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	YEAST02238
OG0000034	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041, DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357, DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947, DANRE14484, DANRE09880, DANRE38036, DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613, DANRE04100, DANRE25182	YEAST04436, YEAST05550, YEAST05115
OG0000036	DANRE37867, DANRE38271, DANRE14697, DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623, DANRE07186, DANRE30853, DANRE11991, DANRE38630	YEAST02545, YEAST02806
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287, DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383, DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607, DANRE11315	YEAST03227
OG0000038	DANRE04612, DANRE23404, DANRE23403, DANRE01760, DANRE23402, DANRE01550, DANRE01549, DANRE41583, DANRE35588, DANRE35587, DANRE41585, DANRE41586, DANRE35591, DANRE40533, DANRE23401, DANRE41584, DANRE23400, DANRE15348	YEAST04422, YEAST04379
