Orthogroup	AMPFI_ok	ASTMX
OG0000000	AMPFI_12098	ASTMX02793
OG0000000	AMPFI_16114	ASTMX17483, ASTMX11444
OG0000000	AMPFI_11894	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	AMPFI_12336	ASTMX13971, ASTMX13970
OG0000000	AMPFI_08228	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	AMPFI_02168	ASTMX20299
OG0000000	AMPFI_10716	ASTMX10234
OG0000000	AMPFI_19781	ASTMX06178
OG0000000	AMPFI_12478	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	AMPFI_20876	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	AMPFI_21326	ASTMX17267, ASTMX11612, ASTMX02802
OG0000000	AMPFI_01589	ASTMX09511
OG0000000	AMPFI_10655	ASTMX08520
OG0000001	AMPFI_25090	ASTMX18932
OG0000001	AMPFI_18148, AMPFI_13477	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750
OG0000001	AMPFI_07438, AMPFI_25876	ASTMX07755
OG0000001	AMPFI_24482, AMPFI_16657	ASTMX07756
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487	ASTMX07323
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	ASTMX19248
OG0000002	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709	ASTMX20125
OG0000003	AMPFI_18906	ASTMX16763
OG0000003	AMPFI_15011	ASTMX08462
OG0000003	AMPFI_25043	ASTMX08463
OG0000004	AMPFI_00502, AMPFI_04409, AMPFI_21966	ASTMX19416
OG0000004	AMPFI_08378	ASTMX13906
OG0000004	AMPFI_11893	ASTMX17274
OG0000004	AMPFI_04189	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273
OG0000004	AMPFI_03068	ASTMX13574
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	ASTMX03244
OG0000006	AMPFI_22470	ASTMX00775
OG0000006	AMPFI_22262	ASTMX03791, ASTMX03123
OG0000006	AMPFI_22463	ASTMX12191, ASTMX07931
OG0000006	AMPFI_10542, AMPFI_00206	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	AMPFI_02520	ASTMX03256, ASTMX09680
OG0000006	AMPFI_09123	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	AMPFI_18507	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	AMPFI_06099	ASTMX14827
OG0000006	AMPFI_17130	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	AMPFI_12555	ASTMX10604, ASTMX08947
OG0000007	AMPFI_02812	ASTMX05134, ASTMX21314, ASTMX12498
