TCONS_00019737	OFUSG13305.1.p1
TCONS_00026910	OFUSG18918.1.p1
TCONS_00026612	OFUSG05755.1.p1
TCONS_00026711	OFUSG06970.1.p1
TCONS_00026377	OFUSG05968.1.p1
TCONS_00018852	OFUSG08786.1.p1
TCONS_00017786	OFUSG09074.1.p1
TCONS_00020801	OFUSG17443.1.p1
TCONS_00026487	OFUSG19303.1.p1
TCONS_00010493	OFUSG12013.1.p1
TCONS_00020105	OFUSG17426.1.p1
TCONS_00032259	OFUSG13332.1.p1
TCONS_00043771	OFUSG03302.1.p1
TCONS_00032269	OFUSG13338.1.p1
TCONS_00032262	OFUSG13335.1.p1
TCONS_00032264	OFUSG13336.1.p1
TCONS_00019139	OFUSG17003.1.p1
TCONS_00042478	OFUSG03177.1.p1
TCONS_00031629	OFUSG12947.1.p1
TCONS_00026601	OFUSG05775.1.p1
TCONS_00026600	OFUSG06109.1.p1
TCONS_00009628	OFUSG21806.1.p1
TCONS_00012440	OFUSG04431.1.p1
TCONS_00010137	OFUSG00560.1.p1
TCONS_00048938	OFUSG18506.1.p1
TCONS_00052987	OFUSG19225.1.p1
TCONS_00031472	OFUSG12884.1.p1
TCONS_00013648	OFUSG04605.1.p1
TCONS_00042787	OFUSG02905.1.p1
TCONS_00021207	OFUSG14509.1.p1
TCONS_00016646	OFUSG25514.1.p1
TCONS_00056934	OFUSG03891.1.p1
TCONS_00021581	OFUSG14428.1.p1
TCONS_00023551	OFUSG07929.1.p1
TCONS_00012810	OFUSG10782.1.p1
TCONS_00021507	OFUSG14810.1.p1
TCONS_00027931	OFUSG08660.1.p1
TCONS_00045950	OFUSG21061.1.p1
TCONS_00028953	OFUSG08659.1.p1
TCONS_00011489	OFUSG11740.1.p1
TCONS_00011052	OFUSG11470.1.p1
TCONS_00029574	OFUSG09476.1.p1
TCONS_00009611	OFUSG21527.1.p1
TCONS_00052518	OFUSG13716.1.p1
TCONS_00051149	OFUSG23682.1.p1
TCONS_00008968	OFUSG23111.1.p1
TCONS_00008967	OFUSG04768.1.p1
TCONS_00029830	OFUSG19661.1.p1
TCONS_00024115	OFUSG08948.1.p1
TCONS_00055417	OFUSG25429.1.p1
TCONS_00012754	OFUSG10613.1.p1
TCONS_00009689	OFUSG25241.1.p1
TCONS_00054315	OFUSG01560.1.p1
TCONS_00012951	OFUSG15533.1.p1
TCONS_00035089	OFUSG23060.1.p1
TCONS_00000867	OFUSG01558.1.p1
TCONS_00008348	OFUSG02249.1.p1
TCONS_00047525	OFUSG16912.1.p1
TCONS_00028843	OFUSG21186.1.p1
TCONS_00022184	OFUSG13895.1.p1
TCONS_00003602	OFUSG11848.1.p1
TCONS_00048341	OFUSG06227.1.p1
TCONS_00042133	OFUSG13197.1.p1
TCONS_00055662	OFUSG19131.1.p1
TCONS_00019497	OFUSG14744.1.p1
TCONS_00026137	OFUSG06069.1.p1
TCONS_00052076	OFUSG24598.1.p1
TCONS_00017322	OFUSG26427.1.p1
TCONS_00043670	OFUSG24229.1.p1
TCONS_00053078	OFUSG21155.1.p1
TCONS_00020525	OFUSG16858.1.p1
TCONS_00019673	OFUSG04213.1.p1
TCONS_00008414	OFUSG17612.1.p1
TCONS_00032922	OFUSG02441.1.p1
TCONS_00002937	OFUSG03938.1.p1
TCONS_00028162	OFUSG09754.1.p1
TCONS_00041599	OFUSG02210.1.p1
TCONS_00054588	OFUSG17671.1.p1
TCONS_00003964	OFUSG16797.1.p1
TCONS_00018159	OFUSG07861.1.p1
TCONS_00029638	OFUSG08780.1.p1
TCONS_00037982	OFUSG00313.1.p1
TCONS_00015036	OFUSG08088.1.p1
TCONS_00037412	OFUSG09735.1.p1
TCONS_00003567	OFUSG16461.1.p1
TCONS_00025160	OFUSG07703.1.p1
TCONS_00024074	OFUSG07851.1.p1
TCONS_00007681	OFUSG05272.1.p1
TCONS_00000411	OFUSG15211.1.p1
TCONS_00048433	OFUSG08090.1.p1
TCONS_00001544	OFUSG04771.1.p1
