Orthogroup	BRALA	SACKO_ok
OG0000000	BRALA25846, BRALA11737	SACKO_11053
OG0000000	BRALA16375, BRALA16376	SACKO_12749
OG0000000	BRALA00047	SACKO_19677
OG0000000	BRALA19584, BRALA19585, BRALA25857	SACKO_25619
OG0000000	BRALA17283	SACKO_25616
OG0000000	BRALA24482	SACKO_05553
OG0000000	BRALA16262	SACKO_16683
OG0000000	BRALA16263	SACKO_25799
OG0000000	BRALA16378, BRALA16379	SACKO_25349, SACKO_25351
OG0000000	BRALA25044	SACKO_24146, SACKO_24093, SACKO_24170
OG0000000	BRALA18359	SACKO_08208, SACKO_08197
OG0000000	BRALA29522	SACKO_32730, SACKO_17792
OG0000000	BRALA21349	SACKO_03962
OG0000000	BRALA24707	SACKO_19489
OG0000000	BRALA18600	SACKO_26485
OG0000000	BRALA28387	SACKO_31887
OG0000000	BRALA00440	SACKO_26668
OG0000000	BRALA00115	SACKO_24012
OG0000000	BRALA11736	SACKO_11590
OG0000000	BRALA00116	SACKO_24040
OG0000000	BRALA11734	SACKO_11588
OG0000000	BRALA00119, BRALA00120, BRALA00121	SACKO_24002
OG0000000	BRALA00118	SACKO_24025
OG0000000	BRALA00439, BRALA26541	SACKO_26673
OG0000000	BRALA00079	SACKO_06485
OG0000000	BRALA34448	SACKO_31872
OG0000000	BRALA00125, BRALA00124	SACKO_24017
OG0000000	BRALA00127	SACKO_15987
OG0000000	BRALA11733	SACKO_11599
OG0000000	BRALA00135	SACKO_22872
OG0000000	BRALA30674	SACKO_31901
OG0000000	BRALA30673	SACKO_31899
OG0000000	BRALA17840	SACKO_12011
OG0000001	BRALA17635	SACKO_00349
OG0000001	BRALA22546	SACKO_11349
OG0000001	BRALA17450, BRALA31564	SACKO_21170
OG0000001	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939	SACKO_04733
OG0000001	BRALA14819	SACKO_30873
OG0000001	BRALA00762, BRALA09667, BRALA20490	SACKO_04743, SACKO_04719
OG0000001	BRALA27259	SACKO_23106
OG0000001	BRALA19588, BRALA19586	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	SACKO_14603
OG0000002	BRALA28279, BRALA02635, BRALA12500	SACKO_06138
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	SACKO_11085, SACKO_21630, SACKO_21632
OG0000002	BRALA20754	SACKO_21130, SACKO_13458
OG0000002	BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797	SACKO_00245, SACKO_00252
OG0000003	BRALA11277	SACKO_29380
OG0000003	BRALA25224	SACKO_30791
OG0000003	BRALA02712, BRALA07571	SACKO_14086, SACKO_03045
OG0000003	BRALA17936, BRALA23610	SACKO_05907
OG0000004	BRALA27667	SACKO_02249
OG0000004	BRALA08526	SACKO_16987
OG0000005	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	BRALA25414, BRALA34368	SACKO_14812
OG0000005	BRALA00382	SACKO_15042
OG0000005	BRALA31589	SACKO_08146
OG0000005	BRALA15577, BRALA04488	SACKO_29311, SACKO_26465, SACKO_26431
