Orthogroup	NEMVE	Other
OG0000008	NEMVE04749, NEMVE07849	AMPFI_17189
OG0000008	NEMVE07817, NEMVE12766	DROME19967, DROME19966, DROME19965
OG0000025	NEMVE00738	AMPFI_02870
OG0000031	NEMVE00311, NEMVE00632	APOSJ_52458, APOSJ_52455
OG0000034	NEMVE07311, NEMVE07285	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000055	NEMVE00590	SACKO_10925
OG0000069	NEMVE02861	MOUSE24598, MOUSE24599
OG0000095	NEMVE15802	APOSC_05033
OG0000098	NEMVE25900	XENTR18632
OG0000124	NEMVE24720	APOSC_24532
OG0000157	NEMVE24250	HUMAN14308
OG0000192	NEMVE13792	HELIO_03073
OG0000227	NEMVE07017, NEMVE03569, NEMVE03503	bflo_10496
OG0000227	NEMVE07017, NEMVE03569	OFUSG15888.1.p1
OG0000241	NEMVE18298	APOSJ_36030, APOSJ_36033, APOSJ_34568
OG0000260	NEMVE12262, NEMVE00014	MOUSE46801
OG0000265	NEMVE16690	LYTVA_27571
OG0000265	NEMVE16690	SACKO_28292
OG0000306	NEMVE17887	APOSC_12439
OG0000306	NEMVE12646	STRPU_04180
OG0000372	NEMVE18040	APOSC_25245
OG0000397	NEMVE01578	DANRE04701, DANRE19132, DANRE04702, DANRE19141, DANRE19136, DANRE19121, DANRE19122, DANRE04703, DANRE04741, DANRE19133, DANRE19130, DANRE19129, DANRE19134, DANRE04720
OG0000403	NEMVE25175	HUMAN05389
OG0000404	NEMVE18805	SACKO_13740
OG0000436	NEMVE06326	MOUSE23254
OG0000442	NEMVE13826	BRALA33737
OG0000446	NEMVE14089	ASTMX14082
OG0000454	NEMVE05253	ORYLA14943
OG0000465	NEMVE13428	DANRE26401, DANRE26400
OG0000467	NEMVE14048	APOSC_08499
OG0000490	NEMVE01389	DANRE35144
OG0000503	NEMVE21447	MOUSE51372
OG0000525	NEMVE09107	STRPU_08645
OG0000527	NEMVE23398, NEMVE20683	MOUSE25384
OG0000600	NEMVE07602	SACKO_30716
OG0000676	NEMVE10858, NEMVE20237, NEMVE10856	ASTMX03141
OG0000688	NEMVE25153	SCHMD18781, SCHMD18275
OG0000755	NEMVE04854	AMPFI_24528
OG0000757	NEMVE25201	BRALA34967
OG0000777	NEMVE21910, NEMVE15143	STRPU_26898, STRPU_26897
OG0000809	NEMVE08335, NEMVE12321	SACKO_11703
OG0000809	NEMVE12321	MOUSE48490, MOUSE10214
OG0000810	NEMVE02291	LYTVA_14958
OG0000818	NEMVE25555	ASTMX12923
OG0000835	NEMVE10452	HUMAN19696
OG0000842	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616	MOUSE39642
OG0000842	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616	HUMAN28734
OG0000851	NEMVE23273	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000851	NEMVE23273	ASTMX09788
OG0000873	NEMVE11481	APOSJ_25707
OG0000875	NEMVE14079	APOSC_10816
OG0000875	NEMVE14079	MOUSE22325, MOUSE22324
OG0000877	NEMVE16415	APOSJ_22156
OG0000877	NEMVE16415	LYTVA_26866, LYTVA_01909
OG0000921	NEMVE04805	DANRE41397
OG0000924	NEMVE04674	LYTVA_06876
OG0000965	NEMVE10501	bflo_07554
OG0000971	NEMVE04764	AMPFI_19239
OG0001031	NEMVE12566, NEMVE03083, NEMVE18815, NEMVE03518, NEMVE01512, NEMVE05098, NEMVE01877, NEMVE05278, NEMVE00495, NEMVE02692, NEMVE05018, NEMVE00690, NEMVE08345	MOUSE19158
OG0001031	NEMVE05098	HUMAN03539
OG0001042	NEMVE20161, NEMVE25296	ORYLA11092
OG0001045	NEMVE17384, NEMVE15704, NEMVE18352, NEMVE17386, NEMVE21043	BRALA33554
OG0001045	NEMVE17384, NEMVE15704, NEMVE18352, NEMVE17386, NEMVE21043	HELIO_10745
OG0001175	NEMVE18808, NEMVE00944	AMPFI_01688
OG0001188	NEMVE04912	ORYLA10083
OG0001221	NEMVE10455, NEMVE21175	TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1
OG0001221	NEMVE10455, NEMVE21175	SACKO_15128
OG0001279	NEMVE06730	APOSC_10702
OG0001288	NEMVE20273	TCONS_00029022.p1, TCONS_00036487.p1
OG0001294	NEMVE10810	ORYLA11435
OG0001294	NEMVE10810	DANRE05494
OG0001300	NEMVE10660	bflo_05339
OG0001300	NEMVE10660	LYTVA_05607
OG0001306	NEMVE16218	AMPFI_04010
OG0001306	NEMVE16218	AENJA_04590
OG0001323	NEMVE11887	MOUSE43335
OG0001350	NEMVE14117	MOUSE33385
OG0001428	NEMVE21876	MOUSE04268
OG0001434	NEMVE01045	XENTR14258
OG0001452	NEMVE10972	MOUSE30199, MOUSE44846, MOUSE44847
OG0001456	NEMVE11079, NEMVE05799	ASTMX18389
OG0001461	NEMVE00568	DANRE25864
OG0001484	NEMVE23070	AMPFI_09544
OG0001502	NEMVE06315	ASTMX07826
OG0001505	NEMVE14234	ORYLA10202
OG0001507	NEMVE01058	MOUSE20175, MOUSE20176, MOUSE07523
OG0001519	NEMVE22706	ORYLA18213
OG0001522	NEMVE03232	AMPFI_18320
OG0001596	NEMVE06150	MOUSE09371
OG0001620	NEMVE05238, NEMVE07316	HUMAN02053
OG0001633	NEMVE17622	DANRE38756
OG0001647	NEMVE03510	STRPU_17288
OG0001661	NEMVE10092, NEMVE22246	APOSJ_45271, APOSJ_16132
OG0001673	NEMVE07546	XENTR14539
OG0001673	NEMVE07546	ASTMX10983
OG0001682	NEMVE09695	HELIO_05905
OG0001789	NEMVE02570	ASTMX22705
OG0001827	NEMVE06953, NEMVE22019, NEMVE13541	HUMAN29270
OG0001929	NEMVE20391	MOUSE17382
OG0001943	NEMVE07567	XENTR02451
OG0001943	NEMVE07567	HUMAN18949
OG0001945	NEMVE08582	ORYLA09524
OG0001985	NEMVE09656	MOUSE37870
OG0001988	NEMVE13461, NEMVE20802, NEMVE11686	DANRE10195
OG0001988	NEMVE13461, NEMVE20802, NEMVE11686	LYTVA_16970
OG0001988	NEMVE13461, NEMVE20802, NEMVE11686	HUMAN28138, HUMAN28140, HUMAN28139
OG0001992	NEMVE10979	SCHMD23667
OG0001992	NEMVE10979	BRALA35588
OG0002028	NEMVE02830	LYTVA_02071
OG0002169	NEMVE25833	BRALA33277
OG0002189	NEMVE23618	LYTVA_28734
OG0002190	NEMVE00300	AMPFI_03087
OG0002227	NEMVE05812, NEMVE00081	HUMAN28363
OG0002227	NEMVE05812, NEMVE00081	DANRE27372, DANRE27373, DANRE27374, DANRE27375, DANRE27376, DANRE38788
OG0002240	NEMVE13693	HUMAN21965, HUMAN21964
OG0002258	NEMVE22688	AMPFI_24977
OG0002261	NEMVE22484	APOSC_01376
OG0002261	NEMVE22484	AMPFI_00774
OG0002272	NEMVE09461	ASTMX06090
OG0002279	NEMVE10911, NEMVE10903, NEMVE00393	MOUSE13085
OG0002319	NEMVE14710	APOSC_18537
OG0002406	NEMVE05742	SACKO_33790
OG0002407	NEMVE24388	XENTR18256
OG0002407	NEMVE24388	MOUSE11499
OG0002413	NEMVE25129	ORYLA07321
OG0002433	NEMVE20617	LYTVA_02521
OG0002433	NEMVE20617	HUMAN13300
OG0002447	NEMVE08970	APOSC_21796
OG0002456	NEMVE09478	MOUSE53280
OG0002708	NEMVE05514	DROME16440
OG0002720	NEMVE14278	SCHMD27297
OG0002730	NEMVE10147	AMPFI_11827
OG0002749	NEMVE18522	AENJA_13469
OG0002751	NEMVE13229	HELIO_10298
OG0002763	NEMVE04792	HUMAN12876
OG0002774	NEMVE11224	XENTR18198
OG0002780	NEMVE17788, NEMVE19824	ASTMX12328
OG0002889	NEMVE02255	AMPFI_18322
OG0002961	NEMVE24574	HUMAN08644, HUMAN08643
OG0003024	NEMVE15701, NEMVE14428	MOUSE24540
OG0003037	NEMVE16728	AMPFI_14720
OG0003044	NEMVE23709, NEMVE22835	AMPFI_18286
OG0003049	NEMVE20256	AMPFI_20646
OG0003109	NEMVE24436	APOSJ_18100
OG0003109	NEMVE19916, NEMVE18091, NEMVE24291	APOSJ_51968
OG0003113	NEMVE15155, NEMVE20084, NEMVE03544	TCONS_00045474.p1
OG0003113	NEMVE14843	ORYLA10064
OG0003114	NEMVE12974, NEMVE03951	APOSC_12830
OG0003200	NEMVE06404, NEMVE11235	AMPFI_08232
OG0003234	NEMVE03676	LYTVA_29645, LYTVA_00303, LYTVA_07989, LYTVA_16996, LYTVA_07481, LYTVA_24015, LYTVA_15403, LYTVA_05454, LYTVA_17107, LYTVA_02073, LYTVA_12901, LYTVA_07700, LYTVA_28681, LYTVA_29461, LYTVA_29992, LYTVA_09022, LYTVA_12924, LYTVA_18391
OG0003296	NEMVE22460	APOSC_07542
OG0003303	NEMVE04361	APOSC_00584
OG0003312	NEMVE19774, NEMVE20883	APOSJ_46279
OG0003319	NEMVE11076	HUMAN19328
OG0003365	NEMVE23416	MOUSE35392
OG0003388	NEMVE08840, NEMVE15438	AMPFI_20188
OG0003388	NEMVE08840, NEMVE15438	APOSC_17998
OG0003391	NEMVE05209	DANRE05821
OG0003391	NEMVE05209	HUMAN08975, HUMAN08976
OG0003447	NEMVE24666	AMPFI_22475
OG0003447	NEMVE24666	APOSJ_05681, APOSJ_41166, APOSJ_41167
OG0003468	NEMVE01555	DANRE11505
OG0003475	NEMVE00257	BRALA35136
OG0003505	NEMVE05913	LYTVA_23504
OG0003505	NEMVE05913	TCONS_00008628.p1
OG0003511	NEMVE22014, NEMVE01517	AMPFI_18153
OG0003523	NEMVE07334	HUMAN21873
OG0003546	NEMVE00903	BRALA35137
OG0003546	NEMVE00903	STRPU_19646
OG0003557	NEMVE12283	LYTVA_20994
OG0003683	NEMVE21208	MOUSE20047
OG0003684	NEMVE10127	AMPFI_00490
OG0003696	NEMVE11320	MOUSE35451, MOUSE35452
OG0003696	NEMVE11320	DANRE24940
OG0003721	NEMVE18963	DANRE11800
OG0003738	NEMVE24821, NEMVE25967	ASTMX11367
OG0003769	NEMVE25860	ASTMX09113
OG0003826	NEMVE08019	BRALA34514
OG0003831	NEMVE24194	APOSC_18338
OG0003853	NEMVE09522	MOUSE18179
OG0003853	NEMVE09522	DANRE05313
OG0003857	NEMVE20217, NEMVE25998	LYTVA_25367
OG0003944	NEMVE21561	APOSC_03774, APOSC_25388, APOSC_28777
OG0004040	NEMVE11657	LYTVA_01753
OG0004070	NEMVE00018, NEMVE22616	DANRE15502, DANRE15500
OG0004070	NEMVE00018, NEMVE22616	ASTMX20983
OG0004085	NEMVE19893, NEMVE17924	MOUSE22019
OG0004120	NEMVE24901	APOSJ_24987
OG0004123	NEMVE17411	HUMAN05601
OG0004266	NEMVE06415	bflo_19973
OG0004269	NEMVE11660	LYTVA_07560
OG0004269	NEMVE11660	HUMAN03614
OG0004269	NEMVE11660	STRPU_09465
OG0004279	NEMVE18790	AENJA_07838, AENJA_17816
OG0004281	NEMVE01299	AENJA_07872
OG0004284	NEMVE10541	OFUSG19168.1.p1
OG0004308	NEMVE20752	ASTMX22955
OG0004351	NEMVE00918	TCONS_00052162.p1, TCONS_00052151.p1
OG0004358	NEMVE08331	AMPFI_19007
