Orthogroup	OWEFU	PFLAV
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	TCONS_00026365.p1
OG0000000	OFUSG13305.1.p1	TCONS_00019737.p1
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	TCONS_00027826.p1
OG0000000	OFUSG18918.1.p1	TCONS_00026910.p1
OG0000000	OFUSG05755.1.p1	TCONS_00026612.p1
OG0000000	OFUSG06970.1.p1	TCONS_00026711.p1
OG0000000	OFUSG05968.1.p1	TCONS_00026377.p1
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	OFUSG08786.1.p1	TCONS_00018852.p1
OG0000000	OFUSG09074.1.p1	TCONS_00017786.p1
OG0000000	OFUSG17443.1.p1	TCONS_00020801.p1
OG0000000	OFUSG19303.1.p1	TCONS_00026487.p1
OG0000000	OFUSG12013.1.p1	TCONS_00010493.p1
OG0000000	OFUSG17426.1.p1	TCONS_00020105.p1
OG0000000	OFUSG13332.1.p1	TCONS_00032259.p1
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	TCONS_00043772.p1
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	TCONS_00032260.p1
OG0000000	OFUSG03302.1.p1	TCONS_00043771.p1
OG0000000	OFUSG13338.1.p1	TCONS_00032269.p1
OG0000000	OFUSG13339.1.p1, OFUSG13340.1.p1	TCONS_00032266.p1
OG0000000	OFUSG13335.1.p1	TCONS_00032262.p1
OG0000000	OFUSG13336.1.p1	TCONS_00032264.p1
OG0000000	OFUSG17003.1.p1	TCONS_00019139.p1
OG0000000	OFUSG21200.1.p1	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	TCONS_00027510.p1
OG0000000	OFUSG03177.1.p1	TCONS_00042478.p1
OG0000000	OFUSG12947.1.p1	TCONS_00031629.p1
OG0000000	OFUSG05775.1.p1	TCONS_00026601.p1
OG0000000	OFUSG06109.1.p1	TCONS_00026600.p1
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	TCONS_00009627.p1
OG0000000	OFUSG21806.1.p1	TCONS_00009628.p1
OG0000001	OFUSG04431.1.p1	TCONS_00012440.p1
OG0000001	OFUSG21348.1.p1, OFUSG06637.1.p1	TCONS_00027439.p1
OG0000001	OFUSG04205.1.p1	TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1
OG0000002	OFUSG00560.1.p1	TCONS_00010137.p1
OG0000002	OFUSG12055.1.p1	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1
OG0000002	OFUSG09076.1.p1	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	OFUSG22946.2.p1	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	OFUSG18506.1.p1	TCONS_00048938.p1
OG0000003	OFUSG19225.1.p1	TCONS_00052987.p1
OG0000003	OFUSG21334.1.p1	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1
OG0000003	OFUSG16265.1.p1, OFUSG21683.1.p1	TCONS_00043525.p1
OG0000003	OFUSG12884.1.p1	TCONS_00031472.p1
OG0000003	OFUSG04605.1.p1	TCONS_00013648.p1
OG0000003	OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1	TCONS_00013356.p1
OG0000004	OFUSG09262.1.p1, OFUSG02194.1.p1, OFUSG21058.1.p1	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	TCONS_00020907.p1
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	OFUSG11531.1.p1	TCONS_00025031.p1, TCONS_00038043.p1
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	OFUSG02905.1.p1	TCONS_00042787.p1
OG0000006	OFUSG14509.1.p1	TCONS_00021207.p1
OG0000006	OFUSG25514.1.p1	TCONS_00016646.p1
OG0000006	OFUSG03891.1.p1	TCONS_00056934.p1
OG0000006	OFUSG14428.1.p1	TCONS_00021581.p1
OG0000006	OFUSG07929.1.p1	TCONS_00023551.p1
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	TCONS_00003496.p1
OG0000006	OFUSG10782.1.p1	TCONS_00012810.p1
OG0000006	OFUSG14810.1.p1	TCONS_00021507.p1
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	TCONS_00027932.p1
OG0000006	OFUSG08660.1.p1	TCONS_00027931.p1
OG0000006	OFUSG21061.1.p1	TCONS_00045950.p1
OG0000006	OFUSG18090.1.p1	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	OFUSG08659.1.p1	TCONS_00028953.p1
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	TCONS_00030792.p1
OG0000006	OFUSG11740.1.p1	TCONS_00011489.p1
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	TCONS_00011491.p1
OG0000006	OFUSG11470.1.p1	TCONS_00011052.p1
OG0000006	OFUSG05485.1.p1	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1
OG0000007	OFUSG09476.1.p1	TCONS_00029574.p1
OG0000007	OFUSG21527.1.p1	TCONS_00009611.p1
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	TCONS_00029143.p1
OG0000007	OFUSG13716.1.p1	TCONS_00052518.p1
OG0000007	OFUSG23682.1.p1	TCONS_00051149.p1
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	TCONS_00007744.p1
OG0000007	OFUSG23111.1.p1	TCONS_00008968.p1
OG0000007	OFUSG04768.1.p1	TCONS_00008967.p1
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1	TCONS_00029831.p1
OG0000007	OFUSG19661.1.p1	TCONS_00029830.p1
OG0000007	OFUSG08948.1.p1	TCONS_00024115.p1
OG0000007	OFUSG25429.1.p1	TCONS_00055417.p1
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	TCONS_00011336.p1
OG0000007	OFUSG10613.1.p1	TCONS_00012754.p1
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	TCONS_00051989.p1
OG0000007	OFUSG25241.1.p1	TCONS_00009689.p1
OG0000008	OFUSG01560.1.p1	TCONS_00054315.p1
OG0000008	OFUSG25732.1.p1	TCONS_00043149.p1, TCONS_00043478.p1
OG0000008	OFUSG15533.1.p1	TCONS_00012951.p1
OG0000008	OFUSG20435.1.p1	TCONS_00016587.p1, TCONS_00005048.p1
OG0000009	OFUSG23060.1.p1	TCONS_00035089.p1
OG0000010	OFUSG09248.1.p1	TCONS_00031213.p1, TCONS_00031190.p1
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000010	OFUSG10415.1.p1, OFUSG10415.2.p1	TCONS_00026035.p1, TCONS_00030635.p1
OG0000012	OFUSG23981.1.p1, OFUSG23977.1.p1, OFUSG23979.1.p1, OFUSG23978.1.p1	TCONS_00004701.p1
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	TCONS_00041660.p1, TCONS_00041661.p1
OG0000012	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1	TCONS_00014468.p1
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	TCONS_00032294.p1, TCONS_00039916.p1
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	TCONS_00023863.p1
OG0000013	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1	TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1, TCONS_00018745.p1, TCONS_00016636.p1, TCONS_00018744.p1, TCONS_00000124.p1, TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1, TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	OFUSG01558.1.p1	TCONS_00000867.p1
OG0000014	OFUSG00805.1.p1	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	OFUSG02249.1.p1	TCONS_00008348.p1
OG0000015	OFUSG16912.1.p1	TCONS_00047525.p1
OG0000015	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1	TCONS_00043495.p1
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1
OG0000015	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1
OG0000015	OFUSG21186.1.p1	TCONS_00028843.p1
OG0000016	OFUSG16773.1.p1	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1	TCONS_00012620.p1, TCONS_00013829.p1
OG0000016	OFUSG13895.1.p1	TCONS_00022184.p1
OG0000016	OFUSG11848.1.p1	TCONS_00003602.p1
OG0000016	OFUSG06227.1.p1	TCONS_00048341.p1
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	TCONS_00020809.p1, TCONS_00049735.p1, TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000018	OFUSG02956.1.p1	TCONS_00046017.p1, TCONS_00025610.p1, TCONS_00028359.p1
