Orthogroup	NEMVE	LYTVA_ok
OG0000000	NEMVE15388	LYTVA_01679
OG0000000	NEMVE01834	LYTVA_23170
OG0000000	NEMVE09627, NEMVE02365	LYTVA_01380
OG0000000	NEMVE04822	LYTVA_25096
OG0000000	NEMVE05015	LYTVA_01827
OG0000000	NEMVE11246	LYTVA_18988
OG0000000	NEMVE02875	LYTVA_18985
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	LYTVA_13103
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	LYTVA_27688
OG0000000	NEMVE07200	LYTVA_21959
OG0000000	NEMVE02364	LYTVA_22602
OG0000000	NEMVE04732, NEMVE07124	LYTVA_19974
OG0000000	NEMVE03387	LYTVA_27704
OG0000000	NEMVE07193, NEMVE16932, NEMVE07210	LYTVA_08668
OG0000000	NEMVE05986	LYTVA_23667
OG0000000	NEMVE15281	LYTVA_22477, LYTVA_22478, LYTVA_22480, LYTVA_22479
OG0000000	NEMVE07211	LYTVA_23047
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	LYTVA_14838
OG0000000	NEMVE05017	LYTVA_06897
OG0000000	NEMVE15350	LYTVA_22714, LYTVA_09826
OG0000000	NEMVE07203	LYTVA_19015
OG0000000	NEMVE17362	LYTVA_26599
OG0000000	NEMVE17363	LYTVA_17046
OG0000000	NEMVE10113	LYTVA_23349
OG0000000	NEMVE14999, NEMVE10106	LYTVA_23351
OG0000001	NEMVE01893, NEMVE23127	LYTVA_16225
OG0000001	NEMVE12746, NEMVE11137, NEMVE20003, NEMVE05609, NEMVE05631, NEMVE07322, NEMVE20730, NEMVE15468, NEMVE03781	LYTVA_16521
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	LYTVA_28398, LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289, LYTVA_01784, LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176, LYTVA_09815, LYTVA_04765, LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551, LYTVA_25582, LYTVA_22408, LYTVA_05820, LYTVA_21553
OG0000003	NEMVE07432, NEMVE12844	LYTVA_29159
OG0000003	NEMVE08653	LYTVA_25607
OG0000003	NEMVE10994	LYTVA_21606
OG0000003	NEMVE12557	LYTVA_03030
OG0000003	NEMVE08017	LYTVA_15536
OG0000003	NEMVE10186	LYTVA_14606
OG0000003	NEMVE09864, NEMVE02602, NEMVE10394	LYTVA_06469
OG0000003	NEMVE06583, NEMVE00097, NEMVE12376, NEMVE19925, NEMVE09899	LYTVA_11643
OG0000003	NEMVE11459, NEMVE11042	LYTVA_27358
OG0000004	NEMVE02857, NEMVE08015	LYTVA_04445
OG0000004	NEMVE08317	LYTVA_23131
OG0000004	NEMVE19262	LYTVA_04400
OG0000004	NEMVE17481	LYTVA_02998, LYTVA_25806
OG0000004	NEMVE10715, NEMVE21151	LYTVA_27784, LYTVA_21700, LYTVA_21699, LYTVA_11605, LYTVA_23685, LYTVA_10559, LYTVA_12757, LYTVA_13382, LYTVA_25777, LYTVA_27196, LYTVA_03271, LYTVA_06100, LYTVA_05937, LYTVA_25040, LYTVA_15014, LYTVA_08631
OG0000004	NEMVE02866, NEMVE15796, NEMVE12892	LYTVA_08482, LYTVA_13991
OG0000004	NEMVE02378	LYTVA_11730
OG0000005	NEMVE05730	LYTVA_21111, LYTVA_05821
OG0000006	NEMVE06318	LYTVA_27651
OG0000006	NEMVE12700, NEMVE08468	LYTVA_15901
OG0000006	NEMVE09176	LYTVA_03511
OG0000006	NEMVE21901	LYTVA_25253
OG0000006	NEMVE02590	LYTVA_07373
OG0000006	NEMVE03392	LYTVA_23957
OG0000006	NEMVE06316	LYTVA_14827
