Orthogroup	NEMVE	SCHMD
OG0000000	NEMVE15388	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	NEMVE01834, NEMVE15910, NEMVE03396	SCHMD09645
OG0000000	NEMVE05015	SCHMD20523, SCHMD24588
OG0000000	NEMVE11246	SCHMD03805
OG0000000	NEMVE02875	SCHMD20256, SCHMD22099
OG0000000	NEMVE01399	SCHMD07815
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	SCHMD03766
OG0000000	NEMVE07200	SCHMD28523
OG0000000	NEMVE07193, NEMVE16932, NEMVE07210, NEMVE05929	SCHMD08046
OG0000000	NEMVE07213	SCHMD15558
OG0000000	NEMVE15281	SCHMD22390, SCHMD21735
OG0000000	NEMVE07211	SCHMD21303
OG0000000	NEMVE05017	SCHMD01868
OG0000000	NEMVE15350	SCHMD11888, SCHMD08259
OG0000000	NEMVE07203	SCHMD24693
OG0000000	NEMVE17362	SCHMD05281, SCHMD04291
OG0000000	NEMVE03927	SCHMD04779
OG0000000	NEMVE03925	SCHMD15082
OG0000000	NEMVE02854, NEMVE17363, NEMVE10113, NEMVE14999, NEMVE10106	SCHMD13268
OG0000001	NEMVE00693, NEMVE09134	SCHMD02916
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	SCHMD01617, SCHMD12742, SCHMD06730, SCHMD01618, SCHMD06871, SCHMD06873, SCHMD06870, SCHMD06869, SCHMD06872, SCHMD04915, SCHMD06215, SCHMD12577, SCHMD05881, SCHMD12386, SCHMD17024, SCHMD12387, SCHMD15176, SCHMD19716, SCHMD12194, SCHMD00613, SCHMD25622, SCHMD18079, SCHMD00213, SCHMD03092, SCHMD15297, SCHMD02695
OG0000003	NEMVE09872	SCHMD08141, SCHMD02635, SCHMD12732
OG0000003	NEMVE03485, NEMVE03052, NEMVE05193, NEMVE00533, NEMVE11690, NEMVE00834, NEMVE07052, NEMVE02766, NEMVE07217, NEMVE09924, NEMVE18387, NEMVE09321, NEMVE14981, NEMVE03659, NEMVE19948, NEMVE06287, NEMVE08230, NEMVE05052, NEMVE10059, NEMVE03309, NEMVE02394, NEMVE09839, NEMVE11635, NEMVE08197, NEMVE02748, NEMVE02625, NEMVE07726, NEMVE11243, NEMVE10052, NEMVE09871, NEMVE02981, NEMVE00038, NEMVE05235	SCHMD00325
OG0000003	NEMVE03337	SCHMD18315
OG0000003	NEMVE19925	SCHMD14033
OG0000003	NEMVE09899	SCHMD00694, SCHMD23428
OG0000005	NEMVE05730	SCHMD15919
OG0000006	NEMVE06318	SCHMD07888, SCHMD24507
OG0000006	NEMVE06918, NEMVE10906, NEMVE09176, NEMVE21901, NEMVE02590, NEMVE03392, NEMVE06316, NEMVE08216, NEMVE16957, NEMVE13593	SCHMD09638
OG0000006	NEMVE02351	SCHMD23237
OG0000006	NEMVE14647	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341
OG0000006	NEMVE04712	SCHMD13710
OG0000006	NEMVE04644	SCHMD05477
OG0000006	NEMVE08464	SCHMD18814
OG0000007	NEMVE15003	SCHMD12323
OG0000007	NEMVE13570	SCHMD08294
OG0000007	NEMVE08145	SCHMD22164, SCHMD13502
OG0000007	NEMVE06210	SCHMD14635, SCHMD17075
OG0000007	NEMVE13592	SCHMD00576
OG0000007	NEMVE09701, NEMVE03333	SCHMD03666
OG0000007	NEMVE16064	SCHMD12296, SCHMD02893
OG0000007	NEMVE02349, NEMVE01414, NEMVE06618, NEMVE09853, NEMVE03372, NEMVE15928	SCHMD08423
OG0000007	NEMVE09056	SCHMD08922, SCHMD00556
OG0000007	NEMVE09467, NEMVE03824	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	NEMVE09051	SCHMD19134
OG0000007	NEMVE03714	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	NEMVE05677	SCHMD02246
