Orthogroup	SCHMD	XENTR
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	XENTR10493, XENTR08878
OG0000000	SCHMD09645	XENTR18832, XENTR01079, XENTR01080
OG0000000	SCHMD20523, SCHMD24588	XENTR13401, XENTR10509, XENTR10508, XENTR13402
OG0000000	SCHMD03805	XENTR02223, XENTR10492, XENTR10560
OG0000000	SCHMD09133, SCHMD27825	XENTR07734, XENTR13891
OG0000000	SCHMD27182, SCHMD16896	XENTR16086
OG0000000	SCHMD18969	XENTR07167, XENTR10848, XENTR03338
OG0000000	SCHMD08046	XENTR10849, XENTR03337
OG0000000	SCHMD22390, SCHMD21735	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540
OG0000000	SCHMD21303	XENTR06295, XENTR04184
OG0000000	SCHMD01868	XENTR12464, XENTR08726
OG0000000	SCHMD24693	XENTR03327, XENTR07175
OG0000000	SCHMD05281, SCHMD04291	XENTR01971, XENTR14936, XENTR09546
OG0000000	SCHMD13268	XENTR01972, XENTR09547, XENTR08722, XENTR12981, XENTR06679
OG0000001	SCHMD16091	XENTR04259
OG0000002	SCHMD02695	XENTR17667
OG0000003	SCHMD00325	XENTR17803
OG0000006	SCHMD00178	XENTR03474, XENTR03473, XENTR14730
OG0000006	SCHMD18704	XENTR03090, XENTR09060
OG0000006	SCHMD09638	XENTR03689, XENTR00399, XENTR09859, XENTR09947, XENTR11692, XENTR11329, XENTR15046
OG0000006	SCHMD23237	XENTR13548
OG0000006	SCHMD13710	XENTR04854, XENTR07280, XENTR07527
OG0000007	SCHMD12323	XENTR04989, XENTR07641
OG0000007	SCHMD08294	XENTR12787, XENTR08906, XENTR06676
OG0000007	SCHMD03666	XENTR10333, XENTR09768, XENTR09769, XENTR02009
OG0000007	SCHMD12296, SCHMD02893	XENTR11347, XENTR18406, XENTR04991, XENTR04990, XENTR05942
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	XENTR09461, XENTR01137, XENTR03031, XENTR06562
OG0000007	SCHMD19134	XENTR16583
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	XENTR07405, XENTR01816
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	XENTR00246, XENTR14489, XENTR13810, XENTR10002
OG0000015	SCHMD16724	XENTR15573, XENTR12597, XENTR03461, XENTR00415
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914
OG0000016	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	XENTR09539, XENTR00630
OG0000016	SCHMD16694	XENTR12717
OG0000016	SCHMD02183	XENTR17802
OG0000020	SCHMD00005	XENTR18565
OG0000020	SCHMD09886	XENTR13299
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	XENTR04697
OG0000021	SCHMD09794	XENTR12641, XENTR02936
OG0000021	SCHMD09793, SCHMD07893	XENTR13705, XENTR13394, XENTR13393
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	XENTR13780, XENTR17333
OG0000023	SCHMD05376	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976
OG0000027	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288, XENTR11639, XENTR18028, XENTR18027, XENTR18029
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	XENTR10277, XENTR06737
OG0000030	SCHMD17295	XENTR08639
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	XENTR18219
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	XENTR14147
OG0000031	SCHMD16950	XENTR05405, XENTR03766, XENTR08553, XENTR05384, XENTR03164, XENTR10836
OG0000031	SCHMD11094	XENTR03163
OG0000031	SCHMD00185	XENTR00229
OG0000031	SCHMD17865	XENTR02595, XENTR11133, XENTR12584, XENTR00918, XENTR00006, XENTR16792, XENTR04300, XENTR00917, XENTR11778
OG0000034	SCHMD13190, SCHMD26745	XENTR14967, XENTR08246, XENTR04943
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	SCHMD04875	XENTR15456
OG0000034	SCHMD07081	XENTR08340
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	XENTR05239
