Orthogroup	CAEEL	DANRE
OG0000000	CAEEL18735	DANRE06436, DANRE05762
OG0000000	CAEEL01893	DANRE37544, DANRE11226
OG0000000	CAEEL08140	DANRE04898
OG0000000	CAEEL18754	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	CAEEL06523	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592
OG0000000	CAEEL18467, CAEEL18466	DANRE34117, DANRE19532, DANRE36202
OG0000000	CAEEL04771	DANRE00977
OG0000000	CAEEL18086	DANRE04328, DANRE04330, DANRE04329
OG0000000	CAEEL08092	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	CAEEL08135, CAEEL08091	DANRE35277, DANRE35276, DANRE17824, DANRE29250, DANRE09540, DANRE24278, DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703, DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335, DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	CAEEL00979	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	CAEEL19601	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237
OG0000000	CAEEL07441	DANRE06945, DANRE06944, DANRE20512
OG0000000	CAEEL08137, CAEEL17599	DANRE24055
OG0000000	CAEEL08875	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	CAEEL16213	DANRE41166, DANRE05745, DANRE05744, DANRE06657, DANRE11796, DANRE11795, DANRE18798
OG0000002	CAEEL18977	DANRE23574
OG0000003	CAEEL20577	DANRE05700
OG0000005	CAEEL01924	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777
OG0000006	CAEEL18976	DANRE02891
OG0000006	CAEEL00696	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	CAEEL07700	DANRE11213, DANRE11212, DANRE11601
OG0000006	CAEEL05532	DANRE30064, DANRE15483, DANRE30060
OG0000006	CAEEL01533	DANRE20981, DANRE28318, DANRE19321
OG0000006	CAEEL19718	DANRE29642, DANRE29641
OG0000006	CAEEL12101	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	CAEEL00153	DANRE11156, DANRE11155
OG0000006	CAEEL17819	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	CAEEL15182	DANRE04654, DANRE04655
OG0000007	CAEEL04050	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	CAEEL17965	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	CAEEL05829	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	CAEEL01108	DANRE26277, DANRE17981, DANRE12992, DANRE12991
