Orthogroup	DROME	AENJA_ok
OG0000000	DROME16218, DROME16219	AENJA_00110
OG0000000	DROME04813	AENJA_23461
OG0000000	DROME14805, DROME14806	AENJA_26081
OG0000000	DROME15599	AENJA_09148
OG0000000	DROME15463, DROME15462	AENJA_23544
OG0000000	DROME11250	AENJA_09172
OG0000000	DROME14878	AENJA_06471
OG0000000	DROME21328, DROME21327	AENJA_01537
OG0000000	DROME20419	AENJA_01531
OG0000000	DROME12799	AENJA_05531
OG0000000	DROME16097	AENJA_07481
OG0000000	DROME01107	AENJA_25905
OG0000000	DROME13389, DROME13388	AENJA_15854
OG0000000	DROME11314	AENJA_12748
OG0000000	DROME13415	AENJA_12751
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	AENJA_05807
OG0000000	DROME13413	AENJA_15859
OG0000000	DROME13414	AENJA_15861
OG0000000	DROME10025	AENJA_22692
OG0000000	DROME16399	AENJA_20015
OG0000000	DROME03546, DROME03545	AENJA_21459
OG0000000	DROME13420	AENJA_05805
OG0000000	DROME04989	AENJA_01755
OG0000000	DROME16202	AENJA_10279
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	AENJA_05264, AENJA_18954, AENJA_18955
OG0000001	DROME04936, DROME08706, DROME19770, DROME02157, DROME03345	AENJA_06007
OG0000002	DROME14626, DROME12189, DROME02894	AENJA_05471, AENJA_03252
OG0000006	DROME08113	AENJA_13126
OG0000006	DROME01994, DROME01995, DROME01996	AENJA_02691
OG0000006	DROME07928	AENJA_20911
OG0000006	DROME19258, DROME19257, DROME19259	AENJA_22522
OG0000006	DROME21396	AENJA_09814
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	AENJA_00662
OG0000006	DROME19786	AENJA_07549
OG0000006	DROME00664	AENJA_15373
OG0000006	DROME18045, DROME18046, DROME18044	AENJA_18450
OG0000006	DROME00147, DROME00148	AENJA_01590
OG0000006	DROME19780, DROME19779, DROME19781	AENJA_09210
OG0000006	DROME21674, DROME21675, DROME21673	AENJA_15474
OG0000007	DROME12545	AENJA_18325
OG0000007	DROME16994, DROME16993	AENJA_18163
OG0000007	DROME17568, DROME17567	AENJA_00810
OG0000007	DROME07864	AENJA_25020
OG0000007	DROME09292	AENJA_23908, AENJA_19234, AENJA_18326
OG0000007	DROME18346	AENJA_07512
