Orthogroup	STRPU_ok	BRALA
OG0000000	STRPU_10146, STRPU_10084	BRALA16375, BRALA16376
OG0000000	STRPU_22262	BRALA00047
OG0000000	STRPU_10304	BRALA19584, BRALA19585, BRALA25857
OG0000000	STRPU_10010	BRALA25847
OG0000000	STRPU_10083, STRPU_10145	BRALA24482
OG0000000	STRPU_10015	BRALA16262
OG0000000	STRPU_10016	BRALA16263
OG0000000	STRPU_19865, STRPU_19892	BRALA18359
OG0000000	STRPU_02929	BRALA29522
OG0000000	STRPU_19906	BRALA21349
OG0000000	STRPU_03800	BRALA24707
OG0000000	STRPU_23673, STRPU_23648	BRALA18600
OG0000000	STRPU_09982, STRPU_09961	BRALA28387
OG0000000	STRPU_20780	BRALA21476
OG0000000	STRPU_23557	BRALA00440
OG0000000	STRPU_23206	BRALA00115
OG0000000	STRPU_05654	BRALA11736
OG0000000	STRPU_05390	BRALA11734
OG0000000	STRPU_23197, STRPU_23198	BRALA00119, BRALA00120, BRALA00121
OG0000000	STRPU_23194	BRALA00118
OG0000000	STRPU_23756	BRALA00439, BRALA26541
OG0000000	STRPU_22253	BRALA00079
OG0000000	STRPU_09852	BRALA34448
OG0000000	STRPU_23199	BRALA00125, BRALA00124
OG0000000	STRPU_05830	BRALA11733
OG0000000	STRPU_23207	BRALA00135
OG0000000	STRPU_10189	BRALA30674
OG0000000	STRPU_09890	BRALA30673
OG0000000	STRPU_21014	BRALA17840
OG0000001	STRPU_05173, STRPU_05094	BRALA22324, BRALA14825
OG0000001	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221	BRALA08781, BRALA24139, BRALA05562, BRALA26164, BRALA11954, BRALA26697, BRALA02698, BRALA05570, BRALA30227, BRALA11820, BRALA12085, BRALA30418, BRALA12110, BRALA00838
OG0000001	STRPU_00074	BRALA23764
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	BRALA12714, BRALA00678, BRALA00762, BRALA09667, BRALA20490, BRALA27259
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227, STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067, STRPU_12910, STRPU_12667, STRPU_13102	BRALA19588, BRALA19586
OG0000002	STRPU_21867	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000002	STRPU_25048, STRPU_20582, STRPU_20566	BRALA20754
OG0000002	STRPU_00361	BRALA27121
OG0000003	STRPU_08514	BRALA33939, BRALA01916
OG0000003	STRPU_04933, STRPU_22487, STRPU_22462, STRPU_22485, STRPU_08169, STRPU_07935, STRPU_22967	BRALA35907
OG0000003	STRPU_00063	BRALA31353
OG0000003	STRPU_17011	BRALA25224
OG0000003	STRPU_02120	BRALA07610
OG0000003	STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412	BRALA09721
OG0000003	STRPU_12000	BRALA02709
OG0000003	STRPU_17010	BRALA02710
OG0000003	STRPU_09130	BRALA01914
OG0000004	STRPU_02122, STRPU_15691	BRALA16167
OG0000004	STRPU_04563	BRALA27667
OG0000004	STRPU_26969	BRALA08526
OG0000004	STRPU_19329	BRALA02003, BRALA02015
OG0000005	STRPU_18110, STRPU_02307, STRPU_02309	BRALA25414, BRALA34368
OG0000005	STRPU_17631, STRPU_02287	BRALA00382
OG0000005	STRPU_17625, STRPU_17635, STRPU_02284	BRALA15577, BRALA04488
OG0000005	STRPU_26723	BRALA15287
OG0000006	STRPU_12837	BRALA07705
OG0000006	STRPU_04777	BRALA06686
OG0000006	STRPU_05111, STRPU_05037	BRALA19242
OG0000006	STRPU_06684	BRALA06109
OG0000006	STRPU_12594, STRPU_12593	BRALA07568, BRALA29276
OG0000006	STRPU_20521	BRALA22280
OG0000006	STRPU_09165, STRPU_02127	BRALA06185
OG0000006	STRPU_09164	BRALA06182, BRALA06186
OG0000006	STRPU_27184, STRPU_27203	BRALA17603
OG0000006	STRPU_07314	BRALA03602
OG0000006	STRPU_27126	BRALA17591
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	BRALA24372
OG0000006	STRPU_21069	BRALA24993
OG0000006	STRPU_21071	BRALA24994
OG0000006	STRPU_14340	BRALA22628
OG0000007	STRPU_25459	BRALA03259
OG0000007	STRPU_26581	BRALA13447, BRALA13448
OG0000007	STRPU_21427	BRALA20872, BRALA20870
OG0000007	STRPU_26977	BRALA09541
OG0000007	STRPU_09815	BRALA31416
OG0000007	STRPU_10770	BRALA11149
OG0000007	STRPU_25460	BRALA03260
OG0000007	STRPU_25304	BRALA03286
OG0000007	STRPU_25458	BRALA03282
OG0000007	STRPU_08156, STRPU_08157	BRALA25787
OG0000007	STRPU_16477	BRALA26097, BRALA14947
OG0000007	STRPU_21790	BRALA22487
OG0000007	STRPU_08442	BRALA06491
OG0000007	STRPU_08417	BRALA18647
OG0000007	STRPU_12872	BRALA23348
OG0000007	STRPU_10590	BRALA05625
OG0000007	STRPU_21559	BRALA30788
OG0000008	STRPU_10214	BRALA27338
OG0000008	STRPU_08296	BRALA19914
OG0000008	STRPU_10510	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954
OG0000008	STRPU_13258	BRALA09673, BRALA27036
OG0000008	STRPU_13930, STRPU_13915	BRALA26942
OG0000008	STRPU_23377, STRPU_23376	BRALA20539
OG0000009	STRPU_16150	BRALA33044, BRALA32203, BRALA32983
OG0000009	STRPU_15654, STRPU_26439, STRPU_09847, STRPU_13357, STRPU_23871, STRPU_21906, STRPU_16904, STRPU_04743, STRPU_04269, STRPU_14755, STRPU_09185	BRALA26278, BRALA32982
OG0000009	STRPU_11543	BRALA26896, BRALA05198, BRALA23884, BRALA31944
OG0000009	STRPU_21043, STRPU_16701, STRPU_21874	BRALA24985, BRALA23462, BRALA30489
OG0000009	STRPU_18124, STRPU_16867, STRPU_09178, STRPU_19207, STRPU_12303, STRPU_03189, STRPU_16868, STRPU_15303, STRPU_15345, STRPU_20427, STRPU_04877, STRPU_27144, STRPU_05819, STRPU_12056, STRPU_26205, STRPU_03422, STRPU_01689, STRPU_15519, STRPU_03967, STRPU_21734, STRPU_21788, STRPU_12556, STRPU_26350, STRPU_21879, STRPU_07996, STRPU_24057, STRPU_13165, STRPU_08192, STRPU_01156, STRPU_23113, STRPU_05532	BRALA12697, BRALA27847
OG0000009	STRPU_00264, STRPU_13826, STRPU_19547, STRPU_26479, STRPU_00431, STRPU_17677, STRPU_03968, STRPU_21356, STRPU_17025, STRPU_26652, STRPU_25389, STRPU_22050, STRPU_19627, STRPU_22581, STRPU_08423, STRPU_16702, STRPU_26575, STRPU_03959, STRPU_08817, STRPU_01475, STRPU_14722, STRPU_17642, STRPU_11125	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338
OG0000010	STRPU_11420	BRALA08739, BRALA05744
OG0000010	STRPU_08974, STRPU_08975	BRALA17508, BRALA01650, BRALA02432, BRALA03920, BRALA03888, BRALA03922
OG0000010	STRPU_11814	BRALA26959, BRALA34111, BRALA03882, BRALA23970, BRALA23974, BRALA23975, BRALA23976, BRALA23977
OG0000011	STRPU_26685, STRPU_10728	BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147
OG0000011	STRPU_20881	BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249
OG0000011	STRPU_03188, STRPU_03644, STRPU_13118, STRPU_15611, STRPU_01277, STRPU_02577	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037
OG0000011	STRPU_20280, STRPU_12367	BRALA06517, BRALA01847, BRALA32798
OG0000011	STRPU_09042	BRALA13222
OG0000011	STRPU_04871, STRPU_19442, STRPU_02972, STRPU_07599	BRALA17612
OG0000012	STRPU_06380, STRPU_06825	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	STRPU_23191, STRPU_23193, STRPU_23192	BRALA00546
OG0000012	STRPU_23513	BRALA22947
OG0000014	STRPU_12767, STRPU_02355	BRALA21274
