Orthogroup	STRPU_ok	DANRE
OG0000000	STRPU_10146, STRPU_10084	DANRE06436, DANRE05762
OG0000000	STRPU_22262	DANRE24636, DANRE35926
OG0000000	STRPU_10304	DANRE04899, DANRE05022, DANRE06714
OG0000000	STRPU_10083, STRPU_10145	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	STRPU_10015	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592
OG0000000	STRPU_19865, STRPU_19892	DANRE34117, DANRE19532, DANRE36202
OG0000000	STRPU_02929	DANRE02487, DANRE13405
OG0000000	STRPU_03800	DANRE00977
OG0000000	STRPU_09982, STRPU_09961	DANRE04328, DANRE04330, DANRE04329
OG0000000	STRPU_20780	DANRE18867, DANRE18868
OG0000000	STRPU_23206	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	STRPU_05654	DANRE35277, DANRE35276, DANRE17824
OG0000000	STRPU_05390	DANRE24278
OG0000000	STRPU_23197, STRPU_23198	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703
OG0000000	STRPU_23194	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	STRPU_23756	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	STRPU_22253	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	STRPU_09852	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	STRPU_23199	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237
OG0000000	STRPU_05830	DANRE06945, DANRE06944, DANRE20512
OG0000000	STRPU_23207	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	STRPU_10189	DANRE41165, DANRE05977, DANRE05743
OG0000000	STRPU_09890	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000000	STRPU_21017	DANRE11796, DANRE11795, DANRE18798
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000001	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262	DANRE16475, DANRE16476, DANRE15519, DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227	DANRE29550
OG0000002	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991	DANRE16673
OG0000002	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083	DANRE38244, DANRE38242, DANRE38243
OG0000002	STRPU_00361	DANRE23574
OG0000003	STRPU_02120, STRPU_20651	DANRE05700
OG0000003	STRPU_00036	DANRE40137
OG0000004	STRPU_27431, STRPU_02833, STRPU_09499, STRPU_09497, STRPU_09498, STRPU_07696, STRPU_07682, STRPU_22142	DANRE31040
OG0000004	STRPU_26215, STRPU_26214	DANRE41389, DANRE41390
OG0000004	STRPU_19329	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697
OG0000005	STRPU_02665, STRPU_01699	DANRE11160
OG0000006	STRPU_04777	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	STRPU_05111, STRPU_05037	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	STRPU_06684	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	STRPU_19989	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	STRPU_12594, STRPU_12593	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	STRPU_20521	DANRE11213, DANRE11212, DANRE11601
OG0000006	STRPU_09165, STRPU_02127	DANRE30064, DANRE15483
OG0000006	STRPU_09164	DANRE30060
OG0000006	STRPU_27184, STRPU_27203	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	STRPU_07314	DANRE05395
OG0000006	STRPU_27126	DANRE20981, DANRE28318, DANRE19321
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	STRPU_21069	DANRE11156, DANRE11155
OG0000006	STRPU_21071	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	STRPU_14340	DANRE04654, DANRE04655
OG0000007	STRPU_25459	DANRE26275, DANRE17982
OG0000007	STRPU_26581	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	STRPU_21427	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	STRPU_18763	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	STRPU_09815	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	STRPU_10770	DANRE23214, DANRE28394, DANRE07751, DANRE07750
OG0000007	STRPU_25460	DANRE12664
OG0000007	STRPU_25304	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	STRPU_25458	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	STRPU_08156, STRPU_08157	DANRE21702
OG0000007	STRPU_16477	DANRE08320, DANRE33659
OG0000007	STRPU_21790	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	STRPU_08442	DANRE30028, DANRE03038, DANRE28801
OG0000007	STRPU_08417	DANRE30495, DANRE03657, DANRE03658
OG0000007	STRPU_10590	DANRE02453, DANRE09326, DANRE09325
OG0000007	STRPU_21559	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	STRPU_23377, STRPU_23376	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000010	STRPU_08974, STRPU_08975	DANRE39463, DANRE39462
OG0000011	STRPU_09042	DANRE34035, DANRE34036
OG0000012	STRPU_06380, STRPU_06825	DANRE38177, DANRE38176
OG0000012	STRPU_23513	DANRE12655, DANRE12656, DANRE12659
OG0000014	STRPU_17754, STRPU_17755	DANRE17251, DANRE43403
OG0000014	STRPU_19509	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	STRPU_05546, STRPU_05605	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276, DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443
