Orthogroup	CAPO3	YEAST
OG0000006	CAPO306864, CAPO306217	YEAST01430
OG0000007	CAPO303284	YEAST01568, YEAST05134
OG0000016	CAPO300049	YEAST03839, YEAST02807, YEAST03817
OG0000016	CAPO304360	YEAST03870, YEAST01103
OG0000031	CAPO308265, CAPO303729, CAPO307573, CAPO302122	YEAST02238
OG0000038	CAPO307725	YEAST04422, YEAST04379
OG0000043	CAPO301478, CAPO305172, CAPO308256	YEAST00224, YEAST01200
OG0000048	CAPO305301, CAPO306877, CAPO303671, CAPO303687, CAPO303495, CAPO304823	YEAST05707
OG0000054	CAPO303213, CAPO305653, CAPO302015, CAPO303797	YEAST01385
OG0000055	CAPO301479, CAPO301432	YEAST01199, YEAST00225
OG0000058	CAPO305595	YEAST02989
OG0000058	CAPO307225	YEAST02120
OG0000069	CAPO302182	YEAST03661
OG0000069	CAPO303953, CAPO301523, CAPO305173	YEAST05172
OG0000079	CAPO302518	YEAST05330
OG0000082	CAPO304738	YEAST03287
OG0000082	CAPO306626	YEAST04267, YEAST01834, YEAST03359
OG0000082	CAPO300843, CAPO306232	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000095	CAPO301288, CAPO306046	YEAST02993
OG0000096	CAPO301431, CAPO303349	YEAST02643
OG0000096	CAPO307955	YEAST00638
OG0000096	CAPO307522, CAPO300294, CAPO307017	YEAST05104, YEAST05564
OG0000103	CAPO302453	YEAST02873
OG0000107	CAPO301524	YEAST05173
OG0000113	CAPO301240	YEAST03410, YEAST02964
OG0000114	CAPO302440	YEAST00703
OG0000114	CAPO304415	YEAST00479, YEAST02386
OG0000116	CAPO305622	YEAST04456
OG0000122	CAPO307824	YEAST04928
OG0000124	CAPO302553	YEAST04122
OG0000126	CAPO301836	YEAST04685
OG0000126	CAPO306721	YEAST01059, YEAST02064
OG0000126	CAPO300572	YEAST00053
OG0000132	CAPO305174	YEAST06016
OG0000137	CAPO305369	YEAST01851, YEAST00637
OG0000142	CAPO302031, CAPO302030	YEAST02122
OG0000157	CAPO301137	YEAST01890
OG0000157	CAPO305824	YEAST02851
OG0000158	CAPO305752, CAPO304850, CAPO302924	YEAST05568
OG0000160	CAPO301680	YEAST04194
OG0000175	CAPO303513, CAPO303920	YEAST00850, YEAST04327
OG0000179	CAPO300694	YEAST01123, YEAST04430
OG0000179	CAPO303342	YEAST02911, YEAST01281
OG0000181	CAPO301108, CAPO302034, CAPO307692, CAPO300374	YEAST00824, YEAST00771
OG0000186	CAPO301875	YEAST00336
OG0000194	CAPO305195	YEAST01410
OG0000195	CAPO305454	YEAST03414
OG0000211	CAPO306209	YEAST04964
OG0000221	CAPO305669, CAPO306000, CAPO305162, CAPO300247, CAPO308272, CAPO301991, CAPO300059	YEAST05872
OG0000222	CAPO304211	YEAST01460
OG0000225	CAPO305347	YEAST06146
OG0000228	CAPO306208	YEAST04750
OG0000238	CAPO305428	YEAST06340, YEAST03834
OG0000240	CAPO303877, CAPO303214	YEAST03827
OG0000240	CAPO303372	YEAST04973
OG0000242	CAPO304847	YEAST00734
OG0000246	CAPO303496, CAPO308181	YEAST01746, YEAST01747
OG0000250	CAPO301950, CAPO305827	YEAST04716
OG0000255	CAPO306632, CAPO301531, CAPO300499	YEAST02822
OG0000256	CAPO307884, CAPO306483, CAPO306876	YEAST00266
OG0000258	CAPO301106, CAPO301746	YEAST00118
OG0000260	CAPO303219, CAPO300399	YEAST04323
OG0000265	CAPO306540	YEAST03885, YEAST03714
OG0000272	CAPO304601	YEAST02076, YEAST01066
OG0000273	CAPO307666	YEAST05751
OG0000278	CAPO305822	YEAST03806
OG0000278	CAPO302023	YEAST04060
OG0000278	CAPO303638	YEAST01107
OG0000284	CAPO302861, CAPO305695	YEAST05621
OG0000289	CAPO307835	YEAST00645
OG0000305	CAPO307183	YEAST04899
OG0000308	CAPO304037, CAPO303083	YEAST02548
OG0000310	CAPO305978	YEAST02635
OG0000312	CAPO304557, CAPO302691, CAPO307944	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	CAPO307072	YEAST05106
OG0000313	CAPO301348	YEAST02950, YEAST05526
OG0000315	CAPO308167	YEAST04684
OG0000316	CAPO307924, CAPO300321	YEAST01673
OG0000317	CAPO306620	YEAST01356
OG0000321	CAPO303657, CAPO307405, CAPO307156	YEAST03264
OG0000326	CAPO308358, CAPO307947	YEAST06268, YEAST05286
OG0000326	CAPO303322	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	CAPO308120	YEAST01354
OG0000334	CAPO300337	YEAST05626
OG0000338	CAPO304735	YEAST02967, YEAST04211
OG0000343	CAPO306429	YEAST03024, YEAST02736
OG0000345	CAPO304859, CAPO300769	YEAST01884
OG0000352	CAPO300356	YEAST04069
OG0000357	CAPO301487	YEAST01925
OG0000359	CAPO305417, CAPO301540, CAPO306866	YEAST02489
OG0000363	CAPO300237, CAPO305594	YEAST04081, YEAST05870
OG0000365	CAPO302286	YEAST05831
OG0000367	CAPO301272	YEAST02141, YEAST03746, YEAST03210
OG0000372	CAPO307553	YEAST05988
OG0000373	CAPO301744, CAPO307539	YEAST02023
OG0000385	CAPO300182, CAPO305781, CAPO305517	YEAST03496
OG0000393	CAPO307627	YEAST04072, YEAST04071, YEAST01302
OG0000397	CAPO304372	YEAST05080
OG0000399	CAPO302781	YEAST02160
OG0000402	CAPO300999	YEAST01657, YEAST01929
OG0000405	CAPO300636	YEAST06055, YEAST00411
OG0000412	CAPO304962, CAPO306384, CAPO307159	YEAST04469
OG0000413	CAPO302663	YEAST04905, YEAST05340
OG0000413	CAPO304678	YEAST02838
OG0000419	CAPO301169, CAPO304227	YEAST05989
OG0000420	CAPO307162	YEAST03886
OG0000424	CAPO302770, CAPO306814, CAPO303750	YEAST03563
OG0000426	CAPO302714	YEAST03440
OG0000426	CAPO306829	YEAST03848, YEAST01121, YEAST04098, YEAST00799
OG0000427	CAPO302870, CAPO303813	YEAST02655, YEAST02439
OG0000429	CAPO300725	YEAST02285
OG0000431	CAPO306585, CAPO304684, CAPO302955	YEAST04014
OG0000433	CAPO304838, CAPO302573	YEAST06177, YEAST00117
OG0000437	CAPO300952	YEAST03074, YEAST02073
OG0000442	CAPO302753, CAPO302633, CAPO301179	YEAST05012
OG0000444	CAPO305423, CAPO301239	YEAST01115, YEAST04019
OG0000445	CAPO301584	YEAST03068
OG0000450	CAPO307586, CAPO307446	YEAST04709, YEAST05909
OG0000461	CAPO307456	YEAST00120, YEAST05345
OG0000467	CAPO302815	YEAST01593, YEAST04241, YEAST05317
OG0000467	CAPO302214	YEAST03162
OG0000468	CAPO302003, CAPO303185	YEAST04372
OG0000469	CAPO306584, CAPO302277	YEAST02179, YEAST05440
OG0000469	CAPO302982	YEAST02333
OG0000474	CAPO307766	YEAST02384
OG0000476	CAPO306104	YEAST03038
OG0000479	CAPO303549, CAPO304267	YEAST04139
OG0000480	CAPO307201	YEAST05750
OG0000481	CAPO300053	YEAST01040
OG0000481	CAPO304800	YEAST00916
OG0000481	CAPO304355	YEAST00827, YEAST00774
OG0000484	CAPO304750	YEAST05824
OG0000486	CAPO306048, CAPO306972	YEAST03122, YEAST04270
OG0000488	CAPO305871	YEAST01414
OG0000490	CAPO304482, CAPO302264	YEAST04297, YEAST00894
OG0000491	CAPO306985	YEAST06196, YEAST00317
OG0000505	CAPO303790, CAPO306121	YEAST03067
OG0000508	CAPO303408, CAPO307945, CAPO306082, CAPO307989, CAPO301076, CAPO302590	YEAST04626
OG0000510	CAPO303128, CAPO305095	YEAST04569, YEAST05730
