Orthogroup	BRALA	APOSJ_ok
OG0000000	BRALA16375, BRALA16376	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	BRALA19584, BRALA19585, BRALA25857	APOSJ_43984, APOSJ_47154
OG0000000	BRALA16262	APOSJ_18686
OG0000000	BRALA16263	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	BRALA18359	APOSJ_32352
OG0000000	BRALA29522	APOSJ_18136
OG0000000	BRALA28387	APOSJ_34245
OG0000000	BRALA21476	APOSJ_60507
OG0000000	BRALA00115	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	BRALA11734	APOSJ_36728
OG0000000	BRALA00119, BRALA00120, BRALA00121	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	BRALA00118	APOSJ_40396
OG0000000	BRALA00439, BRALA26541	APOSJ_37520
OG0000000	BRALA00079	APOSJ_38857, APOSJ_38860
OG0000000	BRALA34448	APOSJ_32562, APOSJ_32561
OG0000000	BRALA00125, BRALA00124	APOSJ_47531, APOSJ_29010
OG0000000	BRALA11733	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	BRALA30674	APOSJ_56734
OG0000000	BRALA30673	APOSJ_31415
OG0000000	BRALA17840	APOSJ_02527
OG0000001	BRALA22324, BRALA14825	APOSJ_37929, APOSJ_51222, APOSJ_62226, APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875
OG0000001	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939	APOSJ_40516, APOSJ_28860
OG0000001	BRALA00762, BRALA09667	APOSJ_12278
OG0000001	BRALA20490	APOSJ_36722
OG0000001	BRALA19588, BRALA19586	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	APOSJ_36413
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870
OG0000002	BRALA20754	APOSJ_16645, APOSJ_07327
OG0000002	BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797	APOSJ_21931
OG0000003	BRALA04606	APOSJ_50244
OG0000003	BRALA11277	APOSJ_24854
OG0000003	BRALA03414	APOSJ_63267
OG0000003	BRALA31353	APOSJ_43552, APOSJ_43551
OG0000003	BRALA11278	APOSJ_43592, APOSJ_07424, APOSJ_43596
OG0000003	BRALA27165	APOSJ_58026
OG0000003	BRALA34993, BRALA18601	APOSJ_24559, APOSJ_33006
OG0000003	BRALA05750	APOSJ_45754
OG0000003	BRALA07140	APOSJ_33662
OG0000003	BRALA30232, BRALA07610	APOSJ_07491
OG0000003	BRALA02710	APOSJ_19118
OG0000003	BRALA31768, BRALA11276	APOSJ_22529, APOSJ_10268
OG0000003	BRALA10124	APOSJ_41438
OG0000003	BRALA29565	APOSJ_57640
OG0000003	BRALA07069, BRALA20351	APOSJ_11759
OG0000003	BRALA01914	APOSJ_10992, APOSJ_60978
OG0000003	BRALA17936, BRALA23610	APOSJ_12157, APOSJ_25443
OG0000004	BRALA16167	APOSJ_50666, APOSJ_27471
OG0000004	BRALA27667	APOSJ_28748, APOSJ_28747
OG0000004	BRALA08526	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802
OG0000004	BRALA03961	APOSJ_07840, APOSJ_23165, APOSJ_23172, APOSJ_23166, APOSJ_23170, APOSJ_23169, APOSJ_23173, APOSJ_23171
OG0000005	BRALA25414, BRALA34368	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667
OG0000005	BRALA00382	APOSJ_31537
OG0000005	BRALA31589	APOSJ_58392, APOSJ_58393
OG0000005	BRALA15288	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100
OG0000005	BRALA15287	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095
OG0000006	BRALA07705	APOSJ_12203, APOSJ_12202, APOSJ_12204
OG0000006	BRALA06686	APOSJ_14510
OG0000006	BRALA19242	APOSJ_43757
OG0000006	BRALA07568, BRALA29276	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	BRALA06185	APOSJ_52128
OG0000006	BRALA06182, BRALA06186	APOSJ_22887
OG0000006	BRALA17603	APOSJ_25002
OG0000006	BRALA03602	APOSJ_24425, APOSJ_24424
OG0000006	BRALA24372	APOSJ_38154
OG0000006	BRALA24994	APOSJ_46492
OG0000007	BRALA03259	APOSJ_59584
OG0000007	BRALA13447, BRALA13448	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	BRALA20872, BRALA20870	APOSJ_59909
OG0000007	BRALA31416	APOSJ_04151
OG0000007	BRALA03260	APOSJ_32909
OG0000007	BRALA03282	APOSJ_33751
OG0000007	BRALA26097, BRALA14947	APOSJ_45510, APOSJ_50337
OG0000007	BRALA22487	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	BRALA06491	APOSJ_06582, APOSJ_20594
OG0000007	BRALA18647	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	BRALA23348	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121
OG0000007	BRALA05625	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	BRALA30788	APOSJ_55940, APOSJ_55941
OG0000008	BRALA27340	APOSJ_61175
OG0000008	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183
OG0000008	BRALA09673	APOSJ_51676
OG0000008	BRALA27036	APOSJ_19161, APOSJ_11616, APOSJ_11617
OG0000008	BRALA26942	APOSJ_06622, APOSJ_23604
OG0000008	BRALA20539	APOSJ_50496
OG0000009	BRALA33044, BRALA32203, BRALA32983	APOSJ_09416, APOSJ_58001, APOSJ_01900, APOSJ_01898
OG0000009	BRALA34913	APOSJ_18180, APOSJ_18179
OG0000009	BRALA26278, BRALA32982	APOSJ_60169, APOSJ_10781, APOSJ_49262, APOSJ_11404, APOSJ_10780, APOSJ_10776, APOSJ_00998, APOSJ_00997, APOSJ_00994, APOSJ_00992, APOSJ_00989
OG0000009	BRALA26344, BRALA34657	APOSJ_58002
