AENJA_23461	BRALA00047
AENJA_24355	BRALA17283
AENJA_09148	BRALA25847
AENJA_23544	BRALA24482
AENJA_09172	BRALA16262
AENJA_06471	BRALA16263
AENJA_01537	BRALA18359
AENJA_09519	BRALA29522
AENJA_01531	BRALA21349
AENJA_05531	BRALA18600
AENJA_07481	BRALA28387
AENJA_25905	BRALA21476
AENJA_15854	BRALA00115
AENJA_12748	BRALA11736
AENJA_15855	BRALA00116
AENJA_12751	BRALA11734
AENJA_15861	BRALA00118
AENJA_20015	BRALA00079
AENJA_21459	BRALA11733
AENJA_01755	BRALA00135
AENJA_10279	BRALA30674
AENJA_05264	BRALA30673
AENJA_18955	BRALA17840
AENJA_21348	BRALA11277
AENJA_13323	BRALA35907
AENJA_16645	BRALA11278
AENJA_15435	BRALA07140
AENJA_04134	BRALA01167
AENJA_00543	BRALA23910
AENJA_15703	BRALA27667
AENJA_25009	BRALA08526
AENJA_12050	BRALA31589
AENJA_12061	BRALA16471
AENJA_24820	BRALA15288
AENJA_18510	BRALA17590
AENJA_22158	BRALA06686
AENJA_13126	BRALA19242
AENJA_02691	BRALA06109
AENJA_22522	BRALA22280
AENJA_09814	BRALA06185
AENJA_00662	BRALA17603
AENJA_18450	BRALA24372
AENJA_01590	BRALA24993
AENJA_09210	BRALA24994
AENJA_15474	BRALA22628
AENJA_18325	BRALA03259
AENJA_23908	BRALA31416
AENJA_19234	BRALA11149
AENJA_18326	BRALA03260
AENJA_18328	BRALA03282
AENJA_07512	BRALA08350
AENJA_11851	BRALA25787
AENJA_07358	BRALA22487
AENJA_11277	BRALA06491
AENJA_22886	BRALA18647
AENJA_20902	BRALA23348
AENJA_16981	BRALA05625
AENJA_26507	BRALA30788
AENJA_00959	BRALA20539
AENJA_09256	BRALA34913
AENJA_13451	BRALA24601
AENJA_13168	BRALA33147
AENJA_26050	BRALA13222
AENJA_02869	BRALA22947
AENJA_14640	BRALA22396
AENJA_23415	BRALA20932
AENJA_19634	BRALA06628
AENJA_19636	BRALA22448
AENJA_18653	BRALA22447
AENJA_26670	BRALA21428
AENJA_01235	BRALA30292
AENJA_15791	BRALA28848
AENJA_12903	BRALA05608
AENJA_09502	BRALA18984
AENJA_18052	BRALA16287
AENJA_17847	BRALA11167
AENJA_16929	BRALA27392
AENJA_04727	BRALA11912
AENJA_07947	BRALA18130
AENJA_14659	BRALA12599
AENJA_12495	BRALA10628
AENJA_25422	BRALA23615
AENJA_14639	BRALA18963
AENJA_16593	BRALA22428
AENJA_24950	BRALA30352
AENJA_17256	BRALA25665
AENJA_05976	BRALA33595
AENJA_10129	BRALA01767
AENJA_26395	BRALA01099
AENJA_05610	BRALA00240
AENJA_07079	BRALA13443
AENJA_12274	BRALA32573
AENJA_21030	BRALA13032
AENJA_09856	BRALA04543
AENJA_09858	BRALA04547
AENJA_20966	BRALA04610
AENJA_10722	BRALA16640
AENJA_02955	BRALA09408
AENJA_05740	BRALA28311
AENJA_06514	BRALA10240
AENJA_13272	BRALA15667
AENJA_02801	BRALA13238
AENJA_25355	BRALA22616
AENJA_21749	BRALA27570
AENJA_26717	BRALA08751
AENJA_23686	BRALA17580
AENJA_13785	BRALA08885
AENJA_15701	BRALA06594
AENJA_24919	BRALA18444
AENJA_16616	BRALA02412
AENJA_26793	BRALA13925
AENJA_08825	BRALA13921
AENJA_12732	BRALA29588
AENJA_21683	BRALA13917
AENJA_16633	BRALA35896
AENJA_20944	BRALA22282
AENJA_13632	BRALA16015
AENJA_07945	BRALA31558
AENJA_26786	BRALA21586
AENJA_02471	BRALA35729
AENJA_07277	BRALA19542
AENJA_26664	BRALA28596
