Orthogroup	MOUSE	AENJA_ok
OG0000000	MOUSE35835, MOUSE46731	AENJA_00110
OG0000000	MOUSE35499, MOUSE22971	AENJA_23461
OG0000000	MOUSE40493, MOUSE21445	AENJA_26081
OG0000000	MOUSE40450, MOUSE21440	AENJA_24355
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	AENJA_23544
OG0000000	MOUSE46854, MOUSE36974	AENJA_09172
OG0000000	MOUSE25533, MOUSE37056	AENJA_01537
OG0000000	MOUSE09344, MOUSE50563	AENJA_00111, AENJA_09519
OG0000000	MOUSE20961	AENJA_07481
OG0000000	MOUSE24692	AENJA_25905
OG0000000	MOUSE05222, MOUSE26497, MOUSE39799	AENJA_15854
OG0000000	MOUSE38794, MOUSE36509	AENJA_12748
OG0000000	MOUSE26494, MOUSE05221, MOUSE39801	AENJA_15855
OG0000000	MOUSE38795	AENJA_12751
OG0000000	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889	AENJA_05807
OG0000000	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218	AENJA_15859
OG0000000	MOUSE05217, MOUSE39807, MOUSE14885	AENJA_15861
OG0000000	MOUSE35589, MOUSE35590	AENJA_22692
OG0000000	MOUSE05644, MOUSE06967	AENJA_20015
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	AENJA_21459
OG0000000	MOUSE42582	AENJA_05805
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	AENJA_01755
OG0000000	MOUSE36110	AENJA_10279
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	AENJA_05264
OG0000000	MOUSE28110, MOUSE28109	AENJA_18954
OG0000000	MOUSE07114	AENJA_18955
OG0000001	MOUSE47436	AENJA_04021
