Orthogroup	XENTR	HUMAN
OG0000000	XENTR08878	HUMAN22097
OG0000000	XENTR01079, XENTR01080	HUMAN18431
OG0000000	XENTR18066	HUMAN03692
OG0000000	XENTR07932	HUMAN17136
OG0000000	XENTR18621	HUMAN03688
OG0000000	XENTR10509	HUMAN03744
OG0000000	XENTR10508	HUMAN03743
OG0000000	XENTR13402	HUMAN22196
OG0000000	XENTR02223	HUMAN27740
OG0000000	XENTR10492	HUMAN03805
OG0000000	XENTR10560	HUMAN22626
OG0000000	XENTR07734	HUMAN29337
OG0000000	XENTR13891	HUMAN01254
OG0000000	XENTR17298	HUMAN28889
OG0000000	XENTR05705	HUMAN05731
OG0000000	XENTR16086	HUMAN05644
OG0000000	XENTR12445	HUMAN03433
OG0000000	XENTR07618	HUMAN02527
OG0000000	XENTR07167	HUMAN17907
OG0000000	XENTR03338	HUMAN26096
OG0000000	XENTR04390	HUMAN07512
OG0000000	XENTR05494	HUMAN22413
OG0000000	XENTR10849	HUMAN12896
OG0000000	XENTR03337	HUMAN26097
OG0000000	XENTR04389	HUMAN07513
OG0000000	XENTR10854	HUMAN12904
OG0000000	XENTR08539	HUMAN06517
OG0000000	XENTR07170	HUMAN17904
OG0000000	XENTR03332	HUMAN12902, HUMAN26102
OG0000000	XENTR10853	HUMAN12901
OG0000000	XENTR03333	HUMAN26101
OG0000000	XENTR08540	HUMAN06515
OG0000000	XENTR08542	HUMAN06518
OG0000000	XENTR10851	HUMAN12899
OG0000000	XENTR03334	HUMAN26100
OG0000000	XENTR08541	HUMAN06519
OG0000000	XENTR06295	HUMAN27325
OG0000000	XENTR04184	HUMAN27326
OG0000000	XENTR03185	HUMAN26016
OG0000000	XENTR12464	HUMAN22154
OG0000000	XENTR08726	HUMAN24253
OG0000000	XENTR06680	HUMAN08317
OG0000000	XENTR12982	HUMAN18755
OG0000000	XENTR08538	HUMAN06516
OG0000000	XENTR03331	HUMAN26103
OG0000000	XENTR07171	HUMAN17903
OG0000000	XENTR10855, XENTR10856	HUMAN12905
OG0000000	XENTR03330	HUMAN26104
OG0000000	XENTR00687	HUMAN30050
OG0000000	XENTR13779	HUMAN24067
OG0000000	XENTR03327	HUMAN26107
OG0000000	XENTR07175	HUMAN17898
OG0000000	XENTR01971	HUMAN27579
OG0000000	XENTR14936	HUMAN22230
OG0000000	XENTR01972	HUMAN27580
OG0000000	XENTR09547	HUMAN03523
OG0000000	XENTR08722	HUMAN24243
OG0000000	XENTR12981	HUMAN18756
OG0000000	XENTR06679	HUMAN08319
OG0000001	XENTR19191, XENTR05335, XENTR05334	HUMAN01493, HUMAN01492
OG0000001	XENTR06490	HUMAN10622
OG0000001	XENTR04259	HUMAN03140, HUMAN03346
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000002	XENTR12747	HUMAN22770
OG0000002	XENTR12309, XENTR12000	HUMAN15589
OG0000002	XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313	HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588
OG0000002	XENTR16022	HUMAN04207
OG0000002	XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	HUMAN20269
OG0000004	XENTR16872	HUMAN27462, HUMAN27463
OG0000004	XENTR15834	HUMAN27619
OG0000004	XENTR18073	HUMAN27575
OG0000004	XENTR04878	HUMAN22815
OG0000004	XENTR07824, XENTR07823	HUMAN05919, HUMAN05921
OG0000004	XENTR07827, XENTR19087, XENTR07826	HUMAN01911
OG0000005	XENTR05002, XENTR05003	HUMAN23763, HUMAN23764
OG0000005	XENTR09503	HUMAN04828, HUMAN04827
OG0000005	XENTR09492, XENTR09491	HUMAN04760, HUMAN04761
OG0000005	XENTR17068	HUMAN20683
OG0000005	XENTR04106	HUMAN25811, HUMAN25812
OG0000005	XENTR09142	HUMAN25469
OG0000005	XENTR16849, XENTR09568	HUMAN01465
OG0000006	XENTR06019	HUMAN21060
OG0000006	XENTR00026	HUMAN00944
OG0000006	XENTR03474, XENTR03473	HUMAN22351
OG0000006	XENTR14730	HUMAN05133
OG0000006	XENTR03090	HUMAN21718
OG0000006	XENTR09060	HUMAN29537
OG0000006	XENTR03954	HUMAN02118
OG0000006	XENTR14945	HUMAN29294
OG0000006	XENTR03689	HUMAN29691
OG0000006	XENTR00399	HUMAN06884
