Orthogroup	HELIO_ok	AMPFI_ok
OG0000000	HELIO_01999	AMPFI_12098
OG0000000	HELIO_08880	AMPFI_11894
OG0000000	HELIO_06752	AMPFI_12336
OG0000000	HELIO_00795	AMPFI_16025
OG0000000	HELIO_02157	AMPFI_02168
OG0000000	HELIO_11687	AMPFI_10716
OG0000000	HELIO_04988	AMPFI_19781
OG0000000	HELIO_00700	AMPFI_22359
OG0000000	HELIO_08573	AMPFI_12478
OG0000000	HELIO_11400	AMPFI_04297
OG0000000	HELIO_04994	AMPFI_05560
OG0000000	HELIO_00816	AMPFI_01589
OG0000000	HELIO_04090	AMPFI_10655
OG0000001	HELIO_00196	AMPFI_24482, AMPFI_16657
OG0000001	HELIO_00018	AMPFI_22650
OG0000001	HELIO_00128	AMPFI_17262
OG0000001	HELIO_06891, HELIO_10957	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487
OG0000001	HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455	AMPFI_00879
OG0000002	HELIO_06940	AMPFI_23102
OG0000002	HELIO_05342, HELIO_01248	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979
OG0000002	HELIO_12021, HELIO_07207	AMPFI_02191, AMPFI_00932, AMPFI_04499
OG0000003	HELIO_07277	AMPFI_12750
OG0000003	HELIO_03324	AMPFI_04384
OG0000003	HELIO_02559	AMPFI_10369
OG0000003	HELIO_06998, HELIO_07220	AMPFI_18906
OG0000003	HELIO_07118, HELIO_08034	AMPFI_17831
OG0000003	HELIO_08472, HELIO_00669	AMPFI_11730
OG0000003	HELIO_06573	AMPFI_17593, AMPFI_10595
OG0000003	HELIO_09381	AMPFI_15011
OG0000003	HELIO_06283	AMPFI_13340, AMPFI_02133, AMPFI_10984
OG0000003	HELIO_06076	AMPFI_16139
OG0000003	HELIO_08521	AMPFI_17117
OG0000003	HELIO_00523, HELIO_01732	AMPFI_14862
OG0000003	HELIO_04717	AMPFI_13136, AMPFI_02273
OG0000003	HELIO_04687	AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846, AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596
OG0000003	HELIO_09894	AMPFI_16630, AMPFI_04001
OG0000003	HELIO_06251	AMPFI_02209, AMPFI_22111
OG0000003	HELIO_07587	AMPFI_14216
OG0000003	HELIO_02003	AMPFI_25043
OG0000003	HELIO_06683	AMPFI_18391
OG0000003	HELIO_04847	AMPFI_13137
OG0000003	HELIO_01179	AMPFI_11583
OG0000003	HELIO_04393	AMPFI_21369
OG0000004	HELIO_07338	AMPFI_20212, AMPFI_25512, AMPFI_20381, AMPFI_24423
OG0000004	HELIO_03376	AMPFI_12413
OG0000004	HELIO_07102	AMPFI_07977
OG0000004	HELIO_01465, HELIO_01464	AMPFI_21283
OG0000004	HELIO_11715, HELIO_04180, HELIO_04162, HELIO_05704, HELIO_06644, HELIO_05598, HELIO_04311, HELIO_05602	AMPFI_11893
OG0000004	HELIO_12155	AMPFI_01544
OG0000004	HELIO_00370, HELIO_07295, HELIO_04128, HELIO_00658, HELIO_12195	AMPFI_11374, AMPFI_01179
OG0000004	HELIO_09679, HELIO_06594	AMPFI_03079
OG0000004	HELIO_10453	AMPFI_20230
OG0000004	HELIO_05213	AMPFI_03068
OG0000005	HELIO_04530, HELIO_05062, HELIO_02098	AMPFI_18823
OG0000005	HELIO_04655	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	HELIO_08259, HELIO_08264	AMPFI_00206
OG0000006	HELIO_06349	AMPFI_02520
OG0000006	HELIO_10345	AMPFI_23503
OG0000006	HELIO_08890	AMPFI_09123
OG0000006	HELIO_11381, HELIO_00450	AMPFI_18507
OG0000006	HELIO_08227	AMPFI_06099
OG0000006	HELIO_06418	AMPFI_17130
OG0000006	HELIO_00028	AMPFI_05072, AMPFI_22396
OG0000007	HELIO_10106	AMPFI_02812
OG0000007	HELIO_00643	AMPFI_07094
OG0000007	HELIO_06396	AMPFI_16775
OG0000007	HELIO_03703	AMPFI_26059
OG0000007	HELIO_07978	AMPFI_15806
OG0000007	HELIO_03118	AMPFI_22204
OG0000007	HELIO_07991	AMPFI_08786
OG0000007	HELIO_01456	AMPFI_17089
OG0000007	HELIO_04275	AMPFI_21281
OG0000007	HELIO_11721	AMPFI_23280
OG0000008	HELIO_09201	AMPFI_24346
OG0000008	HELIO_07090	AMPFI_10761
OG0000009	HELIO_05064	AMPFI_18552, AMPFI_07288
OG0000009	HELIO_03078	AMPFI_03747, AMPFI_04561
OG0000009	HELIO_04671	AMPFI_22442, AMPFI_06910, AMPFI_19945
