Orthogroup	OWEFU	SACKO_ok
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	SACKO_12749
OG0000000	OFUSG13305.1.p1	SACKO_19677
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	SACKO_25619
OG0000000	OFUSG18918.1.p1	SACKO_25616
OG0000000	OFUSG05755.1.p1	SACKO_05553
OG0000000	OFUSG06970.1.p1	SACKO_16683
OG0000000	OFUSG05968.1.p1	SACKO_25799
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	SACKO_08208, SACKO_08197
OG0000000	OFUSG08786.1.p1	SACKO_32730, SACKO_17792
OG0000000	OFUSG09074.1.p1	SACKO_19489
OG0000000	OFUSG17443.1.p1	SACKO_26485
OG0000000	OFUSG19303.1.p1	SACKO_31887
OG0000000	OFUSG17426.1.p1	SACKO_26668
OG0000000	OFUSG13332.1.p1	SACKO_24012
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	SACKO_11590
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	SACKO_24040
OG0000000	OFUSG03302.1.p1	SACKO_11588
OG0000000	OFUSG13338.1.p1	SACKO_24002
OG0000000	OFUSG13339.1.p1, OFUSG13340.1.p1	SACKO_24009
OG0000000	OFUSG13335.1.p1	SACKO_24024
OG0000000	OFUSG13336.1.p1	SACKO_24025
OG0000000	OFUSG17003.1.p1	SACKO_26673
OG0000000	OFUSG21200.1.p1	SACKO_06485
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	SACKO_31872
OG0000000	OFUSG23416.1.p1	SACKO_15987
OG0000000	OFUSG03177.1.p1	SACKO_11599
OG0000000	OFUSG12947.1.p1	SACKO_22872
OG0000000	OFUSG05775.1.p1	SACKO_31901
OG0000000	OFUSG06109.1.p1	SACKO_31899
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	SACKO_11978
OG0000000	OFUSG21806.1.p1	SACKO_12011
OG0000001	OFUSG04431.1.p1	SACKO_11349
OG0000001	OFUSG26260.1.p1, OFUSG08771.1.p1	SACKO_32654, SACKO_33857
OG0000001	OFUSG18749.1.p1	SACKO_21170
OG0000001	OFUSG21348.1.p1, OFUSG06637.1.p1, OFUSG07880.1.p1, OFUSG17580.1.p1, OFUSG11591.1.p1, OFUSG11593.1.p1, OFUSG06797.1.p1, OFUSG05636.1.p1, OFUSG14751.1.p1, OFUSG02932.1.p1, OFUSG01783.1.p1, OFUSG01765.1.p1, OFUSG01912.1.p1	SACKO_04733
OG0000001	OFUSG04205.1.p1	SACKO_30873
OG0000002	OFUSG00560.1.p1	SACKO_14603
OG0000002	OFUSG12055.1.p1	SACKO_11085, SACKO_21630, SACKO_21632
OG0000002	OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276
OG0000002	OFUSG09076.1.p1	SACKO_18684
OG0000002	OFUSG22946.2.p1	SACKO_13458
OG0000002	OFUSG18506.1.p1, OFUSG12538.1.p1, OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1	SACKO_00245, SACKO_00252
OG0000003	OFUSG16265.1.p1, OFUSG21683.1.p1	SACKO_30791
OG0000003	OFUSG26297.1.p1	SACKO_25210, SACKO_25215
OG0000003	OFUSG21073.1.p1	SACKO_32071
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	SACKO_14812
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900
OG0000006	OFUSG11531.1.p1	SACKO_15269
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	SACKO_11503
OG0000006	OFUSG02905.1.p1	SACKO_02616
OG0000006	OFUSG25514.1.p1	SACKO_13650
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	SACKO_23250
OG0000006	OFUSG10782.1.p1	SACKO_15817
OG0000006	OFUSG14810.1.p1	SACKO_33806
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	SACKO_32444
OG0000006	OFUSG08660.1.p1	SACKO_32440
OG0000006	OFUSG21061.1.p1	SACKO_12590
OG0000006	OFUSG18090.1.p1	SACKO_14761, SACKO_02017
OG0000006	OFUSG08659.1.p1	SACKO_32500
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	SACKO_06429
OG0000006	OFUSG11740.1.p1	SACKO_32477
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	SACKO_20803
OG0000006	OFUSG11470.1.p1	SACKO_32388
OG0000006	OFUSG05485.1.p1	SACKO_22000
OG0000007	OFUSG09476.1.p1	SACKO_16486
OG0000007	OFUSG21527.1.p1	SACKO_25751
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	SACKO_30170
OG0000007	OFUSG13716.1.p1	SACKO_17363
OG0000007	OFUSG05364.1.p1	SACKO_33128
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	SACKO_15684
OG0000007	OFUSG23111.1.p1	SACKO_15694
OG0000007	OFUSG04768.1.p1	SACKO_22717
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1	SACKO_15952
OG0000007	OFUSG19661.1.p1	SACKO_15953
OG0000007	OFUSG08948.1.p1	SACKO_04591
OG0000007	OFUSG10014.1.p1	SACKO_00920
OG0000007	OFUSG25429.1.p1	SACKO_27771
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	SACKO_27817
OG0000007	OFUSG10613.1.p1	SACKO_02233
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	SACKO_31073
OG0000007	OFUSG25241.1.p1	SACKO_11981
OG0000008	OFUSG25732.1.p1	SACKO_09217
OG0000008	OFUSG15533.1.p1	SACKO_29665, SACKO_28380, SACKO_28379, SACKO_25577, SACKO_25585, SACKO_31323, SACKO_31280, SACKO_17455, SACKO_31331, SACKO_25272, SACKO_01695, SACKO_32427, SACKO_28703
OG0000008	OFUSG20435.1.p1	SACKO_31986, SACKO_33937, SACKO_05540
OG0000008	OFUSG18646.1.p1	SACKO_10317
OG0000009	OFUSG23060.1.p1	SACKO_23301
OG0000009	OFUSG25126.1.p1	SACKO_10948
OG0000010	OFUSG05937.1.p1	SACKO_19747, SACKO_14158, SACKO_23674
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	SACKO_31740
OG0000010	OFUSG10776.1.p1	SACKO_15785
OG0000010	OFUSG10415.1.p1, OFUSG10415.2.p1	SACKO_19852, SACKO_19839, SACKO_20088
OG0000012	OFUSG23981.1.p1, OFUSG23977.1.p1, OFUSG23979.1.p1, OFUSG23978.1.p1	SACKO_29085, SACKO_29089
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	SACKO_01736
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	SACKO_05175
OG0000013	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1	SACKO_20134, SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137
