Orthogroup	PFLAV	HELIO_ok
OG0000000	TCONS_00026365.p1	HELIO_01999
OG0000000	TCONS_00027826.p1	HELIO_08880
OG0000000	TCONS_00026612.p1	HELIO_06752
OG0000000	TCONS_00026711.p1	HELIO_10666
OG0000000	TCONS_00026377.p1	HELIO_00795
OG0000000	TCONS_00017786.p1	HELIO_03148
OG0000000	TCONS_00020801.p1	HELIO_09005
OG0000000	TCONS_00026487.p1	HELIO_02157
OG0000000	TCONS_00010493.p1	HELIO_11687
OG0000000	TCONS_00043771.p1	HELIO_04988
OG0000000	TCONS_00032267.p1	HELIO_00700
OG0000000	TCONS_00019139.p1	HELIO_00534
OG0000000	TCONS_00027510.p1	HELIO_08573
OG0000000	TCONS_00031628.p1, TCONS_00031626.p1	HELIO_11400
OG0000000	TCONS_00031629.p1	HELIO_06829
OG0000000	TCONS_00009627.p1	HELIO_00816
OG0000000	TCONS_00009628.p1	HELIO_04090
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455
OG0000002	TCONS_00010137.p1	HELIO_06940
OG0000002	TCONS_00028990.p1, TCONS_00028992.p1	HELIO_03388, HELIO_11987
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	HELIO_05342, HELIO_01248
OG0000002	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1	HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	HELIO_06844
OG0000002	TCONS_00048938.p1	HELIO_12021, HELIO_07207
OG0000003	TCONS_00012459.p1	HELIO_02559
OG0000003	TCONS_00043525.p1	HELIO_07172
OG0000003	TCONS_00018253.p1	HELIO_08472, HELIO_00669
OG0000003	TCONS_00057090.p1	HELIO_10386
OG0000003	TCONS_00005704.p1	HELIO_04687
OG0000003	TCONS_00028112.p1	HELIO_00130
OG0000003	TCONS_00013648.p1, TCONS_00013356.p1	HELIO_01179
OG0000004	TCONS_00046040.p1	HELIO_00029
OG0000004	TCONS_00030290.p1	HELIO_07102
OG0000004	TCONS_00015076.p1	HELIO_05964, HELIO_06973
OG0000004	TCONS_00028773.p1	HELIO_08003
OG0000004	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1	HELIO_11715
OG0000004	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1	HELIO_10453
OG0000005	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1	HELIO_04530, HELIO_05062, HELIO_02098
OG0000005	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	HELIO_00211
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	HELIO_00413
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	HELIO_09248
OG0000006	TCONS_00021581.p1	HELIO_04245
OG0000006	TCONS_00023551.p1	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	TCONS_00003496.p1	HELIO_06349
OG0000006	TCONS_00012810.p1	HELIO_00150
OG0000006	TCONS_00027932.p1	HELIO_12770
OG0000006	TCONS_00027931.p1	HELIO_10345
OG0000006	TCONS_00028953.p1	HELIO_08890
OG0000006	TCONS_00030792.p1	HELIO_11381, HELIO_00450
OG0000006	TCONS_00011489.p1	HELIO_08227
OG0000006	TCONS_00011491.p1	HELIO_06418
OG0000006	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1	HELIO_00028
OG0000007	TCONS_00008966.p1	HELIO_01296
OG0000007	TCONS_00029574.p1	HELIO_10106
OG0000007	TCONS_00009611.p1	HELIO_00643
OG0000007	TCONS_00029143.p1	HELIO_06396
OG0000007	TCONS_00052518.p1	HELIO_00352
OG0000007	TCONS_00026068.p1	HELIO_11362
OG0000007	TCONS_00008967.p1	HELIO_04873
OG0000007	TCONS_00024115.p1	HELIO_06738
OG0000007	TCONS_00055417.p1	HELIO_03703
OG0000007	TCONS_00011336.p1	HELIO_07978
OG0000007	TCONS_00014249.p1	HELIO_03118
OG0000007	TCONS_00012754.p1	HELIO_07991
OG0000007	TCONS_00025375.p1	HELIO_01456
OG0000007	TCONS_00051989.p1	HELIO_04275
OG0000007	TCONS_00009689.p1	HELIO_11721
OG0000008	TCONS_00016587.p1, TCONS_00005048.p1	HELIO_09201
OG0000008	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1	HELIO_07041
OG0000008	TCONS_00015623.p1	HELIO_01945, HELIO_05140, HELIO_07090
OG0000009	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1	HELIO_03078
OG0000009	TCONS_00028883.p1, TCONS_00029472.p1	HELIO_04671
OG0000009	TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1	HELIO_06781
OG0000009	TCONS_00003938.p1	HELIO_07076
OG0000009	TCONS_00001483.p1	HELIO_12655
OG0000009	TCONS_00041833.p1, TCONS_00028866.p1, TCONS_00017705.p1	HELIO_11928
OG0000009	TCONS_00003937.p1, TCONS_00040217.p1, TCONS_00006910.p1, TCONS_00028935.p1, TCONS_00024506.p1, TCONS_00037020.p1	HELIO_07717, HELIO_06614
OG0000009	TCONS_00017823.p1, TCONS_00056063.p1	HELIO_07493
OG0000009	TCONS_00028635.p1	HELIO_07413
OG0000009	TCONS_00037803.p1, TCONS_00017368.p1, TCONS_00033541.p1	HELIO_05505, HELIO_04932
OG0000009	TCONS_00019627.p1	HELIO_06297
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	HELIO_07073
OG0000011	TCONS_00044809.p1, TCONS_00015385.p1	HELIO_07225
OG0000011	TCONS_00034059.p1	HELIO_04043, HELIO_04510, HELIO_11100, HELIO_03543
OG0000011	TCONS_00008526.p1	HELIO_08950
OG0000011	TCONS_00022026.p1, TCONS_00038549.p1	HELIO_05491
OG0000011	TCONS_00009419.p1, TCONS_00014539.p1	HELIO_04800
OG0000011	TCONS_00031358.p1	HELIO_01844, HELIO_04250, HELIO_06749, HELIO_07221
OG0000011	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1	HELIO_01241
OG0000011	TCONS_00025195.p1, TCONS_00051327.p1	HELIO_05340
OG0000011	TCONS_00035599.p1	HELIO_04969
OG0000011	TCONS_00050721.p1	HELIO_03053
OG0000011	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1	HELIO_07608
OG0000011	TCONS_00020984.p3, TCONS_00034049.p1	HELIO_07482
OG0000011	TCONS_00041434.p1, TCONS_00057000.p1	HELIO_09607
OG0000011	TCONS_00031655.p1, TCONS_00002470.p1	HELIO_07282
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	HELIO_04072, HELIO_05750
OG0000012	TCONS_00040143.p1, TCONS_00041124.p1, TCONS_00040147.p2, TCONS_00035663.p1	HELIO_00143
OG0000012	TCONS_00002832.p1	HELIO_04633, HELIO_04925, HELIO_00422, HELIO_06460
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	HELIO_06831
OG0000013	TCONS_00017254.p1	HELIO_05617, HELIO_06871, HELIO_00215, HELIO_05802, HELIO_03214, HELIO_09936, HELIO_00850, HELIO_04016, HELIO_04491, HELIO_12769, HELIO_05315, HELIO_05049, HELIO_10683, HELIO_05716, HELIO_11357, HELIO_00073, HELIO_05056, HELIO_05998
OG0000014	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1	HELIO_03075
OG0000014	TCONS_00000124.p1	HELIO_08197, HELIO_07557, HELIO_08798
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	HELIO_12068
OG0000014	TCONS_00018576.p1, TCONS_00018574.p1, TCONS_00018581.p1, TCONS_00000312.p1, TCONS_00001858.p1, TCONS_00017715.p1, TCONS_00017563.p1, TCONS_00017559.p1, TCONS_00017555.p1, TCONS_00017562.p1, TCONS_00017557.p1, TCONS_00018572.p1, TCONS_00017567.p1, TCONS_00017565.p1, TCONS_00017560.p1, TCONS_00017553.p1, TCONS_00017554.p1, TCONS_00018563.p1, TCONS_00017039.p1, TCONS_00017041.p1, TCONS_00017038.p1, TCONS_00016927.p1, TCONS_00053337.p1, TCONS_00054007.p1, TCONS_00017566.p1, TCONS_00017552.p1, TCONS_00017551.p1	HELIO_07123
OG0000015	TCONS_00029137.p1, TCONS_00028127.p1	HELIO_10603
OG0000015	TCONS_00043495.p1	HELIO_09049
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1	HELIO_10798
OG0000016	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1	HELIO_05159, HELIO_08806
OG0000016	TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	HELIO_03950, HELIO_10054
OG0000016	TCONS_00022184.p1	HELIO_03738
OG0000016	TCONS_00003602.p1	HELIO_04647
OG0000016	TCONS_00020809.p1	HELIO_07791
OG0000016	TCONS_00049735.p1	HELIO_11041
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000017	TCONS_00056547.p1, TCONS_00003153.p1, TCONS_00035681.p1	HELIO_09340
OG0000017	TCONS_00050389.p1, TCONS_00031952.p1, TCONS_00031929.p1	HELIO_04056
OG0000017	TCONS_00003294.p1, TCONS_00017646.p1, TCONS_00035188.p1	HELIO_04627
OG0000017	TCONS_00053694.p1	HELIO_08140, HELIO_07705
OG0000017	TCONS_00054246.p1	HELIO_06928
OG0000017	TCONS_00049861.p1	HELIO_05297
OG0000017	TCONS_00044273.p1, TCONS_00027912.p1, TCONS_00036791.p1	HELIO_03953
OG0000018	TCONS_00053509.p1	HELIO_01806
OG0000018	TCONS_00018552.p2	HELIO_11953, HELIO_04805, HELIO_09132, HELIO_05854, HELIO_05254, HELIO_06191, HELIO_05532
OG0000018	TCONS_00046113.p1	HELIO_03926
OG0000018	TCONS_00010244.p1, TCONS_00003946.p1, TCONS_00041463.p1, TCONS_00001385.p1, TCONS_00054557.p1, TCONS_00017020.p1, TCONS_00054901.p1, TCONS_00008322.p1, TCONS_00015725.p1, TCONS_00040210.p1, TCONS_00044497.p1, TCONS_00007384.p1, TCONS_00025883.p1	HELIO_07392, HELIO_03838, HELIO_04112
OG0000018	TCONS_00031056.p1, TCONS_00001449.p1, TCONS_00001450.p1, TCONS_00037298.p1, TCONS_00024927.p2, TCONS_00009066.p2, TCONS_00023275.p1	HELIO_05318
OG0000018	TCONS_00052465.p2	HELIO_06652
OG0000018	TCONS_00032947.p1, TCONS_00032969.p1, TCONS_00000391.p1, TCONS_00048935.p1, TCONS_00033860.p1	HELIO_04613
OG0000018	TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1	HELIO_07465
OG0000018	TCONS_00025800.p1, TCONS_00020519.p1, TCONS_00031825.p1	HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946
OG0000018	TCONS_00022055.p1	HELIO_07028
OG0000018	TCONS_00056724.p1, TCONS_00044128.p1, TCONS_00015747.p1, TCONS_00041407.p1, TCONS_00035049.p1, TCONS_00031144.p1	HELIO_04549, HELIO_03495, HELIO_05613
OG0000018	TCONS_00016618.p3, TCONS_00049850.p1	HELIO_05389
OG0000019	TCONS_00028088.p1	HELIO_04729
OG0000019	TCONS_00014266.p1, TCONS_00027859.p1	HELIO_05273
OG0000019	TCONS_00048059.p1	HELIO_05932
OG0000019	TCONS_00007955.p1	HELIO_11234
OG0000019	TCONS_00009589.p1, TCONS_00043166.p1, TCONS_00043167.p1, TCONS_00050243.p1, TCONS_00050238.p1, TCONS_00050241.p1, TCONS_00050235.p1, TCONS_00050242.p1, TCONS_00050237.p1, TCONS_00050240.p1, TCONS_00050234.p1, TCONS_00050233.p1, TCONS_00050246.p1, TCONS_00050249.p1, TCONS_00043170.p1, TCONS_00043821.p1	HELIO_00711, HELIO_04793, HELIO_04680
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	HELIO_01087
OG0000020	TCONS_00018790.p1	HELIO_03282
OG0000020	TCONS_00054537.p1	HELIO_03892
OG0000020	TCONS_00047850.p1	HELIO_08119
OG0000020	TCONS_00009371.p1	HELIO_03039
OG0000020	TCONS_00020242.p1	HELIO_08325
OG0000020	TCONS_00045845.p1	HELIO_10764
OG0000020	TCONS_00028429.p1	HELIO_10811
OG0000020	TCONS_00016378.p1	HELIO_12285
OG0000020	TCONS_00051401.p1	HELIO_10575
OG0000020	TCONS_00031077.p1	HELIO_05888
OG0000020	TCONS_00056690.p1	HELIO_07729
OG0000020	TCONS_00042754.p1	HELIO_08365
OG0000020	TCONS_00019367.p1	HELIO_01918
OG0000020	TCONS_00041844.p1	HELIO_11794
OG0000021	TCONS_00047235.p1, TCONS_00047455.p1	HELIO_00817, HELIO_05146
OG0000021	TCONS_00025493.p1	HELIO_05564
OG0000021	TCONS_00048454.p1	HELIO_02163
OG0000021	TCONS_00005425.p1	HELIO_07436
OG0000021	TCONS_00005068.p1, TCONS_00005066.p1	HELIO_09128
OG0000021	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1	HELIO_01018
OG0000021	TCONS_00016243.p1	HELIO_08809, HELIO_00647, HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1	HELIO_02648
OG0000021	TCONS_00044068.p1	HELIO_08020, HELIO_10557
OG0000022	TCONS_00034326.p1, TCONS_00034361.p1	HELIO_07323
OG0000023	TCONS_00026137.p1	HELIO_07781
OG0000023	TCONS_00004930.p1	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	TCONS_00029827.p1	HELIO_07887, HELIO_10788, HELIO_06647
OG0000023	TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1	HELIO_00907
OG0000024	TCONS_00027765.p1	HELIO_06046, HELIO_05379, HELIO_07449
OG0000024	TCONS_00038533.p1	HELIO_07047
OG0000024	TCONS_00021650.p1	HELIO_00822
OG0000024	TCONS_00009471.p1, TCONS_00032712.p1, TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1, TCONS_00030268.p1, TCONS_00004208.p1	HELIO_03946
OG0000024	TCONS_00053773.p1, TCONS_00015293.p1	HELIO_10427
OG0000024	TCONS_00044135.p1	HELIO_10803
OG0000024	TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1	HELIO_07601
OG0000024	TCONS_00009651.p1, TCONS_00024337.p1	HELIO_04022
OG0000025	TCONS_00051612.p1	HELIO_08114
OG0000025	TCONS_00049388.p1	HELIO_07462
OG0000025	TCONS_00029873.p1, TCONS_00041153.p1	HELIO_06624
OG0000025	TCONS_00055238.p1, TCONS_00029214.p1, TCONS_00044396.p1, TCONS_00037441.p1, TCONS_00053206.p1, TCONS_00033951.p1	HELIO_04952
OG0000025	TCONS_00016476.p1, TCONS_00004608.p1	HELIO_01616
OG0000025	TCONS_00027603.p1, TCONS_00027215.p2	HELIO_04661
OG0000025	TCONS_00031481.p1, TCONS_00007104.p1, TCONS_00029375.p1, TCONS_00056090.p1, TCONS_00009489.p1, TCONS_00032646.p1, TCONS_00026371.p1	HELIO_11891, HELIO_06548, HELIO_05151, HELIO_05386, HELIO_05130, HELIO_05684, HELIO_07410, HELIO_06241, HELIO_08914, HELIO_07084, HELIO_05071, HELIO_06217, HELIO_04102, HELIO_05474, HELIO_04209, HELIO_04160, HELIO_03948, HELIO_05479, HELIO_06857
OG0000025	TCONS_00031198.p1, TCONS_00018673.p1, TCONS_00024081.p1, TCONS_00016477.p1, TCONS_00034579.p1, TCONS_00034352.p1, TCONS_00038052.p1	HELIO_05333
OG0000025	TCONS_00038243.p1, TCONS_00032040.p1, TCONS_00009183.p1	HELIO_02268
OG0000025	TCONS_00031703.p1, TCONS_00012858.p1, TCONS_00007266.p1, TCONS_00049623.p1, TCONS_00019473.p1, TCONS_00044920.p1, TCONS_00044570.p1, TCONS_00032176.p1, TCONS_00032902.p1, TCONS_00033001.p1, TCONS_00030113.p1, TCONS_00010596.p1, TCONS_00056440.p1, TCONS_00028828.p1, TCONS_00052217.p2, TCONS_00048535.p1, TCONS_00032079.p1	HELIO_05701
OG0000026	TCONS_00006376.p1, TCONS_00020194.p1	HELIO_00695, HELIO_00694
OG0000026	TCONS_00043670.p1	HELIO_09541
OG0000027	TCONS_00036982.p1, TCONS_00038160.p1, TCONS_00043390.p1, TCONS_00043383.p1, TCONS_00043158.p1, TCONS_00041772.p1, TCONS_00011611.p1, TCONS_00012601.p1, TCONS_00013252.p1, TCONS_00029640.p1	HELIO_02455, HELIO_02456, HELIO_04291, HELIO_07880, HELIO_08186, HELIO_04887
OG0000028	TCONS_00008790.p1	HELIO_10800
OG0000028	TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1	HELIO_06962
OG0000028	TCONS_00006156.p1, TCONS_00006138.p1	HELIO_00147
OG0000028	TCONS_00006185.p1, TCONS_00006184.p1	HELIO_06013
OG0000028	TCONS_00038444.p1, TCONS_00038402.p1	HELIO_00961
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	HELIO_06306
OG0000028	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1	HELIO_06269
OG0000028	TCONS_00028862.p1	HELIO_12146
OG0000029	TCONS_00053078.p1	HELIO_05447
OG0000029	TCONS_00019159.p1	HELIO_05915, HELIO_11308
OG0000029	TCONS_00020525.p1	HELIO_11942
OG0000029	TCONS_00019133.p1, TCONS_00019127.p1, TCONS_00019135.p1, TCONS_00019138.p1, TCONS_00019136.p1, TCONS_00019137.p1, TCONS_00019126.p1, TCONS_00050506.p1, TCONS_00051607.p1	HELIO_00268, HELIO_06866, HELIO_02296, HELIO_09944, HELIO_05648, HELIO_01633, HELIO_06816
OG0000030	TCONS_00020726.p1, TCONS_00020728.p1, TCONS_00020088.p1	HELIO_11997
OG0000030	TCONS_00019673.p1	HELIO_04525, HELIO_09505
OG0000030	TCONS_00054176.p1, TCONS_00054136.p1	HELIO_06719
OG0000030	TCONS_00027726.p1	HELIO_06628
OG0000031	TCONS_00047108.p1, TCONS_00005437.p1	HELIO_00637
OG0000031	TCONS_00003900.p1	HELIO_11237
OG0000031	TCONS_00002937.p1	HELIO_10166
OG0000031	TCONS_00028162.p1	HELIO_00951
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	HELIO_11573
OG0000031	TCONS_00041599.p1	HELIO_00638
OG0000031	TCONS_00054588.p1	HELIO_00007
OG0000031	TCONS_00042947.p1	HELIO_08452
OG0000031	TCONS_00003964.p1	HELIO_02162
OG0000032	TCONS_00016893.p1	HELIO_03061, HELIO_11764
OG0000032	TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1	HELIO_06747
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000033	TCONS_00053510.p1	HELIO_03854
