Orthogroup	AENJA_ok	HELIO_ok
OG0000000	AENJA_00110	HELIO_01999
OG0000000	AENJA_26081	HELIO_08880
OG0000000	AENJA_09148	HELIO_10837
OG0000000	AENJA_23544	HELIO_06752
OG0000000	AENJA_09172	HELIO_10666
OG0000000	AENJA_06471	HELIO_00795
OG0000000	AENJA_05531	HELIO_09005
OG0000000	AENJA_07481	HELIO_02157
OG0000000	AENJA_25905	HELIO_11687
OG0000000	AENJA_12751	HELIO_04988
OG0000000	AENJA_05798	HELIO_00700
OG0000000	AENJA_22692	HELIO_00534
OG0000000	AENJA_19519	HELIO_11400
OG0000000	AENJA_10529	HELIO_04994
OG0000000	AENJA_01755	HELIO_06829
OG0000000	AENJA_18954	HELIO_00816
OG0000000	AENJA_18955	HELIO_04090
OG0000001	AENJA_09293	HELIO_00018, HELIO_00128
OG0000001	AENJA_01446	HELIO_06891, HELIO_10957
OG0000001	AENJA_05207, AENJA_05206	HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455
OG0000002	AENJA_03072	HELIO_06940
OG0000002	AENJA_19547	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	HELIO_05342, HELIO_01248
OG0000002	AENJA_05471, AENJA_03252	HELIO_12021, HELIO_07207
OG0000003	AENJA_21348	HELIO_03324
OG0000003	AENJA_13805	HELIO_02559
OG0000003	AENJA_21345	HELIO_06998, HELIO_07220
OG0000003	AENJA_03277, AENJA_12218	HELIO_06283
OG0000003	AENJA_18598	HELIO_04717
OG0000003	AENJA_02043	HELIO_09894, HELIO_06251, HELIO_00920, HELIO_07587
OG0000003	AENJA_05435	HELIO_02003
OG0000003	AENJA_21667	HELIO_01179
OG0000004	AENJA_26802, AENJA_26808	HELIO_00029
OG0000004	AENJA_15703	HELIO_07102
OG0000004	AENJA_03929	HELIO_06422
OG0000004	AENJA_25009	HELIO_08003
OG0000004	AENJA_04481	HELIO_04180, HELIO_04162, HELIO_05704, HELIO_06644, HELIO_05598, HELIO_04311, HELIO_05602
OG0000004	AENJA_23393, AENJA_18495	HELIO_12155
OG0000004	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459	HELIO_00370
OG0000005	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129	HELIO_04530, HELIO_05062, HELIO_02098
OG0000005	AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345	HELIO_09686
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	HELIO_04655
OG0000006	AENJA_22158	HELIO_09248
OG0000006	AENJA_07226	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	AENJA_22522	HELIO_06349
OG0000006	AENJA_09814	HELIO_00150
OG0000006	AENJA_00662	HELIO_12770
OG0000006	AENJA_18450	HELIO_11381, HELIO_00450
OG0000006	AENJA_01590	HELIO_08227
OG0000006	AENJA_09210	HELIO_06418
OG0000007	AENJA_18325	HELIO_01296
OG0000007	AENJA_18163	HELIO_10106
OG0000007	AENJA_00810	HELIO_00643
OG0000007	AENJA_25020	HELIO_00352
OG0000007	AENJA_23908	HELIO_11362
OG0000007	AENJA_18326	HELIO_11129
OG0000007	AENJA_18328	HELIO_04873
OG0000007	AENJA_11851	HELIO_06738
OG0000007	AENJA_09687	HELIO_03703
OG0000007	AENJA_07358	HELIO_07978
OG0000007	AENJA_11277	HELIO_03118
OG0000007	AENJA_22886	HELIO_07991
OG0000007	AENJA_20902	HELIO_01456
OG0000007	AENJA_16981	HELIO_04275
OG0000007	AENJA_26507	HELIO_11721
OG0000008	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105	HELIO_10953, HELIO_01917
OG0000008	AENJA_21542	HELIO_07041
OG0000008	AENJA_21421, AENJA_04271	HELIO_07090
OG0000009	AENJA_13658, AENJA_07747	HELIO_05064
OG0000009	AENJA_09256, AENJA_15566	HELIO_03078
OG0000009	AENJA_12645	HELIO_04671
OG0000009	AENJA_26356, AENJA_04329	HELIO_06781
OG0000009	AENJA_26815, AENJA_17953	HELIO_07702, HELIO_07076, HELIO_12655
OG0000009	AENJA_24005, AENJA_00782	HELIO_11928
