Orthogroup	APOSC_ok	YEAST
OG0000000	APOSC_17015, APOSC_11837, APOSC_12606, APOSC_11472, APOSC_29094, APOSC_19214, APOSC_25410, APOSC_11604, APOSC_28354, APOSC_19137, APOSC_01732, APOSC_11544, APOSC_13522, APOSC_06717, APOSC_04208, APOSC_07565, APOSC_11499, APOSC_22022, APOSC_04964, APOSC_22917, APOSC_16565, APOSC_27318, APOSC_06302, APOSC_14732, APOSC_24894, APOSC_24788	YEAST00701
OG0000007	APOSC_15698	YEAST00671
OG0000007	APOSC_22651	YEAST01568, YEAST05134
OG0000011	APOSC_02459, APOSC_14101, APOSC_22534, APOSC_11940, APOSC_17763, APOSC_18129, APOSC_13105, APOSC_01020, APOSC_26009, APOSC_20690, APOSC_20691, APOSC_16872, APOSC_22419, APOSC_02153, APOSC_18658, APOSC_11283, APOSC_05379, APOSC_05259, APOSC_08942, APOSC_02299, APOSC_21470, APOSC_16967, APOSC_20770, APOSC_16965, APOSC_24460, APOSC_15475, APOSC_18996, APOSC_08063, APOSC_04956, APOSC_05740, APOSC_11629, APOSC_21532, APOSC_04285, APOSC_10021, APOSC_20345, APOSC_24075, APOSC_21593, APOSC_00583, APOSC_00879, APOSC_28649, APOSC_24862, APOSC_25130, APOSC_25933, APOSC_01416, APOSC_25932, APOSC_00037, APOSC_04547, APOSC_10178, APOSC_13118, APOSC_19810, APOSC_13795, APOSC_12778, APOSC_01800, APOSC_24912, APOSC_04733, APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345, APOSC_11207, APOSC_13969, APOSC_10113, APOSC_25340, APOSC_02325, APOSC_08981, APOSC_17566, APOSC_17899, APOSC_24383, APOSC_27819, APOSC_02640, APOSC_01478, APOSC_01406, APOSC_24720, APOSC_20093, APOSC_13401, APOSC_22195	YEAST02600, YEAST01619
OG0000013	APOSC_22031, APOSC_08183, APOSC_13994, APOSC_09045, APOSC_26026, APOSC_00689, APOSC_26024, APOSC_17612, APOSC_16736, APOSC_08254, APOSC_05351, APOSC_14121, APOSC_11339, APOSC_25496, APOSC_21152, APOSC_27245, APOSC_17089	YEAST04082
OG0000014	APOSC_12674, APOSC_23467, APOSC_12182, APOSC_12181, APOSC_04687, APOSC_28041, APOSC_18468, APOSC_13472, APOSC_19789, APOSC_00187	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	YEAST03839, YEAST02807, YEAST03817
OG0000016	APOSC_09217, APOSC_09216	YEAST03870, YEAST01103
OG0000031	APOSC_16590	YEAST05574
OG0000031	APOSC_14603, APOSC_14687, APOSC_14535, APOSC_00328, APOSC_22115, APOSC_01319, APOSC_17680, APOSC_02579, APOSC_22997, APOSC_06756, APOSC_06755	YEAST02238
OG0000034	APOSC_28767, APOSC_28766, APOSC_01056, APOSC_00389, APOSC_10138, APOSC_10830, APOSC_23397, APOSC_00072, APOSC_15909, APOSC_25715	YEAST04436, YEAST05550, YEAST05115
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667, APOSC_05772, APOSC_15090, APOSC_26588, APOSC_00378, APOSC_07168, APOSC_20421, APOSC_22182, APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485, APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	YEAST02545, YEAST02806
OG0000037	APOSC_17096, APOSC_16399, APOSC_03749, APOSC_00065, APOSC_01516, APOSC_24133, APOSC_09300, APOSC_28740, APOSC_09580, APOSC_09579, APOSC_14337, APOSC_20507, APOSC_00307	YEAST03227
OG0000038	APOSC_27834, APOSC_23718, APOSC_06537, APOSC_16047, APOSC_06107, APOSC_14280, APOSC_05817, APOSC_20988, APOSC_17092, APOSC_26556, APOSC_03113, APOSC_10282, APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556, APOSC_03890, APOSC_04299, APOSC_17727, APOSC_26790, APOSC_06670, APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945, APOSC_22530, APOSC_05746, APOSC_25222, APOSC_10656, APOSC_08888	YEAST04422, YEAST04379
OG0000043	APOSC_10405, APOSC_20159, APOSC_07558, APOSC_12898	YEAST00224, YEAST01200
OG0000048	APOSC_08378, APOSC_06436, APOSC_03154, APOSC_05588, APOSC_11695, APOSC_04736, APOSC_11238, APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656, APOSC_11343, APOSC_03220	YEAST05707
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151, APOSC_12589	YEAST01385
OG0000055	APOSC_17351, APOSC_22457	YEAST01199, YEAST00225
OG0000058	APOSC_09888	YEAST02989
OG0000058	APOSC_06035, APOSC_20919, APOSC_12335, APOSC_12752, APOSC_07162, APOSC_24215, APOSC_12336, APOSC_22832, APOSC_21555, APOSC_22361, APOSC_16962, APOSC_27470, APOSC_25169, APOSC_25682	YEAST02120
OG0000069	APOSC_25357, APOSC_25356	YEAST03661
OG0000069	APOSC_27459, APOSC_09914, APOSC_04180, APOSC_28736	YEAST05172
OG0000079	APOSC_15669, APOSC_14016, APOSC_18637, APOSC_09201, APOSC_14696, APOSC_10552, APOSC_10551, APOSC_06744, APOSC_18934, APOSC_10580	YEAST05330
OG0000082	APOSC_14161	YEAST03287
OG0000082	APOSC_20096	YEAST04267, YEAST01834, YEAST03359
OG0000082	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149, APOSC_04906, APOSC_05380, APOSC_05381	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	APOSC_00026, APOSC_17996, APOSC_15864, APOSC_18149, APOSC_09850	YEAST04992, YEAST00735
OG0000095	APOSC_15000, APOSC_11760, APOSC_06417, APOSC_17239, APOSC_19404, APOSC_13013, APOSC_05229, APOSC_05033, APOSC_14575, APOSC_16159, APOSC_18748, APOSC_18747	YEAST02993
OG0000096	APOSC_05085, APOSC_03162, APOSC_04023	YEAST02643
OG0000096	APOSC_25015	YEAST00638
OG0000096	APOSC_00869, APOSC_16859, APOSC_21738, APOSC_21519	YEAST05104, YEAST05564
OG0000103	APOSC_08194, APOSC_19265	YEAST02873
OG0000107	APOSC_21347	YEAST05173
OG0000113	APOSC_22087, APOSC_26451, APOSC_05289, APOSC_24456, APOSC_21846, APOSC_16966, APOSC_27198, APOSC_04616, APOSC_09550, APOSC_06453, APOSC_14352	YEAST00378, YEAST01351, YEAST05581
OG0000116	APOSC_28097, APOSC_09224, APOSC_00704, APOSC_01102, APOSC_11205, APOSC_11206, APOSC_14684, APOSC_14683, APOSC_14682, APOSC_14685, APOSC_09018, APOSC_06098, APOSC_07593, APOSC_26578, APOSC_06625, APOSC_18287, APOSC_18993, APOSC_12379, APOSC_28096, APOSC_06978, APOSC_11861, APOSC_02575	YEAST04456
OG0000122	APOSC_15847, APOSC_25177, APOSC_11178, APOSC_05959	YEAST04928
OG0000124	APOSC_29022	YEAST05021
OG0000124	APOSC_08819	YEAST01581, YEAST05113, YEAST03767
OG0000124	APOSC_03695	YEAST04122
OG0000127	APOSC_24103, APOSC_09690, APOSC_02788, APOSC_16052, APOSC_16050, APOSC_16051, APOSC_04103, APOSC_16975	YEAST06208
OG0000132	APOSC_20151, APOSC_15845, APOSC_15846, APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689, APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776	YEAST06016
OG0000137	APOSC_04370, APOSC_14845, APOSC_20394, APOSC_26237, APOSC_01998, APOSC_01981, APOSC_01895, APOSC_21797	YEAST01851, YEAST00637
OG0000142	APOSC_24389, APOSC_05931, APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102, APOSC_15551	YEAST02122
OG0000157	APOSC_27261	YEAST02851
OG0000158	APOSC_22004, APOSC_17391, APOSC_02468	YEAST05568
OG0000160	APOSC_01085, APOSC_17800	YEAST04194
