Orthogroup	BRAFL	SCHMD
OG0000000	bflo_10712, bflo_10733	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	bflo_04183, bflo_26461, bflo_26462	SCHMD09645
OG0000000	bflo_09701	SCHMD20523, SCHMD24588
OG0000000	bflo_10072	SCHMD03805
OG0000000	bflo_10147	SCHMD20256, SCHMD22099
OG0000000	bflo_10759, bflo_10751, bflo_23278	SCHMD07815
OG0000000	bflo_16599	SCHMD09133, SCHMD27825
OG0000000	bflo_16111	SCHMD03766
OG0000000	bflo_08732	SCHMD27182, SCHMD16896
OG0000000	bflo_26435	SCHMD28523
OG0000000	bflo_00191	SCHMD18969
OG0000000	bflo_00189, bflo_00196	SCHMD08046
OG0000000	bflo_00195	SCHMD22390, SCHMD21735
OG0000000	bflo_00617, bflo_23916	SCHMD21303
OG0000000	bflo_10639	SCHMD01868, SCHMD02255
OG0000000	bflo_14857	SCHMD11888, SCHMD08259
OG0000000	bflo_26417, bflo_00526	SCHMD24693
OG0000000	bflo_10437	SCHMD05281, SCHMD04291
OG0000000	bflo_10148, bflo_18457	SCHMD13268
OG0000001	bflo_27403	SCHMD23406, SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603
OG0000001	bflo_23582, bflo_21621	SCHMD16091
OG0000003	bflo_24207, bflo_19873, bflo_26986, bflo_08714	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000003	bflo_26930, bflo_19434, bflo_27269, bflo_15766, bflo_22230, bflo_24151, bflo_26929, bflo_27439	SCHMD00325
OG0000003	bflo_26599, bflo_26600, bflo_26598	SCHMD11370
OG0000003	bflo_26004	SCHMD14033
OG0000005	bflo_13407	SCHMD06848
OG0000005	bflo_07266	SCHMD06849
OG0000005	bflo_10917	SCHMD15919
OG0000006	bflo_03612	SCHMD08632
OG0000006	bflo_14856, bflo_15258	SCHMD00178
OG0000006	bflo_22120	SCHMD18704
