Orthogroup	ASTMX	DROME
OG0000000	ASTMX02793	DROME16218, DROME16219
OG0000000	ASTMX17483, ASTMX11444	DROME04813
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	DROME14805, DROME14806
OG0000000	ASTMX13971, ASTMX13970	DROME15463, DROME15462
OG0000000	ASTMX12494, ASTMX05790, ASTMX17479	DROME11250
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	DROME21328, DROME21327
OG0000000	ASTMX10847	DROME03422
OG0000000	ASTMX20299	DROME16097
OG0000000	ASTMX10234	DROME01107
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	DROME13389, DROME13388
OG0000000	ASTMX16946, ASTMX11106	DROME11314
OG0000000	ASTMX06178	DROME13415
OG0000000	ASTMX16049	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162	DROME13413
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	DROME13414
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	DROME10025
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	DROME16399
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	DROME17718
OG0000000	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159	DROME15341, DROME15342, DROME15343
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	DROME03546, DROME03545
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	DROME04989
OG0000000	ASTMX17267, ASTMX11612, ASTMX02802	DROME16202
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975, ASTMX09511, ASTMX08520	DROME12831, DROME12829, DROME12828, DROME12830
OG0000005	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000005	ASTMX10242	DROME15227
OG0000006	ASTMX16363, ASTMX04345	DROME08113
OG0000006	ASTMX11700, ASTMX00138	DROME01994, DROME01995, DROME01996
OG0000006	ASTMX03791, ASTMX03123	DROME07928
OG0000006	ASTMX12191, ASTMX07931	DROME00104
OG0000006	ASTMX03256, ASTMX09680	DROME19258, DROME19257, DROME19259
OG0000006	ASTMX14682, ASTMX19702	DROME21396
OG0000006	ASTMX21126, ASTMX03352	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	ASTMX06644	DROME19786, DROME00664
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	DROME18045, DROME18046, DROME18044
OG0000006	ASTMX14827	DROME00147, DROME00148
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	DROME19780, DROME19779, DROME19781
OG0000006	ASTMX10604	DROME21674, DROME21675, DROME21673
OG0000007	ASTMX14980	DROME12545
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	DROME16994, DROME16993
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	DROME17568, DROME17567
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582, ASTMX21073, ASTMX16179, ASTMX07688	DROME09292
OG0000007	ASTMX18062, ASTMX21262	DROME14142
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	DROME19603, DROME19602
OG0000007	ASTMX04966, ASTMX11650	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	DROME21792, DROME00712, DROME00713
OG0000008	ASTMX13129	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	ASTMX09448, ASTMX03057, ASTMX08319	DROME15136
OG0000010	ASTMX18619	DROME12016
OG0000010	ASTMX05524, ASTMX05737, ASTMX05736, ASTMX06728, ASTMX17688, ASTMX18214, ASTMX16219, ASTMX16220, ASTMX05525, ASTMX21918	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000012	ASTMX22063, ASTMX16492	DROME14687, DROME14686
OG0000014	ASTMX02678, ASTMX08608, ASTMX07233, ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557, ASTMX03213, ASTMX07656, ASTMX01801	DROME05409, DROME03987
OG0000014	ASTMX12908, ASTMX11632	DROME14595, DROME14594
OG0000015	ASTMX09926, ASTMX15220, ASTMX09927, ASTMX01377, ASTMX13993, ASTMX07947	DROME20983
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	DROME11913, DROME20981, DROME20982
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675, ASTMX17393	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	ASTMX00540	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	ASTMX02874	DROME01609
OG0000019	ASTMX14084, ASTMX03976, ASTMX18923	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	ASTMX04834	DROME22108
OG0000020	ASTMX12285, ASTMX15062	DROME02490
OG0000020	ASTMX17320	DROME11466, DROME11467
OG0000020	ASTMX04750, ASTMX21042	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	ASTMX05243	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	ASTMX04710, ASTMX22736	DROME03151, DROME03150
OG0000020	ASTMX13875	DROME14454, DROME14455
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	DROME18320, DROME18321
OG0000021	ASTMX02310, ASTMX16342	DROME08269
OG0000021	ASTMX09645	DROME00802, DROME00801
OG0000021	ASTMX21461, ASTMX05545	DROME08091
OG0000021	ASTMX09336	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	DROME04919, DROME04917, DROME04918
OG0000028	ASTMX18482, ASTMX18778	DROME09421
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	ASTMX06934	DROME12966
