Orthogroup	XENTR	ASTMX
OG0000000	XENTR09224, XENTR09222	ASTMX22979
OG0000000	XENTR01079, XENTR01080	ASTMX11444
OG0000000	XENTR18066	ASTMX02535
OG0000000	XENTR08976	ASTMX04736
OG0000000	XENTR18621	ASTMX03273
OG0000000	XENTR13401	ASTMX10474, ASTMX18080
OG0000000	XENTR10509	ASTMX13971
OG0000000	XENTR10508	ASTMX13970
OG0000000	XENTR02223	ASTMX12494
OG0000000	XENTR10492	ASTMX05790
OG0000000	XENTR10560	ASTMX17479
OG0000000	XENTR07734	ASTMX20577, ASTMX08977
OG0000000	XENTR13891	ASTMX08271
OG0000000	XENTR17298	ASTMX14561
OG0000000	XENTR05705	ASTMX07042
OG0000000	XENTR16086	ASTMX10847
OG0000000	XENTR12445	ASTMX20299
OG0000000	XENTR07618	ASTMX10234
OG0000000	XENTR10848	ASTMX01439, ASTMX16054
OG0000000	XENTR03338	ASTMX20165
OG0000000	XENTR04390	ASTMX16946
OG0000000	XENTR05494	ASTMX11106
OG0000000	XENTR10849	ASTMX16053
OG0000000	XENTR03337	ASTMX01903
OG0000000	XENTR04389	ASTMX06178
OG0000000	XENTR10854	ASTMX16048
OG0000000	XENTR08539	ASTMX20108
OG0000000	XENTR07170	ASTMX05323
OG0000000	XENTR03332	ASTMX16049
OG0000000	XENTR10853	ASTMX01436, ASTMX16050
OG0000000	XENTR08540	ASTMX20109, ASTMX05322
OG0000000	XENTR08542	ASTMX05321, ASTMX20111
OG0000000	XENTR10851	ASTMX16051
OG0000000	XENTR07169	ASTMX12038
OG0000000	XENTR03335	ASTMX20162
OG0000000	XENTR03334	ASTMX20161
OG0000000	XENTR08541	ASTMX20110
OG0000000	XENTR06295	ASTMX17422
OG0000000	XENTR03185	ASTMX00835, ASTMX16253
OG0000000	XENTR12464	ASTMX20873
OG0000000	XENTR08726	ASTMX04077, ASTMX07972
OG0000000	XENTR06680	ASTMX08519
OG0000000	XENTR12982	ASTMX09510
OG0000000	XENTR08538	ASTMX05324, ASTMX20107
OG0000000	XENTR03331, XENTR07171	ASTMX12036
OG0000000	XENTR10855, XENTR10856	ASTMX16047
OG0000000	XENTR03330	ASTMX01905
OG0000000	XENTR00687	ASTMX08795
OG0000000	XENTR13779	ASTMX17999
OG0000000	XENTR03327	ASTMX20156
OG0000000	XENTR07175	ASTMX12031
OG0000000	XENTR01971	ASTMX17267
OG0000000	XENTR14936	ASTMX11612
OG0000000	XENTR09546	ASTMX02802
OG0000000	XENTR01972	ASTMX17266
OG0000000	XENTR09547	ASTMX02801
OG0000000	XENTR08722	ASTMX07975
OG0000000	XENTR12981	ASTMX09511
OG0000000	XENTR06679	ASTMX08520
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750
OG0000002	XENTR12747	ASTMX13878
OG0000002	XENTR12310, XENTR12309, XENTR12000, XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313	ASTMX20124
OG0000002	XENTR09131	ASTMX02317
OG0000002	XENTR16022	ASTMX19248
OG0000002	XENTR16271, XENTR03602, XENTR03603, XENTR03601	ASTMX14857, ASTMX14858, ASTMX14859
OG0000003	XENTR17803	ASTMX04234
OG0000004	XENTR16872, XENTR15834	ASTMX09901
OG0000004	XENTR04878	ASTMX22075
OG0000004	XENTR07289, XENTR07290	ASTMX12117, ASTMX01551
OG0000004	XENTR07824, XENTR07823	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044
OG0000004	XENTR07827, XENTR19087, XENTR07826	ASTMX18447
OG0000004	XENTR04025, XENTR04024	ASTMX09630
OG0000005	XENTR05002, XENTR05003	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021
OG0000005	XENTR09492, XENTR09491	ASTMX13051
OG0000005	XENTR09477	ASTMX18005
OG0000005	XENTR17068	ASTMX12914, ASTMX04261, ASTMX08691
OG0000005	XENTR04106	ASTMX01192
OG0000005	XENTR09142	ASTMX10242
OG0000005	XENTR16849, XENTR09568	ASTMX03244
OG0000006	XENTR06019	ASTMX00775
OG0000006	XENTR00026	ASTMX00495, ASTMX16379
OG0000006	XENTR03474, XENTR03473	ASTMX16363
OG0000006	XENTR14730	ASTMX04345
OG0000006	XENTR03090	ASTMX11700
OG0000006	XENTR09060	ASTMX00138
OG0000006	XENTR03954	ASTMX03791, ASTMX03123
OG0000006	XENTR03689	ASTMX12191, ASTMX07931
OG0000006	XENTR00399	ASTMX06292
OG0000006	XENTR09859	ASTMX15319
OG0000006	XENTR09947	ASTMX03256
OG0000006	XENTR11692	ASTMX09680
OG0000006	XENTR11329	ASTMX14682, ASTMX19702
OG0000006	XENTR15046	ASTMX21126, ASTMX03352
OG0000006	XENTR13548	ASTMX06644
OG0000006	XENTR15729	ASTMX04941, ASTMX20531
OG0000006	XENTR08627	ASTMX03398
OG0000006	XENTR04854	ASTMX03759
OG0000006	XENTR07280	ASTMX02775
OG0000006	XENTR07527	ASTMX15412
OG0000006	XENTR07719	ASTMX14827
OG0000006	XENTR12339	ASTMX16515
OG0000006	XENTR03854	ASTMX08479, ASTMX15103
OG0000006	XENTR16538, XENTR16537, XENTR09455	ASTMX16006
OG0000007	XENTR04989	ASTMX14980
