Orthogroup	MOUSE	HUMAN
OG0000000	MOUSE21446, MOUSE46880, MOUSE20962	HUMAN06514, HUMAN08318
OG0000000	MOUSE35835	HUMAN22097
OG0000000	MOUSE46731	HUMAN03752
OG0000000	MOUSE35499	HUMAN27271
OG0000000	MOUSE22971	HUMAN18431
OG0000000	MOUSE40493	HUMAN17135
OG0000000	MOUSE21445	HUMAN03692
OG0000000	MOUSE40450	HUMAN17114
OG0000000	MOUSE21440	HUMAN03688
OG0000000	MOUSE46719	HUMAN03744
OG0000000	MOUSE46718	HUMAN03743
OG0000000	MOUSE35959	HUMAN22196
OG0000000	MOUSE47799	HUMAN27740
OG0000000	MOUSE46854	HUMAN03805
OG0000000	MOUSE36974	HUMAN22626
OG0000000	MOUSE25533	HUMAN29337
OG0000000	MOUSE37056	HUMAN01254
OG0000000	MOUSE09344	HUMAN28889
OG0000000	MOUSE50563	HUMAN05731
OG0000000	MOUSE50880	HUMAN05644
OG0000000	MOUSE20961	HUMAN03433
OG0000000	MOUSE24692	HUMAN02527
OG0000000	MOUSE26496, MOUSE26495	HUMAN17906
OG0000000	MOUSE05222	HUMAN12895, HUMAN12894
OG0000000	MOUSE26497	HUMAN17907
OG0000000	MOUSE39799	HUMAN26096
OG0000000	MOUSE38794	HUMAN07512
OG0000000	MOUSE36509	HUMAN22413
OG0000000	MOUSE05221	HUMAN12896
OG0000000	MOUSE39801	HUMAN26097
OG0000000	MOUSE38795	HUMAN07513
OG0000000	MOUSE05214, MOUSE05213	HUMAN12904
OG0000000	MOUSE14888	HUMAN06517
OG0000000	MOUSE26490, MOUSE26491	HUMAN17904
OG0000000	MOUSE05215	HUMAN12902
OG0000000	MOUSE39813, MOUSE39810	HUMAN26102
OG0000000	MOUSE05216	HUMAN12901
OG0000000	MOUSE39808	HUMAN26101
OG0000000	MOUSE14889	HUMAN06515
OG0000000	MOUSE39806	HUMAN26099
OG0000000	MOUSE14890, MOUSE14891	HUMAN06518
OG0000000	MOUSE05218	HUMAN12899
OG0000000	MOUSE05217	HUMAN12900
OG0000000	MOUSE39807	HUMAN26100
OG0000000	MOUSE14885	HUMAN06519
OG0000000	MOUSE35589, MOUSE35590	HUMAN27325
OG0000000	MOUSE05644	HUMAN12743
OG0000000	MOUSE06967	HUMAN26016
OG0000000	MOUSE36056	HUMAN22154
OG0000000	MOUSE09425	HUMAN24253
OG0000000	MOUSE07113	HUMAN08317
OG0000000	MOUSE28108	HUMAN18755
OG0000000	MOUSE14887	HUMAN06516
OG0000000	MOUSE39814	HUMAN26103
OG0000000	MOUSE26488	HUMAN17903
OG0000000	MOUSE05211	HUMAN12905
OG0000000	MOUSE39816	HUMAN26104
OG0000000	MOUSE54681	HUMAN30050
OG0000000	MOUSE19588	HUMAN24067
OG0000000	MOUSE38796	HUMAN07515
OG0000000	MOUSE39822	HUMAN26107
OG0000000	MOUSE26482, MOUSE26483	HUMAN17898
OG0000000	MOUSE12761	HUMAN27579
OG0000000	MOUSE36110	HUMAN22230
OG0000000	MOUSE12760	HUMAN27580
OG0000000	MOUSE21123	HUMAN03523
OG0000000	MOUSE17205	HUMAN24243
OG0000000	MOUSE28110	HUMAN18756
OG0000000	MOUSE07114	HUMAN08319
OG0000001	MOUSE30906	HUMAN01493, HUMAN01492
OG0000001	MOUSE47424, MOUSE47422	HUMAN10622
OG0000001	MOUSE11565, MOUSE20858	HUMAN03140
OG0000001	MOUSE11567	HUMAN03346
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435	HUMAN14514, HUMAN14515
OG0000001	MOUSE40449	HUMAN17113
OG0000001	MOUSE40448	HUMAN17112
OG0000001	MOUSE41355, MOUSE41354, MOUSE41356	HUMAN05942
OG0000001	MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343	HUMAN05938
OG0000001	MOUSE41361, MOUSE41362	HUMAN05944
OG0000001	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419	HUMAN14511
OG0000002	MOUSE31557, MOUSE31558	HUMAN22770
OG0000002	MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137	HUMAN03828
OG0000002	MOUSE20995, MOUSE20994	HUMAN03454, HUMAN03455, HUMAN03453
OG0000002	MOUSE43167, MOUSE43166	HUMAN15589
OG0000002	MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158	HUMAN15587
OG0000002	MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160	HUMAN15585, HUMAN15586, HUMAN15588
OG0000002	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931	HUMAN04207
OG0000002	MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284	HUMAN20269
OG0000002	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136	HUMAN01080
OG0000002	MOUSE33129	HUMAN20270
OG0000003	MOUSE08264	HUMAN18698
OG0000004	MOUSE12693, MOUSE12692	HUMAN27619
OG0000004	MOUSE06318, MOUSE06317, MOUSE06316	HUMAN13470
OG0000004	MOUSE21111	HUMAN27575
OG0000004	MOUSE31437	HUMAN22815
OG0000004	MOUSE41373, MOUSE41374	HUMAN05919, HUMAN05921
OG0000004	MOUSE30144	HUMAN01911
OG0000004	MOUSE46694, MOUSE46695, MOUSE46693, MOUSE46689, MOUSE46690, MOUSE46688	HUMAN03733
OG0000004	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226	HUMAN26466
OG0000005	MOUSE03525	HUMAN23763
OG0000005	MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	HUMAN23764
OG0000005	MOUSE18207	HUMAN25098
OG0000005	MOUSE20294, MOUSE20293	HUMAN04828
OG0000005	MOUSE13586	HUMAN04827
OG0000005	MOUSE20384	HUMAN04760
OG0000005	MOUSE20383	HUMAN04761
OG0000005	MOUSE53215, MOUSE53214	HUMAN20683
OG0000005	MOUSE16622	HUMAN25811
OG0000005	MOUSE16621	HUMAN25812
OG0000005	MOUSE16620	HUMAN25813
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	HUMAN01465
OG0000006	MOUSE48684, MOUSE48683	HUMAN20053
OG0000006	MOUSE11220	HUMAN21060
OG0000006	MOUSE33561, MOUSE33562	HUMAN00944
OG0000006	MOUSE36359	HUMAN22351
OG0000006	MOUSE45321	HUMAN05133
OG0000006	MOUSE29952, MOUSE29953	HUMAN21718
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071	HUMAN02118
OG0000006	MOUSE25672, MOUSE25673	HUMAN29294
OG0000006	MOUSE54497	HUMAN29691
OG0000006	MOUSE31158	HUMAN01388
OG0000006	MOUSE02096, MOUSE02095, MOUSE02097	HUMAN06884
OG0000006	MOUSE27112, MOUSE27111	HUMAN04380
OG0000006	MOUSE28165	HUMAN18782, HUMAN18784, HUMAN18783
OG0000006	MOUSE07632, MOUSE07631	HUMAN08640
OG0000006	MOUSE38532, MOUSE38531	HUMAN25905
OG0000006	MOUSE10280	HUMAN23524
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	HUMAN03111
OG0000006	MOUSE19675	HUMAN14017
OG0000006	MOUSE31507	HUMAN22793
OG0000006	MOUSE31506	HUMAN22791
OG0000006	MOUSE31503, MOUSE31505, MOUSE31501	HUMAN22792
OG0000006	MOUSE21233, MOUSE21234	HUMAN03581
OG0000006	MOUSE09568, MOUSE09567	HUMAN23822
OG0000006	MOUSE08011	HUMAN08856
OG0000006	MOUSE15296	HUMAN19716
OG0000006	MOUSE11795, MOUSE11796	HUMAN08442
