Orthogroup	ORYLA	AENJA_ok
OG0000000	ORYLA04928	AENJA_00110
OG0000000	ORYLA07037, ORYLA08538	AENJA_23461
OG0000000	ORYLA05297	AENJA_26081
OG0000000	ORYLA07510, ORYLA04677	AENJA_24355
OG0000000	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	AENJA_23544
OG0000000	ORYLA18170	AENJA_09172
OG0000000	ORYLA02858, ORYLA12900	AENJA_01537
OG0000000	ORYLA03677	AENJA_00111, AENJA_09519
OG0000000	ORYLA11446	AENJA_25905
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	AENJA_15854
OG0000000	ORYLA04170, ORYLA18990	AENJA_12748
OG0000000	ORYLA15771	AENJA_15858
OG0000000	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619	AENJA_15855
OG0000000	ORYLA09108	AENJA_12751
OG0000000	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160	AENJA_05807
OG0000000	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898	AENJA_15859
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	AENJA_15861
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	AENJA_22692
OG0000000	ORYLA08225, ORYLA06162	AENJA_20015
OG0000000	ORYLA01029, ORYLA04459	AENJA_21459
OG0000000	ORYLA04630	AENJA_05805
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	AENJA_01755
OG0000000	ORYLA05044, ORYLA00932	AENJA_10279
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	AENJA_05264
OG0000000	ORYLA11797, ORYLA10603	AENJA_18954
OG0000000	ORYLA10060	AENJA_18955
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	AENJA_17575
OG0000002	ORYLA00438	AENJA_19547, AENJA_15292
OG0000002	ORYLA12350	AENJA_22707, AENJA_19254, AENJA_03627
OG0000002	ORYLA03052, ORYLA16692	AENJA_00531
OG0000002	ORYLA13467, ORYLA16691	AENJA_05471, AENJA_03252
OG0000004	ORYLA04400, ORYLA08919	AENJA_18812, AENJA_09022
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	ORYLA04733	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	ORYLA04794	AENJA_11699, AENJA_18239, AENJA_21365, AENJA_22159
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	AENJA_22158
OG0000006	ORYLA20407, ORYLA03595	AENJA_13126
OG0000006	ORYLA03421, ORYLA09483	AENJA_02691
OG0000006	ORYLA13382	AENJA_20911
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	AENJA_07226
OG0000006	ORYLA10511, ORYLA11827	AENJA_22522
OG0000006	ORYLA16517	AENJA_09814
OG0000006	ORYLA16515	AENJA_09813
OG0000006	ORYLA17394	AENJA_00662
OG0000006	ORYLA05082	AENJA_07549, AENJA_15373
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	AENJA_18450
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	AENJA_09210
OG0000006	ORYLA04691	AENJA_15474
OG0000007	ORYLA13334	AENJA_18325
OG0000007	ORYLA14937, ORYLA17526	AENJA_18163
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	AENJA_00810
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	AENJA_25020
OG0000007	ORYLA10719	AENJA_23908
OG0000007	ORYLA18472	AENJA_19234
OG0000007	ORYLA15197	AENJA_18326
OG0000007	ORYLA09030	AENJA_06479, AENJA_16018
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	AENJA_18328
OG0000007	ORYLA13010	AENJA_11851
OG0000007	ORYLA03471, ORYLA17615	AENJA_09687
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	AENJA_07358
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	AENJA_11277
OG0000007	ORYLA16317	AENJA_22886
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	AENJA_16981
OG0000007	ORYLA10158, ORYLA04736	AENJA_26507
