Orthogroup	HUMAN	APOSC_ok
OG0000000	HUMAN22097, HUMAN03752	APOSC_11837, APOSC_12606
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	APOSC_11472, APOSC_29094
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	APOSC_25410
OG0000000	HUMAN03805, HUMAN22626	APOSC_11604
OG0000000	HUMAN29337, HUMAN01254	APOSC_19137
OG0000000	HUMAN28889, HUMAN05731	APOSC_11544
OG0000000	HUMAN05644	APOSC_06717
OG0000000	HUMAN03433	APOSC_04208
OG0000000	HUMAN02527	APOSC_07565
OG0000000	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096	APOSC_22022
OG0000000	HUMAN07512, HUMAN22413	APOSC_04964
OG0000000	HUMAN07513	APOSC_16565
OG0000000	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515	APOSC_27318
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	APOSC_14732
OG0000000	HUMAN27325, HUMAN27326	APOSC_24894
OG0000000	HUMAN12743, HUMAN26016	APOSC_24788
OG0000000	HUMAN22154, HUMAN24253	APOSC_28968
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	APOSC_18629
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	APOSC_10621
OG0000000	HUMAN26107, HUMAN17898	APOSC_22429
OG0000000	HUMAN27579, HUMAN22230	APOSC_04636
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	APOSC_18693
OG0000000	HUMAN18756	APOSC_00117
OG0000000	HUMAN08319	APOSC_08607
OG0000001	HUMAN10622	APOSC_22349, APOSC_16849, APOSC_06282, APOSC_27210
OG0000002	HUMAN22770	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	HUMAN20270	APOSC_26642
OG0000003	HUMAN10010	APOSC_20479
OG0000003	HUMAN02915	APOSC_02027
OG0000004	HUMAN27462, HUMAN27463, HUMAN27619	APOSC_03634
OG0000004	HUMAN27575	APOSC_06431, APOSC_27025
OG0000004	HUMAN26466	APOSC_28247
OG0000005	HUMAN01465	APOSC_21707
OG0000006	HUMAN20053	APOSC_21099
OG0000006	HUMAN00944	APOSC_10640
OG0000006	HUMAN22351, HUMAN05133	APOSC_17637
OG0000006	HUMAN21718, HUMAN29537	APOSC_08216
OG0000006	HUMAN02118, HUMAN29294	APOSC_08805
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	APOSC_27173, APOSC_08430, APOSC_08431
