species	stages	one2one	a	b	pred_name
pfla_spur	10_Me / 08_LPr_64h	pair_0017	TCONS_00026441	STRPU_00188	NA
pfla_spur	10_Me / 08_LPr_64h	pair_0414	TCONS_00048059	STRPU_04750	SCNN1G
pfla_spur	10_Me / 08_LPr_64h	pair_1084	TCONS_00045785	STRPU_07642	NA
pfla_spur	10_Me / 08_LPr_64h	pair_1684	TCONS_00027758	STRPU_10359	NA
pfla_spur	10_Me / 08_LPr_64h	pair_1685	TCONS_00027752	STRPU_10360	NA
pfla_spur	10_Me / 08_LPr_64h	pair_1933	TCONS_00031190	STRPU_11814	HGFAC
pfla_spur	10_Me / 08_LPr_64h	pair_5069	TCONS_00008691	STRPU_25762	NA
pfla_spur	10_Me / 09_Plu_72h	pair_0017	TCONS_00026441	STRPU_00188	NA
pfla_spur	10_Me / 09_Plu_72h	pair_0414	TCONS_00048059	STRPU_04750	SCNN1G
pfla_spur	10_Me / 09_Plu_72h	pair_1084	TCONS_00045785	STRPU_07642	NA
pfla_spur	10_Me / 09_Plu_72h	pair_1684	TCONS_00027758	STRPU_10359	NA
pfla_spur	10_Me / 09_Plu_72h	pair_1685	TCONS_00027752	STRPU_10360	NA
pfla_spur	10_Me / 09_Plu_72h	pair_1933	TCONS_00031190	STRPU_11814	HGFAC
pfla_spur	10_Me / 09_Plu_72h	pair_2668	TCONS_00055829	STRPU_16249	NA
pfla_spur	10_Me / 09_Plu_72h	pair_5069	TCONS_00008691	STRPU_25762	NA
pfla_spur	10_Me / 09_Plu_72h	pair_5327	TCONS_00029577	STRPU_26580	NA
pfla_spur	09_He / 08_LPr_64h	pair_0017	TCONS_00026441	STRPU_00188	NA
pfla_spur	09_He / 08_LPr_64h	pair_1084	TCONS_00045785	STRPU_07642	NA
pfla_spur	09_He / 08_LPr_64h	pair_1684	TCONS_00027758	STRPU_10359	NA
pfla_spur	09_He / 08_LPr_64h	pair_1685	TCONS_00027752	STRPU_10360	NA
pfla_spur	09_He / 08_LPr_64h	pair_5069	TCONS_00008691	STRPU_25762	NA
pfla_spur	09_He / 08_LPr_64h	pair_5070	TCONS_00008690	STRPU_25765	NA
pfla_spur	10_Me / 06_LG_48h	pair_0017	TCONS_00026441	STRPU_00188	NA
pfla_spur	10_Me / 06_LG_48h	pair_0490	TCONS_00042093	STRPU_04995	POU4F3
pfla_spur	10_Me / 06_LG_48h	pair_1084	TCONS_00045785	STRPU_07642	NA
pfla_spur	10_Me / 06_LG_48h	pair_1684	TCONS_00027758	STRPU_10359	NA
pfla_spur	10_Me / 06_LG_48h	pair_1685	TCONS_00027752	STRPU_10360	NA
pfla_spur	10_Me / 06_LG_48h	pair_2668	TCONS_00055829	STRPU_16249	NA
pfla_spur	10_Me / 06_LG_48h	pair_4774	TCONS_00037276	STRPU_24972	NA
pfla_spur	09_He / 09_Plu_72h	pair_0017	TCONS_00026441	STRPU_00188	NA
pfla_spur	09_He / 09_Plu_72h	pair_0414	TCONS_00048059	STRPU_04750	SCNN1G
pfla_spur	09_He / 09_Plu_72h	pair_1084	TCONS_00045785	STRPU_07642	NA
pfla_spur	09_He / 09_Plu_72h	pair_1684	TCONS_00027758	STRPU_10359	NA
pfla_spur	09_He / 09_Plu_72h	pair_1685	TCONS_00027752	STRPU_10360	NA
pfla_spur	09_He / 09_Plu_72h	pair_1933	TCONS_00031190	STRPU_11814	HGFAC
pfla_spur	09_He / 09_Plu_72h	pair_5069	TCONS_00008691	STRPU_25762	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_0021	TCONS_00013788	AENJA_00106	KLKB1
pfla_ajap	10_Me / 09_Anj_attachment	pair_0252	TCONS_00029367	AENJA_01200	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_0874	TCONS_00046210	AENJA_04271	TNXB
pfla_ajap	10_Me / 09_Anj_attachment	pair_0951	TCONS_00052519	AENJA_04621	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_1518	TCONS_00053131	AENJA_07421	TCTEX1D4
pfla_ajap	10_Me / 09_Anj_attachment	pair_1524	TCONS_00050286	AENJA_07458	CUZD1
pfla_ajap	10_Me / 09_Anj_attachment	pair_2463	TCONS_00016077	AENJA_11984	NELF
pfla_ajap	10_Me / 09_Anj_attachment	pair_2493	TCONS_00045785	AENJA_12177	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_2946	TCONS_00032709	AENJA_14528	NA
