AENJA_00004	OFUSG05380.1
AENJA_00005	OFUSG20337.1
AENJA_00007	OFUSG05147.1
AENJA_00010	OFUSG19340.1
AENJA_00011	OFUSG20777.1
AENJA_00039	OFUSG14799.1
AENJA_00046	OFUSG06565.1
AENJA_00050	OFUSG19413.1
AENJA_00051	OFUSG06423.1
AENJA_00054	OFUSG08581.1
AENJA_00055	OFUSG25627.1
AENJA_00056	OFUSG20119.1
AENJA_00058	OFUSG09460.1
AENJA_00059	OFUSG05300.1
AENJA_00082	OFUSG00734.1
AENJA_00096	OFUSG07245.1
AENJA_00099	OFUSG08278.1
AENJA_00100	OFUSG07247.1
AENJA_00107	OFUSG14536.1
AENJA_00119	OFUSG02002.1
AENJA_00120	OFUSG03216.1
AENJA_00124	OFUSG03803.1
AENJA_00136	OFUSG06478.1
AENJA_00136	OFUSG15955.1
AENJA_00136	OFUSG26564.1
AENJA_00136	OFUSG26675.1
AENJA_00139	OFUSG06871.1
AENJA_00145	OFUSG09315.1
AENJA_00147	OFUSG04041.1
AENJA_00150	OFUSG23068.1
AENJA_00151	OFUSG23097.1
AENJA_00153	OFUSG04935.1
AENJA_00154	OFUSG20892.2
AENJA_00156	OFUSG22982.1
AENJA_00157	OFUSG04501.1
AENJA_00159	OFUSG02387.1
AENJA_00159	OFUSG04497.1
AENJA_00159	OFUSG22052.1
AENJA_00160	OFUSG16960.1
AENJA_00161	OFUSG16963.1
AENJA_00162	OFUSG26530.1
AENJA_00181	OFUSG25667.1
AENJA_00187	OFUSG07105.1
AENJA_00200	OFUSG04554.1
AENJA_00205	OFUSG24957.1
AENJA_00222	OFUSG10841.1
AENJA_00225	OFUSG06982.1
AENJA_00226	OFUSG19385.1
AENJA_00229	OFUSG14953.1
AENJA_00246	OFUSG03657.1
AENJA_00247	OFUSG10845.1
AENJA_00249	OFUSG10634.1
AENJA_00261	OFUSG24170.1
AENJA_00263	OFUSG22280.1
AENJA_00263	OFUSG22281.1
AENJA_00264	OFUSG23894.1
AENJA_00265	OFUSG15038.2
AENJA_00266	OFUSG22134.1
AENJA_00267	OFUSG15615.1
AENJA_00268	OFUSG22284.1
AENJA_00270	OFUSG20134.1
AENJA_00276	OFUSG08811.1
AENJA_00304	OFUSG15749.2
AENJA_00306	OFUSG23898.1
AENJA_00307	OFUSG15335.1
AENJA_00310	OFUSG15336.1
AENJA_00316	OFUSG08782.1
AENJA_00317	OFUSG09768.1
AENJA_00318	OFUSG19633.1
AENJA_00319	OFUSG24688.1
AENJA_00320	OFUSG08532.1
AENJA_00324	OFUSG19641.1
AENJA_00349	OFUSG13114.1
AENJA_00356	OFUSG17151.1
AENJA_00359	OFUSG21149.1
AENJA_00374	OFUSG05818.1
AENJA_00376	OFUSG06171.1
AENJA_00377	OFUSG06652.1
AENJA_00382	OFUSG04298.2
AENJA_00390	OFUSG11014.1
AENJA_00391	OFUSG11108.1
AENJA_00392	OFUSG10234.1
AENJA_00397	OFUSG11013.1
AENJA_00399	OFUSG24087.1
AENJA_00400	OFUSG05716.1
AENJA_00401	OFUSG24129.1
AENJA_00406	OFUSG09309.1
AENJA_00414	OFUSG01474.1
AENJA_00418	OFUSG08372.1
AENJA_00418	OFUSG09559.1
AENJA_00418	OFUSG14756.1
AENJA_00418	OFUSG16383.1
AENJA_00418	OFUSG24706.1
AENJA_00432	OFUSG15959.1
AENJA_00435	OFUSG20985.2
AENJA_00437	OFUSG13452.1
AENJA_00451	OFUSG24126.1
AENJA_00454	OFUSG14904.1
AENJA_00456	OFUSG25578.1
AENJA_00457	OFUSG15403.1
AENJA_00461	OFUSG15364.1
AENJA_00478	OFUSG20062.1
AENJA_00482	OFUSG09435.1
AENJA_00483	OFUSG19655.1
AENJA_00493	OFUSG12312.1
AENJA_00501	OFUSG02135.1
AENJA_00501	OFUSG22686.1
AENJA_00507	OFUSG01725.1
AENJA_00508	OFUSG00006.1
AENJA_00514	OFUSG07903.1
AENJA_00518	OFUSG20872.1
AENJA_00528	OFUSG07879.1
AENJA_00531	OFUSG26280.2
AENJA_00534	OFUSG07766.1
AENJA_00536	OFUSG18138.2
AENJA_00551	OFUSG01991.1
