Orthogroup	BRAFL	CAEEL
OG0000000	bflo_10712, bflo_10733	CAEEL18735
OG0000000	bflo_24954	CAEEL01893
OG0000000	bflo_08798	CAEEL08140
OG0000000	bflo_09701	CAEEL18754
OG0000000	bflo_10072	CAEEL06523
OG0000000	bflo_10147	CAEEL00081
OG0000000	bflo_16599	CAEEL18467, CAEEL18466
OG0000000	bflo_08732	CAEEL04771
OG0000000	bflo_26435	CAEEL10851
OG0000000	bflo_10637	CAEEL18086
OG0000000	bflo_00450	CAEEL05734
OG0000000	bflo_00191	CAEEL08092
OG0000000	bflo_15523, bflo_00189, bflo_00196, bflo_00195, bflo_00192, bflo_00197	CAEEL08135, CAEEL08091
OG0000000	bflo_00617, bflo_23916	CAEEL00979
OG0000000	bflo_10639	CAEEL19601
OG0000000	bflo_26449, bflo_00194, bflo_00920, bflo_26443	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	bflo_14857	CAEEL07441, CAEEL08137, CAEEL17599
OG0000000	bflo_26417, bflo_00526	CAEEL08875
OG0000000	bflo_10148, bflo_18457	CAEEL16213
OG0000001	bflo_22815, bflo_07671	CAEEL14831
OG0000001	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770
OG0000001	bflo_27403	CAEEL00597, CAEEL06285
OG0000001	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469	CAEEL06722
OG0000003	bflo_24207, bflo_19873, bflo_26986, bflo_08714	CAEEL20577
OG0000003	bflo_09845	CAEEL19939
OG0000005	bflo_13407	CAEEL13168
OG0000005	bflo_10917	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	bflo_10484	CAEEL20510
OG0000006	bflo_06221	CAEEL18976
OG0000006	bflo_14856, bflo_15258	CAEEL00696
OG0000006	bflo_12576	CAEEL07700
OG0000006	bflo_23572, bflo_23665, bflo_23603	CAEEL05532
OG0000006	bflo_06222	CAEEL01533
OG0000006	bflo_08431	CAEEL12101
OG0000006	bflo_22598	CAEEL00153
OG0000006	bflo_15412	CAEEL17819
OG0000006	bflo_10980	CAEEL15182
OG0000007	bflo_05651	CAEEL04050
OG0000007	bflo_16444, bflo_15598	CAEEL17965
OG0000007	bflo_25603	CAEEL05829
OG0000007	bflo_13084	CAEEL01108
OG0000007	bflo_00716	CAEEL01984
OG0000007	bflo_12369, bflo_21087, bflo_23309	CAEEL10238, CAEEL04602
OG0000007	bflo_11392	CAEEL18586
OG0000010	bflo_25814, bflo_01084	CAEEL04259
OG0000010	bflo_08401, bflo_23855, bflo_02791, bflo_23795, bflo_23406	CAEEL10902
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	CAEEL20690
OG0000012	bflo_16244, bflo_17650, bflo_27278	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698
OG0000013	bflo_11697, bflo_11698	CAEEL13907, CAEEL07369, CAEEL11453, CAEEL08591
OG0000013	bflo_16773, bflo_16475, bflo_16445, bflo_16476	CAEEL05441
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	CAEEL19127
OG0000015	bflo_14874	CAEEL15587
OG0000015	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276, bflo_24737	CAEEL18647
OG0000019	bflo_04872, bflo_04871, bflo_24292	CAEEL15403
OG0000019	bflo_27149, bflo_02909, bflo_06783, bflo_04197	CAEEL14888, CAEEL00598, CAEEL00512, CAEEL00599, CAEEL00600, CAEEL11130, CAEEL20237, CAEEL20477, CAEEL18562
OG0000019	bflo_22767, bflo_06001, bflo_05746, bflo_23533	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	bflo_16368	CAEEL00627
OG0000020	bflo_07448	CAEEL05927
OG0000020	bflo_14450	CAEEL13362
OG0000020	bflo_00687	CAEEL09273
OG0000021	bflo_11723	CAEEL15603
OG0000021	bflo_20935	CAEEL00422
OG0000021	bflo_27402, bflo_22537, bflo_22539, bflo_22305	CAEEL00784, CAEEL15377
OG0000023	bflo_20954	CAEEL06641
OG0000026	bflo_14643, bflo_14642, bflo_14973	CAEEL08121
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	CAEEL17825
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	bflo_06341	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000028	bflo_01235, bflo_02042	CAEEL19515, CAEEL07887
OG0000029	bflo_00003	CAEEL20320
OG0000030	bflo_23616	CAEEL04353
OG0000030	bflo_21367, bflo_09678, bflo_10382, bflo_09719, bflo_22462	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	bflo_02624, bflo_02501	CAEEL02023
OG0000031	bflo_06021, bflo_25562	CAEEL04718
OG0000031	bflo_15458	CAEEL07076
OG0000032	bflo_01514, bflo_01513, bflo_01634, bflo_01633, bflo_23561, bflo_23038, bflo_01635, bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388, bflo_01430	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	bflo_20326	CAEEL07900
OG0000034	bflo_03308, bflo_13145	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	bflo_05871	CAEEL01132
OG0000034	bflo_03310	CAEEL03140, CAEEL03141
OG0000035	bflo_02157	CAEEL01943
OG0000036	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188	CAEEL18405, CAEEL11240, CAEEL15057
OG0000036	bflo_12806, bflo_12805	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	bflo_10999	CAEEL17629, CAEEL17628
OG0000037	bflo_01343	CAEEL03654
OG0000037	bflo_01342	CAEEL20275
OG0000037	bflo_10199, bflo_10232, bflo_10192	CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299
OG0000037	bflo_10180	CAEEL09012, CAEEL08645
OG0000038	bflo_03592, bflo_00458	CAEEL01714, CAEEL18498
OG0000038	bflo_18855	CAEEL07106
OG0000039	bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412	CAEEL00466
OG0000039	bflo_15832	CAEEL18993
OG0000041	bflo_00106, bflo_13477, bflo_00582, bflo_00913, bflo_10831, bflo_18111, bflo_17887, bflo_18216, bflo_16501, bflo_17380, bflo_17886, bflo_08425, bflo_05530, bflo_18780, bflo_09009, bflo_26911, bflo_03344, bflo_12945	CAEEL05494
OG0000041	bflo_05956	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000044	bflo_21420, bflo_01236, bflo_12257	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000044	bflo_09554, bflo_21687	CAEEL08025
OG0000049	bflo_17665	CAEEL02028
OG0000049	bflo_12099	CAEEL19631
OG0000049	bflo_12470, bflo_11081	CAEEL10349
OG0000051	bflo_08711	CAEEL19606, CAEEL18565
OG0000051	bflo_18195, bflo_17371	CAEEL09464
OG0000054	bflo_04388	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	bflo_23399	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000055	bflo_23239, bflo_23195, bflo_23241, bflo_23237	CAEEL14858
OG0000056	bflo_25516, bflo_08200, bflo_07902, bflo_08069, bflo_08326, bflo_07804, bflo_22104, bflo_25681	CAEEL05273
OG0000058	bflo_09194	CAEEL06550
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000059	bflo_14547, bflo_15017	CAEEL08332
OG0000059	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815	CAEEL07152
OG0000060	bflo_15783	CAEEL20840
OG0000060	bflo_01709	CAEEL08749, CAEEL08751, CAEEL08470
OG0000061	bflo_18545	CAEEL08422
OG0000061	bflo_18543, bflo_02187, bflo_02797, bflo_02329, bflo_02369	CAEEL07898, CAEEL20509
OG0000062	bflo_13529	CAEEL02955
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	CAEEL04400
OG0000066	bflo_26507, bflo_06316	CAEEL18679
OG0000066	bflo_05790, bflo_06779, bflo_06781, bflo_00120, bflo_10919, bflo_00979, bflo_20628, bflo_19878, bflo_04762, bflo_24133, bflo_04761, bflo_11842, bflo_01779, bflo_01780, bflo_03911, bflo_17245, bflo_19059, bflo_20701, bflo_20080, bflo_20702, bflo_02867, bflo_09989, bflo_19880	CAEEL20109
OG0000067	bflo_22984, bflo_22901, bflo_06785, bflo_23896, bflo_01576, bflo_00639, bflo_00640	CAEEL19271
OG0000068	bflo_12120	CAEEL09504
OG0000069	bflo_20543, bflo_20542, bflo_20541, bflo_27333	CAEEL14766
OG0000069	bflo_05086	CAEEL06233
OG0000069	bflo_24611	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	bflo_26467, bflo_13324, bflo_13447, bflo_13247, bflo_14268, bflo_27427, bflo_23408	CAEEL19861
OG0000071	bflo_03355	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	bflo_14354, bflo_14353	CAEEL07368
OG0000073	bflo_13167	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725
OG0000075	bflo_24625	CAEEL03008
OG0000075	bflo_11040	CAEEL11367
OG0000075	bflo_12166, bflo_11652	CAEEL11291
OG0000077	bflo_09725	CAEEL01559
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	CAEEL18883
OG0000077	bflo_18777, bflo_23174	CAEEL06904
OG0000077	bflo_09163	CAEEL18420
OG0000079	bflo_20026	CAEEL07248
OG0000082	bflo_15900	CAEEL18954, CAEEL04897
OG0000082	bflo_04889	CAEEL13927
OG0000082	bflo_00187	CAEEL12687
OG0000082	bflo_13856	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	bflo_10754	CAEEL10610, CAEEL18185
OG0000084	bflo_07855, bflo_08694, bflo_08099	CAEEL10989
OG0000084	bflo_08430	CAEEL08514, CAEEL10452
OG0000085	bflo_00992	CAEEL06909
OG0000085	bflo_12569	CAEEL03085
OG0000090	bflo_16621	CAEEL18451
OG0000090	bflo_15352, bflo_01805, bflo_10557, bflo_02393	CAEEL10114
OG0000091	bflo_21154, bflo_01995, bflo_01717, bflo_21558, bflo_12883, bflo_00479, bflo_26528, bflo_26529, bflo_00481, bflo_00480, bflo_15837, bflo_17845, bflo_25328, bflo_15820, bflo_15823	CAEEL05045
OG0000094	bflo_11484	CAEEL18425
OG0000095	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	bflo_21246, bflo_21213	CAEEL16555
OG0000096	bflo_11038	CAEEL11088
OG0000096	bflo_17838	CAEEL08533
OG0000096	bflo_24085, bflo_09131	CAEEL11776
OG0000096	bflo_03032	CAEEL06051
OG0000096	bflo_18893	CAEEL07422
OG0000098	bflo_05564	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	bflo_14861, bflo_14862	CAEEL07999, CAEEL08340
OG0000099	bflo_17705, bflo_18245	CAEEL05000, CAEEL01295
OG0000101	bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	bflo_00032, bflo_11180, bflo_11085, bflo_11875, bflo_11184, bflo_11179, bflo_11874, bflo_25842, bflo_00020, bflo_18284, bflo_20618, bflo_18283, bflo_17924, bflo_17758, bflo_00063, bflo_17754, bflo_17756, bflo_17751, bflo_17755, bflo_17752, bflo_00064, bflo_17757, bflo_17750, bflo_17749, bflo_23149	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	bflo_23791	CAEEL01469, CAEEL18445
OG0000104	bflo_11828, bflo_20119	CAEEL04070
OG0000104	bflo_00906, bflo_09275, bflo_06949, bflo_11475	CAEEL18800
OG0000106	bflo_13898	CAEEL20256
OG0000106	bflo_21022, bflo_22434, bflo_24648, bflo_24024, bflo_24023	CAEEL19130, CAEEL20701
OG0000110	bflo_13869, bflo_25534, bflo_09017, bflo_25934, bflo_26322	CAEEL18731, CAEEL15167
OG0000110	bflo_23445, bflo_05644, bflo_25083, bflo_24963	CAEEL10319, CAEEL17689
OG0000111	bflo_23465, bflo_23571, bflo_23573, bflo_20710, bflo_08602, bflo_05768, bflo_25968, bflo_26203, bflo_01089, bflo_06150, bflo_06575, bflo_18443, bflo_07865, bflo_25866, bflo_23409, bflo_23905, bflo_22622, bflo_13544, bflo_21580, bflo_07025, bflo_01278, bflo_13984	CAEEL20845
OG0000113	bflo_25033, bflo_24791, bflo_00623, bflo_03827, bflo_03944, bflo_03952, bflo_03218, bflo_03217, bflo_01136, bflo_03958, bflo_03967	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	bflo_16447, bflo_20688, bflo_23618, bflo_04836, bflo_00471, bflo_24385, bflo_07559	CAEEL18136
OG0000116	bflo_05410, bflo_25141	CAEEL14875
OG0000117	bflo_02317, bflo_02296, bflo_27364, bflo_20757	CAEEL10762
OG0000117	bflo_22010	CAEEL07433
OG0000119	bflo_07858, bflo_19358, bflo_19300	CAEEL08480
OG0000119	bflo_19582, bflo_19602, bflo_19603, bflo_19479	CAEEL08396
OG0000121	bflo_24507, bflo_19620, bflo_26028, bflo_24509, bflo_14403	CAEEL06288, CAEEL12116
OG0000122	bflo_02079	CAEEL01544
OG0000124	bflo_18598	CAEEL12548, CAEEL09889
OG0000124	bflo_10478	CAEEL15384, CAEEL15382
OG0000126	bflo_09507	CAEEL08841, CAEEL04611
OG0000126	bflo_14089	CAEEL09101
OG0000126	bflo_04718	CAEEL10194
OG0000127	bflo_21614	CAEEL19207
OG0000127	bflo_21827	CAEEL20452
OG0000127	bflo_05798	CAEEL00838
OG0000128	bflo_25056, bflo_06196, bflo_05801, bflo_04928, bflo_06174, bflo_04919, bflo_08083, bflo_11997, bflo_11531, bflo_11996, bflo_11513, bflo_13695, bflo_14518, bflo_14769, bflo_20024, bflo_10688	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	bflo_10761, bflo_09267	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	bflo_21811	CAEEL12325
OG0000129	bflo_16345, bflo_20193	CAEEL08188
OG0000131	bflo_09427	CAEEL08663
OG0000131	bflo_00487	CAEEL07634
OG0000132	bflo_23438	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	bflo_20235, bflo_02070, bflo_04279	CAEEL18416, CAEEL11601
OG0000137	bflo_17627, bflo_17554, bflo_17629, bflo_17769	CAEEL10559
OG0000147	bflo_24794	CAEEL04811
OG0000147	bflo_01706	CAEEL18488
OG0000148	bflo_10991	CAEEL09804
OG0000148	bflo_17681	CAEEL04213
OG0000149	bflo_07000	CAEEL02847
OG0000149	bflo_07407	CAEEL08694
OG0000153	bflo_16858	CAEEL16188
OG0000154	bflo_17422	CAEEL02932
OG0000157	bflo_13284	CAEEL01390
OG0000158	bflo_05936	CAEEL20117, CAEEL08684
OG0000159	bflo_01737	CAEEL19486
OG0000159	bflo_18341	CAEEL02031
OG0000159	bflo_18486, bflo_10462, bflo_08858	CAEEL05281
OG0000160	bflo_01705, bflo_19837, bflo_19835, bflo_19840, bflo_22050, bflo_20492, bflo_19926, bflo_19836, bflo_19925, bflo_01559	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	bflo_22675, bflo_22678, bflo_22689	CAEEL08313
OG0000163	bflo_00524	CAEEL20194, CAEEL08850
OG0000164	bflo_01014, bflo_21116, bflo_05174, bflo_00764, bflo_00763, bflo_00454, bflo_00455, bflo_00765, bflo_20441, bflo_18014, bflo_23036	CAEEL09304
OG0000164	bflo_06018	CAEEL05807
OG0000165	bflo_06077	CAEEL07846
OG0000167	bflo_06634	CAEEL02846
OG0000168	bflo_25648, bflo_06549, bflo_06560	CAEEL19018
OG0000169	bflo_04857	CAEEL15798
OG0000171	bflo_07453	CAEEL11480
OG0000172	bflo_18069, bflo_22959	CAEEL04412
OG0000173	bflo_05379, bflo_24130, bflo_24754	CAEEL04156
OG0000174	bflo_06008, bflo_06009	CAEEL09479
OG0000175	bflo_23016, bflo_27417, bflo_07263	CAEEL19241
OG0000175	bflo_01467, bflo_01116, bflo_12851, bflo_01312, bflo_01117	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	bflo_08207, bflo_09019, bflo_09021	CAEEL13640
OG0000179	bflo_26285, bflo_26298	CAEEL02965, CAEEL06713
OG0000179	bflo_24034, bflo_08042, bflo_08036	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384
OG0000179	bflo_14243, bflo_00377	CAEEL19466, CAEEL07193
OG0000180	bflo_24730	CAEEL06539
OG0000181	bflo_18642	CAEEL07684
OG0000181	bflo_10985	CAEEL10858
OG0000181	bflo_08690	CAEEL10772
OG0000181	bflo_05297	CAEEL12632
OG0000183	bflo_07655	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	bflo_10143	CAEEL18435
OG0000184	bflo_00050, bflo_00051, bflo_04054, bflo_15781	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	bflo_12811	CAEEL14200
OG0000186	bflo_05784, bflo_16204	CAEEL00795, CAEEL05654
OG0000186	bflo_00080	CAEEL18013
OG0000186	bflo_07429	CAEEL13010
OG0000188	bflo_20744, bflo_06094, bflo_04940	CAEEL13361
OG0000188	bflo_06892	CAEEL20699
OG0000191	bflo_21423, bflo_21598	CAEEL08724, CAEEL08082
OG0000193	bflo_09355	CAEEL18944
OG0000193	bflo_20903	CAEEL09482, CAEEL14826
OG0000194	bflo_21202, bflo_21234, bflo_21437, bflo_25298, bflo_22596, bflo_13875, bflo_04521, bflo_09655, bflo_21442, bflo_16208, bflo_22482, bflo_21915, bflo_13415	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	bflo_06670, bflo_06671, bflo_06263, bflo_21166	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	bflo_01474, bflo_01054, bflo_01476, bflo_01475, bflo_01477, bflo_21550	CAEEL04387
OG0000197	bflo_01547	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	bflo_19425, bflo_19422, bflo_19420, bflo_19423	CAEEL03057, CAEEL05629, CAEEL09718
OG0000200	bflo_15720, bflo_15718, bflo_16879	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	bflo_21108	CAEEL07587
OG0000202	bflo_08854, bflo_08853	CAEEL20283
OG0000203	bflo_25089, bflo_24339, bflo_24029, bflo_24028, bflo_24027, bflo_25088, bflo_24026	CAEEL09812
OG0000205	bflo_23189	CAEEL13029
OG0000205	bflo_18880	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	bflo_13202	CAEEL05874, CAEEL00203
OG0000209	bflo_03650, bflo_03652, bflo_03598, bflo_03648	CAEEL07432
OG0000210	bflo_22179	CAEEL19469
OG0000211	bflo_24378, bflo_09336, bflo_12040, bflo_25935	CAEEL02936
OG0000211	bflo_14216	CAEEL15290
OG0000211	bflo_06051	CAEEL01111, CAEEL01112
OG0000211	bflo_06787	CAEEL02311
OG0000218	bflo_03730, bflo_03990, bflo_03994, bflo_12836, bflo_00660, bflo_12835, bflo_20676, bflo_04003, bflo_04004, bflo_12871	CAEEL07824, CAEEL20213
OG0000218	bflo_08530, bflo_09464	CAEEL19795
OG0000221	bflo_02108, bflo_18535, bflo_18534	CAEEL10747
OG0000221	bflo_00282	CAEEL06648
OG0000223	bflo_09246, bflo_10307, bflo_21359, bflo_21358	CAEEL01621, CAEEL00892
OG0000225	bflo_11467, bflo_12198	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	bflo_12072, bflo_17738	CAEEL12318
OG0000226	bflo_20217, bflo_01950, bflo_20215, bflo_20642, bflo_01174	CAEEL10068, CAEEL15041
OG0000227	bflo_02314, bflo_02307, bflo_02636, bflo_10496	CAEEL19645
OG0000229	bflo_11188, bflo_26414, bflo_25647, bflo_26240, bflo_25510, bflo_18348, bflo_25072, bflo_23578, bflo_25694, bflo_17957, bflo_08566, bflo_09217, bflo_20400, bflo_13429, bflo_08175, bflo_00576, bflo_08161	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	bflo_26037	CAEEL14845, CAEEL19792
OG0000230	bflo_01030, bflo_12873, bflo_09924, bflo_05587, bflo_00602, bflo_06876, bflo_00951, bflo_19945, bflo_19938	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000231	bflo_14395	CAEEL08481
OG0000231	bflo_05103	CAEEL01724
OG0000232	bflo_25827	CAEEL18532, CAEEL19887
OG0000234	bflo_07045	CAEEL02295
OG0000234	bflo_04797	CAEEL03013, CAEEL03014
OG0000235	bflo_22792, bflo_12083, bflo_11065, bflo_11313, bflo_10000, bflo_13433, bflo_13432, bflo_09528, bflo_09189, bflo_19819, bflo_04584, bflo_04593	CAEEL10795, CAEEL07012
OG0000236	bflo_16655	CAEEL19835
OG0000238	bflo_23355, bflo_22808	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	bflo_05968	CAEEL14926
OG0000239	bflo_02152	CAEEL00570
OG0000242	bflo_20686, bflo_18452	CAEEL05291
OG0000242	bflo_03394, bflo_03145	CAEEL05302
OG0000242	bflo_12023	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	bflo_12462, bflo_13161, bflo_26804, bflo_05824	CAEEL11789, CAEEL12688
OG0000245	bflo_22692	CAEEL20391
OG0000248	bflo_17506, bflo_17504, bflo_00059, bflo_17505, bflo_17510, bflo_17509, bflo_17511, bflo_17358	CAEEL17077
OG0000249	bflo_05893	CAEEL02928
OG0000250	bflo_14740	CAEEL07261
OG0000250	bflo_07487	CAEEL04698
OG0000250	bflo_03907	CAEEL06732
