Orthogroup	APOSC_ok	LYTVA_ok
OG0000000	APOSC_11837, APOSC_12606	LYTVA_01679
OG0000000	APOSC_11472, APOSC_29094	LYTVA_01380
OG0000000	APOSC_25410	LYTVA_01827
OG0000000	APOSC_11604	LYTVA_18988
OG0000000	APOSC_28354	LYTVA_18985
OG0000000	APOSC_11544	LYTVA_13103
OG0000000	APOSC_13522	LYTVA_27688
OG0000000	APOSC_04208	LYTVA_22602
OG0000000	APOSC_07565	LYTVA_19974
OG0000000	APOSC_11499	LYTVA_27704
OG0000000	APOSC_22022	LYTVA_08678
OG0000000	APOSC_16565	LYTVA_23667
OG0000000	APOSC_27318	LYTVA_22477
OG0000000	APOSC_06302	LYTVA_22478
OG0000000	APOSC_14732	LYTVA_22480
OG0000000	APOSC_24894	LYTVA_23047
OG0000000	APOSC_24788	LYTVA_14838
OG0000000	APOSC_28968	LYTVA_06897
OG0000000	APOSC_18629	LYTVA_22476
OG0000000	APOSC_01689	LYTVA_22475
OG0000000	APOSC_25317	LYTVA_29838
OG0000000	APOSC_25315, APOSC_25316	LYTVA_29834
OG0000000	APOSC_10621	LYTVA_22714
OG0000000	APOSC_22429	LYTVA_19015
OG0000000	APOSC_04636	LYTVA_26599
OG0000000	APOSC_18693	LYTVA_17046
OG0000000	APOSC_00117	LYTVA_23349
OG0000000	APOSC_08607	LYTVA_23351
OG0000001	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617	LYTVA_16225
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025	LYTVA_14761
