Orthogroup	LYTVA_ok	BRAFL
OG0000000	LYTVA_01679	bflo_10712, bflo_10733
OG0000000	LYTVA_23170	bflo_04183
OG0000000	LYTVA_01380	bflo_24421, bflo_24425, bflo_09165
OG0000000	LYTVA_25096	bflo_08798
OG0000000	LYTVA_01827	bflo_09701
OG0000000	LYTVA_18988	bflo_10072
OG0000000	LYTVA_18985	bflo_10147
OG0000000	LYTVA_13103	bflo_24252
OG0000000	LYTVA_27688	bflo_16111
OG0000000	LYTVA_21959	bflo_26435
OG0000000	LYTVA_22602	bflo_10637
OG0000000	LYTVA_19974	bflo_19045
OG0000000	LYTVA_27704	bflo_00450
OG0000000	LYTVA_08678	bflo_00191
OG0000000	LYTVA_22477	bflo_00195
OG0000000	LYTVA_22480	bflo_00197
OG0000000	LYTVA_23047	bflo_00617, bflo_23916
OG0000000	LYTVA_14838	bflo_00176
OG0000000	LYTVA_06897, LYTVA_22068	bflo_10639
OG0000000	LYTVA_22476	bflo_26449, bflo_00194, bflo_00920
OG0000000	LYTVA_22714, LYTVA_09826	bflo_14857
OG0000000	LYTVA_19015	bflo_26417, bflo_00526
OG0000000	LYTVA_26599	bflo_10437
OG0000000	LYTVA_17046	bflo_10148
OG0000000	LYTVA_23351	bflo_18457
OG0000001	LYTVA_16225	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507
OG0000001	LYTVA_04837, LYTVA_04757, LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761, LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602	bflo_24437, bflo_24440
OG0000002	LYTVA_28398	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674	bflo_03228, bflo_21287, bflo_03227, bflo_23657
OG0000003	LYTVA_28727	bflo_08943
OG0000003	LYTVA_23292	bflo_26615, bflo_04790
OG0000003	LYTVA_20987	bflo_24151
OG0000003	LYTVA_11643	bflo_26599, bflo_26600, bflo_26598, bflo_26004
OG0000003	LYTVA_26946, LYTVA_14926	bflo_02645
OG0000003	LYTVA_27358	bflo_18522
OG0000004	LYTVA_07389, LYTVA_03537	bflo_01803
OG0000004	LYTVA_04400	bflo_05437
OG0000004	LYTVA_27784, LYTVA_21700, LYTVA_21699, LYTVA_11605, LYTVA_23685, LYTVA_10559	bflo_07950
OG0000004	LYTVA_28503, LYTVA_25768	bflo_00119, bflo_00123, bflo_10641, bflo_11199, bflo_10893, bflo_11198, bflo_11206
OG0000004	LYTVA_11730	bflo_04032
OG0000005	LYTVA_24142	bflo_13407
OG0000005	LYTVA_15338, LYTVA_23825	bflo_07266
OG0000005	LYTVA_21111	bflo_10917
OG0000006	LYTVA_15901	bflo_07660
OG0000006	LYTVA_21289	bflo_14856, bflo_15258
OG0000006	LYTVA_12321	bflo_22120
OG0000006	LYTVA_25253	bflo_10066, bflo_10065
OG0000006	LYTVA_07373	bflo_12576
OG0000006	LYTVA_23957	bflo_23572
OG0000006	LYTVA_14827	bflo_23665, bflo_23603
OG0000006	LYTVA_29757	bflo_06220
OG0000006	LYTVA_18169	bflo_08237
OG0000006	LYTVA_29412, LYTVA_25462	bflo_08431
OG0000006	LYTVA_16832	bflo_22598
OG0000006	LYTVA_16844	bflo_15412
OG0000006	LYTVA_08878	bflo_10980
OG0000007	LYTVA_29912	bflo_13266
OG0000007	LYTVA_22273	bflo_05651
OG0000007	LYTVA_23216	bflo_16444, bflo_15598
OG0000007	LYTVA_18159	bflo_06255
OG0000007	LYTVA_27359	bflo_25603
OG0000007	LYTVA_29395	bflo_23632
OG0000007	LYTVA_10898	bflo_13761
OG0000007	LYTVA_17245	bflo_13892
OG0000007	LYTVA_04121	bflo_13084
OG0000007	LYTVA_25288	bflo_16800
OG0000007	LYTVA_03206	bflo_12369, bflo_21087
OG0000007	LYTVA_12379, LYTVA_12378	bflo_23309
OG0000007	LYTVA_12480	bflo_23091
OG0000007	LYTVA_06652	bflo_23283
OG0000007	LYTVA_22810, LYTVA_20192	bflo_09771
OG0000007	LYTVA_19839	bflo_24497
OG0000007	LYTVA_05177	bflo_11392
OG0000008	LYTVA_21710	bflo_04328
OG0000008	LYTVA_29228	bflo_09106, bflo_19282
OG0000008	LYTVA_21093	bflo_01785
OG0000008	LYTVA_19305	bflo_12140
OG0000009	LYTVA_29726, LYTVA_09948, LYTVA_07513, LYTVA_08964, LYTVA_09966, LYTVA_22916	bflo_13658
OG0000009	LYTVA_14775	bflo_22837, bflo_19871, bflo_04807, bflo_11131, bflo_22838, bflo_04755
OG0000009	LYTVA_30063, LYTVA_15489	bflo_25982, bflo_13010
OG0000010	LYTVA_21273	bflo_15348, bflo_17410, bflo_07653, bflo_07652, bflo_08405, bflo_08413, bflo_08396, bflo_08404, bflo_07883
OG0000011	LYTVA_13841, LYTVA_28284	bflo_20761, bflo_05867
OG0000011	LYTVA_28379, LYTVA_03236, LYTVA_09817	bflo_13676
