BRALA31859	bflo_00016
BRALA18019	bflo_00017
BRALA17748	bflo_00031
BRALA11384	bflo_00033
BRALA20604	bflo_00049
BRALA24345	bflo_00050
BRALA24349	bflo_00051
BRALA30263	bflo_00059
BRALA24389	bflo_00061
BRALA03326	bflo_00068
BRALA27083	bflo_00072
BRALA34857	bflo_00074
BRALA14196	bflo_00079
BRALA15757	bflo_00089
BRALA32820	bflo_00098
BRALA00517	bflo_00105
BRALA00503	bflo_00109
BRALA35158	bflo_00110
BRALA00500	bflo_00112
BRALA00489	bflo_00115
BRALA29041	bflo_00120
BRALA00549	bflo_00127
BRALA00551	bflo_00128
BRALA00574	bflo_00135
BRALA12842	bflo_00140
BRALA16039	bflo_00142
BRALA07578	bflo_00162
BRALA30896	bflo_00163
BRALA00564	bflo_00169
BRALA00290	bflo_00170
BRALA00289	bflo_00171
BRALA00080	bflo_00173
BRALA32816	bflo_00174
BRALA00079	bflo_00176
BRALA00477	bflo_00177
BRALA10753	bflo_00180
BRALA10752	bflo_00181
BRALA14563	bflo_00182
BRALA00391	bflo_00183
BRALA00415	bflo_00184
BRALA00417	bflo_00186
BRALA10738	bflo_00187
BRALA00123	bflo_00190
BRALA00115	bflo_00191
BRALA00120	bflo_00195
BRALA00116	bflo_00196
BRALA00388	bflo_00200
BRALA10734	bflo_00201
BRALA10741	bflo_00202
BRALA10740	bflo_00203
BRALA16533	bflo_00204
BRALA00543	bflo_00205
BRALA00107	bflo_00206
BRALA00094	bflo_00207
BRALA18572	bflo_00210
BRALA18571	bflo_00212
BRALA00546	bflo_00214
BRALA00547	bflo_00215
BRALA00548	bflo_00216
BRALA00378	bflo_00217
BRALA25171	bflo_00222
BRALA00365	bflo_00223
BRALA10605	bflo_00224
BRALA00561	bflo_00225
BRALA00562	bflo_00227
BRALA10580	bflo_00230
BRALA10599	bflo_00231
BRALA18608	bflo_00232
BRALA18606	bflo_00233
BRALA00351	bflo_00236
BRALA13338	bflo_00238
BRALA33419	bflo_00239
BRALA00473	bflo_00241
BRALA13451	bflo_00242
BRALA00407	bflo_00243
BRALA00327	bflo_00245
BRALA00098	bflo_00246
BRALA00578	bflo_00247
BRALA00413	bflo_00248
BRALA00412	bflo_00249
BRALA00432	bflo_00250
BRALA00576	bflo_00253
BRALA32722	bflo_00254
BRALA00361	bflo_00257
BRALA15542	bflo_00258
BRALA00377	bflo_00260
BRALA00152	bflo_00263
BRALA00202	bflo_00265
BRALA00200	bflo_00267
BRALA00199	bflo_00268
BRALA08424	bflo_00269
BRALA00196	bflo_00271
BRALA00194	bflo_00272
BRALA00195	bflo_00273
BRALA10600	bflo_00274
BRALA00570	bflo_00276
BRALA08425	bflo_00277
BRALA00568	bflo_00278
BRALA06574	bflo_00280
BRALA10744	bflo_00281
BRALA10634	bflo_00282
BRALA00220	bflo_00287
BRALA00229	bflo_00289
BRALA00073	bflo_00290
BRALA17064	bflo_00293
BRALA00221	bflo_00298
BRALA18596	bflo_00301
BRALA18597	bflo_00303
BRALA00457	bflo_00305
BRALA10607	bflo_00307
BRALA00113	bflo_00308
BRALA00338	bflo_00311
BRALA00429	bflo_00313
BRALA10593	bflo_00314
BRALA10590	bflo_00315
BRALA00358	bflo_00317
BRALA00359	bflo_00318
BRALA00366	bflo_00319
BRALA01478	bflo_00320
BRALA00375	bflo_00323
BRALA00396	bflo_00325
BRALA00397	bflo_00327
BRALA18615	bflo_00328
BRALA18614	bflo_00329
BRALA31622	bflo_00332
BRALA01571	bflo_00336
BRALA10584	bflo_00340
BRALA18564	bflo_00341
BRALA00402	bflo_00343
BRALA00556	bflo_00347
BRALA00557	bflo_00348
BRALA34405	bflo_00350
BRALA00544	bflo_00353
BRALA00360	bflo_00354
BRALA10606	bflo_00355
BRALA18560	bflo_00358
BRALA18562	bflo_00359
BRALA33599	bflo_00362
BRALA10732	bflo_00363
BRALA17534	bflo_00365
BRALA00354	bflo_00366
BRALA00089	bflo_00368
BRALA00088	bflo_00369
BRALA00394	bflo_00371
BRALA00336	bflo_00372
BRALA16587	bflo_00375
BRALA10695	bflo_00378
BRALA10675	bflo_00381
BRALA10654	bflo_00383
BRALA10689	bflo_00386
BRALA10658	bflo_00387
BRALA10664	bflo_00388
BRALA10663	bflo_00390
BRALA10686	bflo_00392
BRALA10676	bflo_00394
BRALA10668	bflo_00396
BRALA10665	bflo_00397
BRALA10656	bflo_00400
BRALA22860	bflo_00401
BRALA10694	bflo_00403
BRALA10683	bflo_00406
BRALA10666	bflo_00407
BRALA10693	bflo_00409
BRALA10687	bflo_00413
BRALA10650	bflo_00415
BRALA14382	bflo_00418
BRALA10662	bflo_00422
BRALA16603	bflo_00425
BRALA18556	bflo_00428
BRALA00367	bflo_00429
BRALA10588	bflo_00432
BRALA00145	bflo_00433
BRALA00143	bflo_00435
BRALA22907	bflo_00436
BRALA00142	bflo_00438
BRALA10641	bflo_00439
BRALA10640	bflo_00440
BRALA10639	bflo_00441
BRALA00343	bflo_00442
BRALA18613	bflo_00444
BRALA10754	bflo_00445
BRALA00398	bflo_00446
BRALA00241	bflo_00447
BRALA31936	bflo_00448
BRALA23752	bflo_00452
BRALA00277	bflo_00455
BRALA00205	bflo_00456
BRALA00262	bflo_00457
BRALA00267	bflo_00458
BRALA00444	bflo_00459
BRALA18612	bflo_00461
BRALA00347	bflo_00462
BRALA00348	bflo_00463
BRALA18555	bflo_00464
BRALA10751	bflo_00465
BRALA32665	bflo_00469
BRALA25174	bflo_00473
BRALA25173	bflo_00475
BRALA24859	bflo_00478
BRALA11558	bflo_00481
BRALA24866	bflo_00484
BRALA26623	bflo_00486
BRALA05653	bflo_00494
BRALA23769	bflo_00502
BRALA24861	bflo_00504
BRALA24865	bflo_00505
BRALA04247	bflo_00514
BRALA25467	bflo_00516
BRALA00111	bflo_00520
BRALA00112	bflo_00521
BRALA00109	bflo_00523
BRALA32964	bflo_00525
BRALA00135	bflo_00526
BRALA00253	bflo_00527
BRALA00252	bflo_00528
BRALA00238	bflo_00532
BRALA10723	bflo_00540
BRALA10708	bflo_00541
BRALA16567	bflo_00545
BRALA10692	bflo_00547
BRALA10673	bflo_00549
BRALA10672	bflo_00550
BRALA33987	bflo_00555
BRALA00133	bflo_00560
BRALA10632	bflo_00563
BRALA10631	bflo_00564
BRALA00293	bflo_00571
BRALA00271	bflo_00572
BRALA00272	bflo_00573
BRALA00288	bflo_00577
BRALA10986	bflo_00578
BRALA00237	bflo_00581
BRALA00235	bflo_00582
BRALA00234	bflo_00585
BRALA00233	bflo_00586
BRALA00219	bflo_00588
BRALA18573	bflo_00592
BRALA33132	bflo_00593
BRALA19968	bflo_00597
BRALA07900	bflo_00598
BRALA00197	bflo_00599
BRALA33988	bflo_00602
BRALA00171	bflo_00609
BRALA00129	bflo_00614
BRALA00439	bflo_00617
BRALA10586	bflo_00618
BRALA10587	bflo_00620
BRALA10589	bflo_00621
BRALA10594	bflo_00622
BRALA10685	bflo_00625
BRALA00639	bflo_00627
BRALA00294	bflo_00629
BRALA00637	bflo_00630
BRALA00316	bflo_00631
BRALA00627	bflo_00632
BRALA10609	bflo_00635
BRALA00623	bflo_00636
BRALA00624	bflo_00637
BRALA10615	bflo_00638
BRALA00628	bflo_00641
BRALA10616	bflo_00642
BRALA08464	bflo_00643
BRALA00318	bflo_00645
BRALA08461	bflo_00646
BRALA10612	bflo_00647
BRALA10581	bflo_00648
BRALA10621	bflo_00651
BRALA10614	bflo_00652
BRALA10610	bflo_00653
BRALA00634	bflo_00659
BRALA10611	bflo_00660
BRALA00638	bflo_00661
BRALA22250	bflo_00662
BRALA00622	bflo_00663
BRALA00480	bflo_00668
BRALA18588	bflo_00671
BRALA18554	bflo_00673
BRALA00278	bflo_00674
BRALA18219	bflo_00675
BRALA00276	bflo_00676
BRALA00270	bflo_00677
BRALA00269	bflo_00678
BRALA00273	bflo_00679
BRALA00242	bflo_00682
BRALA18610	bflo_00684
BRALA00086	bflo_00685
BRALA00085	bflo_00686
BRALA10628	bflo_00687
BRALA00325	bflo_00698
BRALA31267	bflo_00699
BRALA00323	bflo_00700
BRALA26744	bflo_00702
BRALA03224	bflo_00704
BRALA00339	bflo_00706
BRALA01710	bflo_00707
BRALA00326	bflo_00713
BRALA10642	bflo_00714
BRALA18602	bflo_00718
BRALA00321	bflo_00719
BRALA00565	bflo_00720
BRALA25169	bflo_00722
BRALA00329	bflo_00726
BRALA00035	bflo_00727
BRALA00374	bflo_00731
BRALA00021	bflo_00736
BRALA00340	bflo_00738
BRALA10697	bflo_00749
BRALA10712	bflo_00750
BRALA10705	bflo_00751
BRALA10706	bflo_00753
BRALA10713	bflo_00754
BRALA10715	bflo_00756
BRALA08313	bflo_00759
BRALA10710	bflo_00765
BRALA10726	bflo_00766
BRALA10703	bflo_00768
BRALA10724	bflo_00771
BRALA01711	bflo_00773
BRALA18598	bflo_00776
BRALA17892	bflo_00794
BRALA27928	bflo_00799
BRALA05511	bflo_00802
BRALA00596	bflo_00805
BRALA00026	bflo_00808
BRALA00594	bflo_00812
BRALA00595	bflo_00813
BRALA00593	bflo_00814
BRALA00380	bflo_00815
BRALA22509	bflo_00817
BRALA00082	bflo_00820
BRALA18595	bflo_00822
BRALA10731	bflo_00825
BRALA00516	bflo_00828
BRALA00529	bflo_00831
BRALA00498	bflo_00832
BRALA00535	bflo_00834
BRALA00534	bflo_00835
BRALA00528	bflo_00836
BRALA00495	bflo_00838
BRALA00492	bflo_00839
BRALA00526	bflo_00840
BRALA00523	bflo_00841
BRALA00497	bflo_00843
BRALA00488	bflo_00846
BRALA00487	bflo_00847
BRALA00522	bflo_00848
BRALA00527	bflo_00853
BRALA00540	bflo_00856
BRALA17882	bflo_00859
BRALA00519	bflo_00860
BRALA00532	bflo_00862
BRALA00511	bflo_00866
BRALA00506	bflo_00871
BRALA00541	bflo_00872
BRALA17881	bflo_00874
BRALA00126	bflo_00875
BRALA26947	bflo_00877
BRALA10635	bflo_00878
BRALA17883	bflo_00881
BRALA10637	bflo_00882
BRALA00092	bflo_00883
BRALA00328	bflo_00885
BRALA29707	bflo_00893
BRALA24870	bflo_00895
BRALA26659	bflo_00897
BRALA17889	bflo_00898
BRALA26657	bflo_00899
BRALA26658	bflo_00900
BRALA26656	bflo_00901
BRALA26652	bflo_00903
BRALA17891	bflo_00905
BRALA26648	bflo_00907
BRALA26647	bflo_00908
BRALA31588	bflo_00910
BRALA08657	bflo_00912
BRALA31590	bflo_00914
BRALA24848	bflo_00917
BRALA24850	bflo_00918
BRALA00124	bflo_00920
BRALA00208	bflo_00921
BRALA00446	bflo_00922
BRALA00280	bflo_00923
BRALA00399	bflo_00926
BRALA00455	bflo_00927
BRALA18574	bflo_00929
BRALA18576	bflo_00931
BRALA18575	bflo_00932
BRALA18578	bflo_00933
BRALA00259	bflo_00934
BRALA00260	bflo_00936
BRALA00255	bflo_00939
BRALA10643	bflo_00941
BRALA00203	bflo_00942
BRALA00213	bflo_00944
BRALA14374	bflo_00952
BRALA17895	bflo_00953
BRALA24856	bflo_00957
BRALA24851	bflo_00958
BRALA10729	bflo_00961
BRALA10755	bflo_00962
BRALA13756	bflo_00964
BRALA13754	bflo_00966
