Orthogroup	SACKO_ok	STRPU_ok
OG0000000	SACKO_12749	STRPU_10146, STRPU_10084
OG0000000	SACKO_19677	STRPU_22262
OG0000000	SACKO_25619	STRPU_10304
OG0000000	SACKO_05553	STRPU_10083, STRPU_10145
OG0000000	SACKO_16683	STRPU_10015
OG0000000	SACKO_25799	STRPU_10016
OG0000000	SACKO_08208, SACKO_08197	STRPU_19865, STRPU_19892
OG0000000	SACKO_32730, SACKO_17792	STRPU_02929
OG0000000	SACKO_03962	STRPU_19906
OG0000000	SACKO_19489	STRPU_03800
OG0000000	SACKO_26485	STRPU_23673, STRPU_23648
OG0000000	SACKO_31887	STRPU_09982, STRPU_09961
OG0000000	SACKO_26668	STRPU_23557
OG0000000	SACKO_24012	STRPU_23206
OG0000000	SACKO_11590	STRPU_05654
OG0000000	SACKO_11588	STRPU_05390
OG0000000	SACKO_24002	STRPU_23197, STRPU_23198
OG0000000	SACKO_24031	STRPU_23196
OG0000000	SACKO_24025	STRPU_23194
OG0000000	SACKO_26673	STRPU_23756
OG0000000	SACKO_06485	STRPU_22253
OG0000000	SACKO_31872	STRPU_09852
OG0000000	SACKO_24017	STRPU_23199
OG0000000	SACKO_23999	STRPU_23200
OG0000000	SACKO_23994, SACKO_24038	STRPU_25072
OG0000000	SACKO_11599	STRPU_05830
OG0000000	SACKO_22872	STRPU_23207
OG0000000	SACKO_31901	STRPU_10189
OG0000000	SACKO_31899	STRPU_09890
OG0000000	SACKO_11978	STRPU_21017
OG0000000	SACKO_12011	STRPU_21014
OG0000001	SACKO_32654, SACKO_33857	STRPU_14334
OG0000001	SACKO_04733	STRPU_00074
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
