Orthogroup	PFLAV	APOSC_ok
OG0000000	TCONS_00026365.p1	APOSC_11837, APOSC_12606
OG0000000	TCONS_00027826.p1	APOSC_11472, APOSC_29094
OG0000000	TCONS_00026836.p1	APOSC_19214
OG0000000	TCONS_00026612.p1	APOSC_25410
OG0000000	TCONS_00026711.p1	APOSC_11604
OG0000000	TCONS_00026377.p1	APOSC_28354
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	APOSC_19137
OG0000000	TCONS_00018852.p1	APOSC_11544
OG0000000	TCONS_00015367.p1	APOSC_13522
OG0000000	TCONS_00017786.p1	APOSC_06717
OG0000000	TCONS_00026487.p1	APOSC_04208
OG0000000	TCONS_00010493.p1	APOSC_07565
OG0000000	TCONS_00020105.p1	APOSC_11499
OG0000000	TCONS_00032259.p1	APOSC_22022
OG0000000	TCONS_00043772.p1	APOSC_04964
OG0000000	TCONS_00032261.p1	APOSC_22917
OG0000000	TCONS_00043771.p1	APOSC_16565
OG0000000	TCONS_00032269.p1	APOSC_27318
OG0000000	TCONS_00032267.p1	APOSC_06302
OG0000000	TCONS_00032264.p1	APOSC_14732
OG0000000	TCONS_00019139.p1	APOSC_24894
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	APOSC_24788
OG0000000	TCONS_00027510.p1	APOSC_28968
OG0000000	TCONS_00032270.p1	APOSC_18629
OG0000000	TCONS_00032272.p1	APOSC_01689
OG0000000	TCONS_00031628.p1, TCONS_00031626.p1	APOSC_01343
OG0000000	TCONS_00042478.p1	APOSC_10621
OG0000000	TCONS_00031629.p1	APOSC_22429
OG0000000	TCONS_00026601.p1	APOSC_04636
OG0000000	TCONS_00026600.p1	APOSC_18693
OG0000000	TCONS_00009627.p1	APOSC_00117
OG0000000	TCONS_00009628.p1	APOSC_08607
OG0000001	TCONS_00027439.p1	APOSC_14768, APOSC_07507, APOSC_17360
OG0000001	TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	APOSC_22349, APOSC_16849
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025, APOSC_02499, APOSC_01751, APOSC_07766
OG0000002	TCONS_00010137.p1	APOSC_17563
OG0000002	TCONS_00028990.p1, TCONS_00028992.p1	APOSC_00935
OG0000002	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1	APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563, APOSC_04905
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	APOSC_26642
OG0000002	TCONS_00048938.p1	APOSC_19154
OG0000003	TCONS_00052987.p1	APOSC_22070, APOSC_13273, APOSC_13272
OG0000003	TCONS_00043593.p1	APOSC_21853
OG0000003	TCONS_00012459.p1	APOSC_21855
OG0000003	TCONS_00053405.p1	APOSC_06907, APOSC_24394
OG0000003	TCONS_00013647.p1	APOSC_08634
OG0000003	TCONS_00013600.p1	APOSC_17084
OG0000003	TCONS_00031472.p1	APOSC_20058
OG0000003	TCONS_00006180.p1	APOSC_22147
OG0000003	TCONS_00005704.p1	APOSC_05500
OG0000003	TCONS_00013648.p1, TCONS_00013356.p1	APOSC_06472
OG0000004	TCONS_00030290.p1	APOSC_21785
