Orthogroup	YEAST	OWEFU
OG0000000	YEAST00701	OFUSG19483.1.p1, OFUSG18880.1.p1, OFUSG13305.1.p1, OFUSG05593.1.p1, OFUSG05592.1.p1, OFUSG18918.1.p1, OFUSG06560.1.p1, OFUSG05489.1.p1, OFUSG05755.1.p1, OFUSG06621.1.p1, OFUSG06970.1.p1, OFUSG05968.1.p1, OFUSG07309.1.p1, OFUSG07308.1.p1, OFUSG07307.1.p1, OFUSG08786.1.p1, OFUSG09074.1.p1, OFUSG17443.1.p1, OFUSG19303.1.p1, OFUSG12013.1.p1, OFUSG17426.1.p1, OFUSG13332.1.p1, OFUSG03265.2.p2, OFUSG03265.1.p1, OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1, OFUSG03302.1.p1, OFUSG13337.1.p1, OFUSG13338.1.p1, OFUSG13339.1.p1, OFUSG13340.1.p1, OFUSG13335.1.p1, OFUSG13336.1.p1, OFUSG17003.1.p1, OFUSG21200.1.p1
OG0000000	YEAST04484	OFUSG13341.1.p1
OG0000006	YEAST01430	OFUSG11531.1.p1
OG0000007	YEAST00671	OFUSG09682.1.p1, OFUSG09683.1.p1, OFUSG03082.1.p1, OFUSG03081.1.p1, OFUSG03083.1.p1, OFUSG03084.1.p1, OFUSG24642.1.p1, OFUSG20993.1.p1, OFUSG09684.1.p1, OFUSG19661.1.p1, OFUSG08948.1.p1
OG0000011	YEAST02600, YEAST01619	OFUSG08075.1.p1
OG0000013	YEAST04082	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1, OFUSG22080.1.p1, OFUSG21776.1.p1, OFUSG21777.1.p1, OFUSG21778.1.p1, OFUSG07725.1.p1, OFUSG04939.1.p1, OFUSG09923.1.p1, OFUSG07566.1.p1, OFUSG15127.1.p1, OFUSG25693.1.p1, OFUSG22269.1.p1, OFUSG22270.1.p1, OFUSG25367.1.p1, OFUSG17345.1.p1, OFUSG21758.1.p1, OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1, OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1, OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1, OFUSG01558.1.p1, OFUSG00805.1.p1, OFUSG17822.1.p1, OFUSG17822.2.p1, OFUSG17822.3.p1, OFUSG19797.2.p1, OFUSG19797.1.p1, OFUSG07199.1.p1, OFUSG09163.2.p1, OFUSG09163.1.p1, OFUSG13990.1.p1, OFUSG08633.1.p1, OFUSG08630.1.p1, OFUSG25989.2.p1, OFUSG25989.1.p1, OFUSG14771.1.p1, OFUSG25832.1.p1
OG0000016	YEAST03839, YEAST02807, YEAST03817	OFUSG06389.1.p1, OFUSG16773.1.p1, OFUSG24893.1.p1, OFUSG14051.1.p1
OG0000016	YEAST03870, YEAST01103	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1, OFUSG10402.1.p1, OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1, OFUSG03176.1.p1
OG0000031	YEAST05574	OFUSG02441.1.p1
