Orthogroup	BRALA	APOSC_ok
OG0000000	BRALA16375, BRALA16376	APOSC_11837, APOSC_12606
OG0000000	BRALA19584, BRALA19585, BRALA25857	APOSC_11472, APOSC_29094
OG0000000	BRALA24482	APOSC_25410
OG0000000	BRALA16262	APOSC_11604
OG0000000	BRALA16263	APOSC_28354
OG0000000	BRALA18359	APOSC_19137
OG0000000	BRALA29522	APOSC_11544
OG0000000	BRALA21349	APOSC_13522
OG0000000	BRALA24707	APOSC_06717
OG0000000	BRALA28387	APOSC_04208
OG0000000	BRALA21476	APOSC_07565
OG0000000	BRALA00440	APOSC_11499
OG0000000	BRALA00115	APOSC_22022
OG0000000	BRALA11736	APOSC_04964
OG0000000	BRALA11734	APOSC_16565
OG0000000	BRALA00119, BRALA00120, BRALA00121	APOSC_27318
OG0000000	BRALA00118	APOSC_14732
OG0000000	BRALA00439, BRALA26541	APOSC_24894
OG0000000	BRALA00079	APOSC_24788
OG0000000	BRALA34448	APOSC_28968
OG0000000	BRALA00125, BRALA00124	APOSC_18629
OG0000000	BRALA11733	APOSC_10621
OG0000000	BRALA00135	APOSC_22429
OG0000000	BRALA30674	APOSC_04636
OG0000000	BRALA30673	APOSC_18693
OG0000000	BRALA17840	APOSC_08607
OG0000001	BRALA17635	APOSC_11325, APOSC_21373
OG0000001	BRALA22324, BRALA14825	APOSC_22156, APOSC_01815, APOSC_16060, APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617
OG0000001	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939	APOSC_14768, APOSC_07507, APOSC_17360
OG0000001	BRALA14819	APOSC_22349, APOSC_16849
OG0000001	BRALA19588, BRALA19586	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025, APOSC_02499, APOSC_01751, APOSC_07766
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	APOSC_17563
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	APOSC_09040, APOSC_26016
OG0000002	BRALA20754	APOSC_26642
OG0000002	BRALA27121	APOSC_19154
OG0000003	BRALA32340, BRALA28950	APOSC_09420
OG0000003	BRALA27165	APOSC_06907, APOSC_24394
OG0000003	BRALA34993, BRALA18601	APOSC_02274
OG0000003	BRALA05750	APOSC_01247, APOSC_01039
OG0000003	BRALA30232, BRALA07610	APOSC_20058
OG0000003	BRALA24754	APOSC_22836
OG0000003	BRALA31768, BRALA11276	APOSC_05500
OG0000003	BRALA02711, BRALA07070, BRALA31766, BRALA29565, BRALA07069, BRALA20351	APOSC_20479
OG0000003	BRALA14502	APOSC_03822
OG0000003	BRALA01914, BRALA01313, BRALA17936, BRALA23610	APOSC_06472
OG0000004	BRALA09016	APOSC_03634
OG0000004	BRALA16167	APOSC_06431, APOSC_27025
OG0000004	BRALA27667	APOSC_21785
OG0000004	BRALA08526	APOSC_18755
OG0000004	BRALA03961	APOSC_02487, APOSC_00158
OG0000005	BRALA25414, BRALA34368	APOSC_24691
OG0000005	BRALA00382	APOSC_28430, APOSC_12554
OG0000005	BRALA31589	APOSC_26754
OG0000005	BRALA15287	APOSC_15445, APOSC_13185, APOSC_03153
OG0000006	BRALA07705	APOSC_21099
OG0000006	BRALA06686	APOSC_10640
OG0000006	BRALA19242	APOSC_17637
OG0000006	BRALA06109	APOSC_08216
OG0000006	BRALA07568, BRALA29276	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	BRALA22280	APOSC_25251, APOSC_25252
OG0000006	BRALA06185	APOSC_19228
OG0000006	BRALA17603	APOSC_11581
OG0000006	BRALA03602	APOSC_02745
OG0000006	BRALA17591	APOSC_10711
OG0000006	BRALA24372	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	BRALA24994	APOSC_06790, APOSC_06791
OG0000007	BRALA03259	APOSC_04982
OG0000007	BRALA13447, BRALA13448	APOSC_19545
OG0000007	BRALA20872, BRALA20870	APOSC_11262
OG0000007	BRALA09541	APOSC_11791
OG0000007	BRALA31416	APOSC_07509
OG0000007	BRALA03260	APOSC_11745
OG0000007	BRALA20579	APOSC_20868
OG0000007	BRALA03286	APOSC_21514
OG0000007	BRALA03282	APOSC_25152
OG0000007	BRALA25787	APOSC_15698
OG0000007	BRALA26097, BRALA14947	APOSC_04562
OG0000007	BRALA22487	APOSC_09541, APOSC_09542
OG0000007	BRALA06491	APOSC_22651
