Orthogroup	CAEEL	OWEFU
OG0000000	CAEEL18735	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	CAEEL01893	OFUSG18918.1.p1
OG0000000	CAEEL08140	OFUSG06560.1.p1
OG0000000	CAEEL18754	OFUSG05489.1.p1, OFUSG05755.1.p1
OG0000000	CAEEL06523	OFUSG06970.1.p1
OG0000000	CAEEL00081	OFUSG05968.1.p1
OG0000000	CAEEL18467, CAEEL18466	OFUSG07309.1.p1, OFUSG07308.1.p1, OFUSG07307.1.p1
OG0000000	CAEEL04771	OFUSG09074.1.p1
OG0000000	CAEEL10851	OFUSG17443.1.p1
OG0000000	CAEEL18086	OFUSG19303.1.p1
OG0000000	CAEEL05734	OFUSG17426.1.p1
OG0000000	CAEEL08092	OFUSG13332.1.p1
OG0000000	CAEEL08135, CAEEL08091	OFUSG03265.2.p2, OFUSG03265.1.p1, OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1, OFUSG03302.1.p1, OFUSG13337.1.p1, OFUSG13338.1.p1, OFUSG13339.1.p1, OFUSG13340.1.p1, OFUSG13335.1.p1, OFUSG13336.1.p1
OG0000000	CAEEL00979	OFUSG17003.1.p1
OG0000000	CAEEL19601	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	OFUSG23416.1.p1
OG0000000	CAEEL07441	OFUSG03177.1.p1
OG0000000	CAEEL08137, CAEEL17599	OFUSG13341.1.p1
OG0000000	CAEEL08875	OFUSG12947.1.p1
OG0000000	CAEEL16213	OFUSG06109.1.p1, OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1, OFUSG21806.1.p1
OG0000001	CAEEL14831	OFUSG17419.1.p1
OG0000001	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770	OFUSG10216.1.p1, OFUSG15117.1.p1
OG0000001	CAEEL14137	OFUSG13301.1.p1, OFUSG13891.1.p1, OFUSG11967.1.p1
OG0000001	CAEEL17898, CAEEL19147	OFUSG04205.1.p1
OG0000001	CAEEL00597, CAEEL06285	OFUSG07127.1.p1, OFUSG03269.1.p1
OG0000001	CAEEL10382	OFUSG06369.1.p1, OFUSG09030.1.p1
OG0000002	CAEEL18977	OFUSG18506.1.p1
OG0000003	CAEEL18127	OFUSG21334.1.p1
OG0000003	CAEEL14751	OFUSG05190.1.p1, OFUSG05194.1.p1
OG0000003	CAEEL20577	OFUSG12884.1.p1
OG0000003	CAEEL19939	OFUSG03893.1.p1, OFUSG08977.2.p1, OFUSG08977.1.p1, OFUSG21073.1.p1
OG0000005	CAEEL05785, CAEEL06862	OFUSG03264.1.p1
OG0000005	CAEEL13168	OFUSG15197.1.p1, OFUSG15195.1.p1
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	OFUSG14951.1.p1, OFUSG10608.1.p1, OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1, OFUSG26276.1.p1
OG0000006	CAEEL00696	OFUSG02905.1.p1
OG0000006	CAEEL19824	OFUSG03891.1.p1
OG0000006	CAEEL07700	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	CAEEL05532	OFUSG10782.1.p1
OG0000006	CAEEL01533	OFUSG08659.1.p1
OG0000006	CAEEL12101	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	CAEEL00153	OFUSG11740.1.p1
OG0000006	CAEEL17819	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	CAEEL15182	OFUSG11470.1.p1
OG0000007	CAEEL04050	OFUSG09476.1.p1
OG0000007	CAEEL17965	OFUSG21527.1.p1
OG0000007	CAEEL05829	OFUSG13716.1.p1
OG0000007	CAEEL01108	OFUSG04768.1.p1
OG0000007	CAEEL01984	OFUSG09682.1.p1, OFUSG09683.1.p1
OG0000007	CAEEL10238, CAEEL04602	OFUSG10014.1.p1, OFUSG24641.1.p1, OFUSG25429.1.p1, OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	CAEEL18586	OFUSG25241.1.p1
OG0000008	CAEEL19465, CAEEL14382	OFUSG22532.1.p1, OFUSG22531.1.p1, OFUSG22625.1.p1, OFUSG22623.1.p1, OFUSG20244.1.p1, OFUSG11838.1.p1, OFUSG11837.1.p1, OFUSG02607.1.p1, OFUSG06031.1.p1, OFUSG02120.1.p1, OFUSG12365.1.p1, OFUSG06314.1.p1, OFUSG16783.1.p1, OFUSG22288.1.p1
OG0000010	CAEEL10534	OFUSG05937.1.p1
OG0000010	CAEEL04259	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	CAEEL10902	OFUSG10776.1.p1
OG0000012	CAEEL20690	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1
OG0000013	CAEEL13907, CAEEL07369, CAEEL11453, CAEEL08591	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1
OG0000013	CAEEL19127	OFUSG22080.1.p1, OFUSG21776.1.p1, OFUSG21777.1.p1, OFUSG21778.1.p1, OFUSG07725.1.p1, OFUSG04939.1.p1, OFUSG09923.1.p1, OFUSG07566.1.p1, OFUSG15127.1.p1, OFUSG25693.1.p1, OFUSG22269.1.p1, OFUSG22270.1.p1, OFUSG25367.1.p1, OFUSG17345.1.p1, OFUSG21758.1.p1, OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1, OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1
OG0000014	CAEEL20221	OFUSG17822.1.p1, OFUSG17822.2.p1, OFUSG17822.3.p1
OG0000014	CAEEL18775	OFUSG19797.2.p1, OFUSG19797.1.p1, OFUSG07199.1.p1, OFUSG09163.2.p1, OFUSG09163.1.p1
OG0000014	CAEEL04834, CAEEL20733	OFUSG13990.1.p1
OG0000015	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	CAEEL09145	OFUSG03121.2.p1, OFUSG03121.1.p1
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	CAEEL20493	OFUSG16773.1.p1
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1, OFUSG10402.1.p1, OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1, OFUSG03176.1.p1
OG0000016	CAEEL18647	OFUSG06388.1.p1, OFUSG18492.1.p1, OFUSG13895.1.p1
OG0000019	CAEEL15403	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	OFUSG08823.1.p1, OFUSG13356.1.p1, OFUSG19013.1.p1, OFUSG10140.1.p1, OFUSG08979.1.p1, OFUSG23567.1.p1, OFUSG09103.1.p1
OG0000021	CAEEL15603	OFUSG18643.1.p1
OG0000021	CAEEL08491	OFUSG24044.1.p1
OG0000021	CAEEL00422	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	CAEEL00784, CAEEL15377	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000026	CAEEL08121	OFUSG02601.1.p1
OG0000026	CAEEL07477	OFUSG02974.1.p1
OG0000026	CAEEL09711	OFUSG24598.1.p1
OG0000027	CAEEL17825	OFUSG21901.2.p1, OFUSG21901.1.p1
