Orthogroup	SACKO_ok	BRAFL
OG0000000	SACKO_12749	bflo_10712, bflo_10733
OG0000000	SACKO_19677	bflo_04183
OG0000000	SACKO_25619	bflo_24421, bflo_24425, bflo_09165
OG0000000	SACKO_25616	bflo_24954
OG0000000	SACKO_05553	bflo_09701
OG0000000	SACKO_16683	bflo_10072
OG0000000	SACKO_25799	bflo_10147
OG0000000	SACKO_25349, SACKO_25351	bflo_10759, bflo_10751
OG0000000	SACKO_24146, SACKO_24093, SACKO_24170	bflo_23278
OG0000000	SACKO_08208, SACKO_08197	bflo_16599
OG0000000	SACKO_32730, SACKO_17792	bflo_24252
OG0000000	SACKO_03962	bflo_16111
OG0000000	SACKO_19489	bflo_08732
OG0000000	SACKO_26485	bflo_26435
OG0000000	SACKO_31887	bflo_10637
OG0000000	SACKO_26668	bflo_00450
OG0000000	SACKO_24012	bflo_00191
OG0000000	SACKO_11590	bflo_15523
OG0000000	SACKO_24040	bflo_00189, bflo_00196
OG0000000	SACKO_24002	bflo_00195
OG0000000	SACKO_24024	bflo_00192
OG0000000	SACKO_24025	bflo_00197
OG0000000	SACKO_26673	bflo_00617, bflo_23916
OG0000000	SACKO_06485	bflo_00176
OG0000000	SACKO_31872	bflo_10639
OG0000000	SACKO_24017	bflo_26449, bflo_00194, bflo_00920
OG0000000	SACKO_15987	bflo_26443
OG0000000	SACKO_11599	bflo_14857
OG0000000	SACKO_22872	bflo_26417, bflo_00526
OG0000000	SACKO_31901	bflo_10437
OG0000000	SACKO_31899	bflo_10148
OG0000000	SACKO_12011	bflo_18457
OG0000001	SACKO_11349	bflo_16887
OG0000001	SACKO_04733	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927
OG0000001	SACKO_18839	bflo_27403
OG0000001	SACKO_04743, SACKO_04719	bflo_13782
OG0000001	SACKO_23106	bflo_21347, bflo_23767, bflo_16185
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	bflo_24437, bflo_24440
OG0000002	SACKO_14603	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
OG0000002	SACKO_06138	bflo_13037, bflo_13533
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	bflo_03228, bflo_21287, bflo_03227, bflo_23657
OG0000002	SACKO_00245, SACKO_00252	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984
OG0000003	SACKO_19492	bflo_08943
OG0000003	SACKO_29380	bflo_02237
OG0000003	SACKO_14086, SACKO_03045	bflo_26599, bflo_26600, bflo_26598
OG0000004	SACKO_20602	bflo_01803
OG0000004	SACKO_02249	bflo_07498, bflo_20660
OG0000004	SACKO_16987	bflo_05437
OG0000004	SACKO_20132	bflo_07950
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770
OG0000005	SACKO_14812	bflo_13407
OG0000005	SACKO_29311, SACKO_26465, SACKO_26431	bflo_07266
