Orthogroup	ORYLA	ASTMX
OG0000000	ORYLA04928	ASTMX02793
OG0000000	ORYLA02333	ASTMX22512
OG0000000	ORYLA07037	ASTMX17483
OG0000000	ORYLA08538	ASTMX11444
OG0000000	ORYLA05297	ASTMX02535
OG0000000	ORYLA07510	ASTMX19308
OG0000000	ORYLA04677	ASTMX03273
OG0000000	ORYLA10797	ASTMX22570
OG0000000	ORYLA00843	ASTMX10474, ASTMX18080
OG0000000	ORYLA04925	ASTMX13971
OG0000000	ORYLA04924	ASTMX13970
OG0000000	ORYLA18170	ASTMX05790, ASTMX17479
OG0000000	ORYLA02858	ASTMX20577, ASTMX08977
OG0000000	ORYLA12900	ASTMX08271
OG0000000	ORYLA03677	ASTMX07042
OG0000000	ORYLA11446	ASTMX10234
OG0000000	ORYLA08246	ASTMX01439, ASTMX16054
OG0000000	ORYLA01821	ASTMX20165
OG0000000	ORYLA04170	ASTMX16946
OG0000000	ORYLA18990	ASTMX11106
OG0000000	ORYLA08247	ASTMX01438
OG0000000	ORYLA17164	ASTMX16053
OG0000000	ORYLA01822	ASTMX01903
OG0000000	ORYLA05619	ASTMX20164
OG0000000	ORYLA09108	ASTMX06178
OG0000000	ORYLA17159	ASTMX16048
OG0000000	ORYLA15774	ASTMX20108
OG0000000	ORYLA08249	ASTMX01436, ASTMX16050
OG0000000	ORYLA15776	ASTMX05321, ASTMX20111
OG0000000	ORYLA17162	ASTMX16051
OG0000000	ORYLA09898	ASTMX12038
OG0000000	ORYLA08248	ASTMX01437
OG0000000	ORYLA15775	ASTMX20110
OG0000000	ORYLA09198	ASTMX17422
OG0000000	ORYLA12232	ASTMX12684, ASTMX17005
OG0000000	ORYLA08225	ASTMX01447
OG0000000	ORYLA06162	ASTMX00835, ASTMX16253
OG0000000	ORYLA14471	ASTMX20873
OG0000000	ORYLA05095	ASTMX05835, ASTMX11919
OG0000000	ORYLA10061	ASTMX08519
OG0000000	ORYLA11798	ASTMX09510, ASTMX01253
OG0000000	ORYLA15773	ASTMX05324, ASTMX20107
OG0000000	ORYLA09896	ASTMX12036
OG0000000	ORYLA17158	ASTMX16047
OG0000000	ORYLA05618	ASTMX01904
OG0000000	ORYLA01824, ORYLA01826	ASTMX20160
OG0000000	ORYLA01827, ORYLA05617	ASTMX01905
OG0000000	ORYLA01029	ASTMX08795
OG0000000	ORYLA04459	ASTMX17999, ASTMX15569
OG0000000	ORYLA17155	ASTMX16045
OG0000000	ORYLA01830	ASTMX20156
OG0000000	ORYLA09892	ASTMX12031
OG0000000	ORYLA17729	ASTMX17267
OG0000000	ORYLA00932	ASTMX11612
OG0000000	ORYLA05045	ASTMX02801
OG0000000	ORYLA01322	ASTMX07975
OG0000000	ORYLA10603	ASTMX09511
OG0000000	ORYLA10060	ASTMX08520
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847
OG0000001	ORYLA01896, ORYLA01897	ASTMX14749, ASTMX14750
OG0000001	ORYLA01767, ORYLA01768, ORYLA01766	ASTMX14986, ASTMX22661, ASTMX20102
OG0000001	ORYLA07199, ORYLA07206, ORYLA07208, ORYLA07207	ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473
OG0000001	ORYLA02547	ASTMX07755
OG0000002	ORYLA00438	ASTMX13878
OG0000002	ORYLA03051	ASTMX20124
OG0000002	ORYLA12350	ASTMX19248
OG0000002	ORYLA11640, ORYLA16693	ASTMX14857, ASTMX14858, ASTMX14859
OG0000002	ORYLA13465	ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952
OG0000002	ORYLA13463, ORYLA13464	ASTMX12459
OG0000002	ORYLA13468, ORYLA13466, ORYLA13469	ASTMX12467, ASTMX12468
OG0000002	ORYLA13571	ASTMX01931
OG0000002	ORYLA03052, ORYLA16692	ASTMX20125
OG0000004	ORYLA16672	ASTMX21576
OG0000004	ORYLA08163	ASTMX12117, ASTMX01551
OG0000004	ORYLA04400	ASTMX09630
OG0000004	ORYLA08919	ASTMX17273
OG0000004	ORYLA11724	ASTMX15865
OG0000004	ORYLA11723, ORYLA15657	ASTMX13574
OG0000005	ORYLA03896	ASTMX16020
OG0000005	ORYLA03898	ASTMX16019
OG0000005	ORYLA03895	ASTMX16021
OG0000005	ORYLA19606	ASTMX14148
OG0000005	ORYLA19605	ASTMX14149
OG0000005	ORYLA04143	ASTMX13051
OG0000005	ORYLA04443	ASTMX18005
OG0000005	ORYLA11947	ASTMX12914
OG0000005	ORYLA01858	ASTMX04261
OG0000005	ORYLA09160	ASTMX08691
OG0000005	ORYLA11550	ASTMX10242
OG0000005	ORYLA04733	ASTMX03244
OG0000006	ORYLA13204	ASTMX03985
OG0000006	ORYLA13568	ASTMX00495
OG0000006	ORYLA06565	ASTMX16379
OG0000006	ORYLA20407	ASTMX16363
OG0000006	ORYLA03595	ASTMX04345
OG0000006	ORYLA03421	ASTMX11700
OG0000006	ORYLA09483	ASTMX00138
OG0000006	ORYLA13382	ASTMX03791, ASTMX03123
OG0000006	ORYLA09038	ASTMX12191, ASTMX07931
OG0000006	ORYLA15680	ASTMX15917
OG0000006	ORYLA07217	ASTMX06292
OG0000006	ORYLA12345, ORYLA14784	ASTMX15319
OG0000006	ORYLA10511, ORYLA11827	ASTMX09680
OG0000006	ORYLA16517	ASTMX14682, ASTMX19702
OG0000006	ORYLA17394	ASTMX21126, ASTMX03352
OG0000006	ORYLA05082	ASTMX06644
OG0000006	ORYLA13656	ASTMX04941
OG0000006	ORYLA07153	ASTMX20531
OG0000006	ORYLA02533	ASTMX03398
OG0000006	ORYLA20473	ASTMX03759
OG0000006	ORYLA04673	ASTMX02775
OG0000006	ORYLA03873	ASTMX15412
OG0000006	ORYLA03827	ASTMX12518
OG0000006	ORYLA03500	ASTMX16515
OG0000006	ORYLA10460	ASTMX08479, ASTMX15103
OG0000006	ORYLA00215, ORYLA04762	ASTMX11575, ASTMX03265
OG0000006	ORYLA04691	ASTMX10604
OG0000006	ORYLA03542	ASTMX16006
OG0000007	ORYLA13334	ASTMX14980
OG0000007	ORYLA14937	ASTMX05134
OG0000007	ORYLA17526	ASTMX12498
OG0000007	ORYLA03070	ASTMX06316
OG0000007	ORYLA10601	ASTMX09513
OG0000007	ORYLA19360	ASTMX08102
OG0000007	ORYLA17457	ASTMX21418
OG0000007	ORYLA13245	ASTMX05483
OG0000007	ORYLA02416	ASTMX12390
OG0000007	ORYLA13595	ASTMX04000
OG0000007	ORYLA00451	ASTMX22657
OG0000007	ORYLA10719	ASTMX14799
OG0000007	ORYLA18472	ASTMX16179
OG0000007	ORYLA07783	ASTMX07688
OG0000007	ORYLA09030	ASTMX20070
OG0000007	ORYLA13335	ASTMX14979
OG0000007	ORYLA07003	ASTMX11120
OG0000007	ORYLA12464	ASTMX02564
OG0000007	ORYLA03471	ASTMX18062
OG0000007	ORYLA17615	ASTMX21262
OG0000007	ORYLA01042	ASTMX11815
OG0000007	ORYLA11394	ASTMX04848, ASTMX08093
OG0000007	ORYLA05164	ASTMX06558, ASTMX19375
OG0000007	ORYLA00561	ASTMX04966
OG0000007	ORYLA16283, ORYLA08278	ASTMX11650
OG0000007	ORYLA16317	ASTMX18779
OG0000007	ORYLA13871	ASTMX15847
OG0000007	ORYLA05828	ASTMX10097
OG0000007	ORYLA10158	ASTMX10986
OG0000007	ORYLA04736	ASTMX01681
OG0000008	ORYLA06372	ASTMX21956
OG0000008	ORYLA06647, ORYLA13248	ASTMX05481
OG0000008	ORYLA19926, ORYLA19925, ORYLA18489, ORYLA19927, ORYLA18477	ASTMX19143, ASTMX19134, ASTMX19135, ASTMX19136
OG0000008	ORYLA00582	ASTMX19133, ASTMX14439
OG0000008	ORYLA02437	ASTMX13345, ASTMX11364
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	ASTMX13129
OG0000008	ORYLA13726	ASTMX09448
OG0000008	ORYLA11025	ASTMX03057
OG0000008	ORYLA15397	ASTMX05709
OG0000008	ORYLA19119	ASTMX11795
OG0000008	ORYLA01552, ORYLA11813	ASTMX03297, ASTMX08955
OG0000010	ORYLA14018	ASTMX18922
OG0000010	ORYLA17718	ASTMX10678
OG0000010	ORYLA15599	ASTMX08865
OG0000010	ORYLA15600	ASTMX08864
OG0000010	ORYLA12063	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209
OG0000010	ORYLA05561	ASTMX19981
OG0000010	ORYLA06892	ASTMX21265
OG0000010	ORYLA13024	ASTMX18619
OG0000010	ORYLA06010	ASTMX02979
OG0000010	ORYLA03414	ASTMX12532, ASTMX19555
OG0000010	ORYLA07950	ASTMX07329
OG0000010	ORYLA07946, ORYLA07947	ASTMX04474
OG0000010	ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940	ASTMX04471
OG0000010	ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	ASTMX17076
OG0000010	ORYLA15708	ASTMX11060
OG0000010	ORYLA16137	ASTMX05524
OG0000010	ORYLA05941	ASTMX05737
OG0000010	ORYLA05550	ASTMX05736
OG0000010	ORYLA20398	ASTMX06728, ASTMX17688, ASTMX18214
OG0000010	ORYLA05923, ORYLA05924	ASTMX16219, ASTMX16220
OG0000010	ORYLA14435	ASTMX05525
OG0000010	ORYLA16136	ASTMX21918
OG0000011	ORYLA04501	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041
OG0000012	ORYLA07628	ASTMX22063
OG0000012	ORYLA15199	ASTMX06265
OG0000013	ORYLA20078	ASTMX14510, ASTMX15685
OG0000013	ORYLA06697, ORYLA06696	ASTMX16246
OG0000013	ORYLA19175	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557
OG0000013	ORYLA17235	ASTMX19252
OG0000013	ORYLA08330	ASTMX15992
OG0000013	ORYLA16166, ORYLA16167	ASTMX02064
OG0000013	ORYLA07272	ASTMX06990
OG0000013	ORYLA19251, ORYLA12627, ORYLA12626	ASTMX20933
OG0000013	ORYLA19586	ASTMX21137, ASTMX05203
OG0000013	ORYLA04041	ASTMX03702
OG0000014	ORYLA07442	ASTMX02678
OG0000014	ORYLA17297	ASTMX08608
OG0000014	ORYLA15314	ASTMX07233
OG0000014	ORYLA13996, ORYLA16200	ASTMX17398, ASTMX00995, ASTMX00994
OG0000014	ORYLA10845	ASTMX13292
OG0000014	ORYLA16010	ASTMX10769
OG0000014	ORYLA17181	ASTMX16405, ASTMX12634
OG0000014	ORYLA08263	ASTMX17340, ASTMX01557
OG0000014	ORYLA04835	ASTMX03213
OG0000014	ORYLA19923	ASTMX07656
OG0000014	ORYLA15682	ASTMX01801
OG0000014	ORYLA04907	ASTMX03251, ASTMX15832
OG0000014	ORYLA11600	ASTMX12908
OG0000014	ORYLA01088	ASTMX11632
OG0000014	ORYLA07812	ASTMX01423
OG0000014	ORYLA17200	ASTMX16397
OG0000015	ORYLA00867, ORYLA20430	ASTMX21958, ASTMX03764
OG0000015	ORYLA00866	ASTMX21759
OG0000015	ORYLA04638	ASTMX01476, ASTMX13504
OG0000015	ORYLA19973	ASTMX15417, ASTMX08007
OG0000015	ORYLA13511	ASTMX06039
OG0000015	ORYLA04332	ASTMX15203
OG0000015	ORYLA10753	ASTMX18097
